Chipre	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Letonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	47%	0.06000000000000005
Lituania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	46%	0.07999999999999996
Arabia_Saudita	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	1%	0.98
Trinidad_y_Tobago	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Uruguay	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Austria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Bélgica	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
República_Checa	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Dinamarca	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Finlandia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Francia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Alemania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Grecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Irlanda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Italia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Luxemburgo	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	21%	0.5800000000000001
Países_Bajos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Noruega	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Polonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	33%	0.33999999999999997
Portugal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Eslovaquia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
España	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	27%	0.45999999999999996
Suecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
Reino_Unido	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Chile	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Estonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	39%	0.21999999999999997
Eslovenia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Bangladesh	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Etiopía	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Gambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Guinea	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	6%	0.88
Madagascar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Malawi	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Malí	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Mozambique	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Myanmar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Nepal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Tanzania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Uganda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Costa_de_Marfil	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Egipto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Georgia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
Guatemala	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
India	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Indonesia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Kirguizistán	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Laos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Lesoto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Marruecos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	4%	0.92
Nicaragua	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Filipinas	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Senegal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Zambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Hungría	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Argentina	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Botsuana	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	35%	0.30000000000000004
Bulgaria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Ecuador	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	25%	0.5
Jordania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Líbano	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	7%	0.86
Malasia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Panamá	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
Perú	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Rumania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Tailandia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	27%	0.45999999999999996
Serbia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Austria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Bélgica	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
República_Checa	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Dinamarca	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Finlandia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Francia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Alemania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Grecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Hungría	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Irlanda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Italia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Luxemburgo	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	21%	0.5800000000000001
Países_Bajos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Noruega	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Polonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	33%	0.33999999999999997
Portugal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Eslovaquia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
España	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	27%	0.45999999999999996
Suecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
Reino_Unido	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Argentina	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Bangladesh	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Botsuana	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	35%	0.30000000000000004
Bulgaria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Chile	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Costa_de_Marfil	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Chipre	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Ecuador	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	25%	0.5
Egipto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Estonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	39%	0.21999999999999997
Etiopía	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Gambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Georgia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
Guatemala	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Guinea	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	6%	0.88
India	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Indonesia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Jordania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Kirguizistán	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Laos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Letonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	47%	0.06000000000000005
Líbano	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	7%	0.86
Lesoto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Lituania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	46%	0.07999999999999996
Madagascar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Malawi	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Malasia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Malí	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Marruecos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	4%	0.92
Mozambique	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Myanmar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Nepal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Nicaragua	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Panamá	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
Perú	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Filipinas	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Rumania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Arabia_Saudita	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	1%	0.98
Senegal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Eslovenia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Tanzania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Tailandia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	27%	0.45999999999999996
Trinidad_y_Tobago	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Uganda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Uruguay	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Zambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Serbia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Chipre	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Letonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	47%	0.06000000000000005
Lituania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	46%	0.07999999999999996
Arabia_Saudita	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	1%	0.98
Trinidad_y_Tobago	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Uruguay	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Austria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Bélgica	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
República_Checa	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Dinamarca	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Finlandia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Francia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Alemania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Grecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Irlanda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Italia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Luxemburgo	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	21%	0.5800000000000001
Países_Bajos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Noruega	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Polonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	33%	0.33999999999999997
Portugal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Eslovaquia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
España	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	27%	0.45999999999999996
Suecia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	14%	0.72
Reino_Unido	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Chile	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	30%	0.4
Estonia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	39%	0.21999999999999997
Eslovenia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	26%	0.48
Bangladesh	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Etiopía	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Gambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Guinea	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	6%	0.88
Madagascar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Malawi	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	32%	0.36
Malí	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Mozambique	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Myanmar	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	15%	0.7
Nepal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
Tanzania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Uganda	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	16%	0.6799999999999999
Costa_de_Marfil	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	10%	0.8
Egipto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	5%	0.9
Georgia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
Guatemala	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	8%	0.84
India	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Indonesia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Kirguizistán	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	12%	0.76
Laos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Lesoto	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	31%	0.38
Marruecos	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	4%	0.92
Nicaragua	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Filipinas	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	11%	0.78
Senegal	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	9%	0.8200000000000001
Zambia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	19%	0.62
Hungría	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	23%	0.54
Argentina	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	18%	0.64
Botsuana	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	35%	0.30000000000000004
Bulgaria	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	20%	0.6
Ecuador	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	25%	0.5
Jordania	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	3%	0.94
Líbano	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	7%	0.86
Malasia	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	13%	0.74
Panamá	2014	Posesión_de_títulos_de_propiedad---_porcentaje_de_mujeres	29%	0.42000000000000004
