Allemagne	2014°	Cour_suprême=_part_des_femmes	24%	0.52
Autriche	2014°	Cour_suprême=_part_des_femmes	35%	0.30000000000000004
Belgique	2014°	Cour_suprême=_part_des_femmes	21%	0.5800000000000001
Chili	2014°	Cour_suprême=_part_des_femmes	21%	0.578
Danemark	2014°	Cour_suprême=_part_des_femmes	26%	0.48
Espagne	2014°	Cour_suprême=_part_des_femmes	13%	0.74
Estonie	2014°	Cour_suprême=_part_des_femmes	17%	0.6599999999999999
Finlande	2014°	Cour_suprême=_part_des_femmes	36%	0.28
Grèce	2014°	Cour_suprême=_part_des_femmes	50%	0.0
Hongrie	2014°	Cour_suprême=_part_des_femmes	50%	0.0
Irlande	2014°	Cour_suprême=_part_des_femmes	30%	0.4
Islande	2014°	Cour_suprême=_part_des_femmes	18%	0.64
Israël	2014°	Cour_suprême=_part_des_femmes	20%	0.6
Italie	2014°	Cour_suprême=_part_des_femmes	25%	0.5
Lettonie	2014°	Cour_suprême=_part_des_femmes	62%	0.24
Luxembourg	2014°	Cour_suprême=_part_des_femmes	59%	0.17999999999999994
Norvège	2014°	Cour_suprême=_part_des_femmes	35%	0.30000000000000004
Portugal	2014°	Cour_suprême=_part_des_femmes	18%	0.64
République_tchèque	2014°	Cour_suprême=_part_des_femmes	27%	0.45999999999999996
Slovaquie	2014°	Cour_suprême=_part_des_femmes	58%	0.15999999999999992
Slovénie	2014°	Cour_suprême=_part_des_femmes	38%	0.24
Suisse	2014°	Cour_suprême=_part_des_femmes	29%	0.42000000000000004
Suède	2014°	Cour_suprême=_part_des_femmes	39%	0.21999999999999997
Turquie	2014°	Cour_suprême=_part_des_femmes	16%	0.6799999999999999
