France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	-0.5%	0.005
France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	2.0%	0.02
France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	1.0%	0.01
France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.2%	0.002
France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	0.3%	0.003
France	2007	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	2.9%	0.029
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	0.1%	0.001
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	2.5%	0.025
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.4%	0.024
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.9%	0.009
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	0.5%	0.005
France	2008	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	6.3%	0.063
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	0.0%	0.0
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	1.5%	0.015
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.1%	0.021
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.7%	0.007
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	0.6%	0.006
France	2009	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	4.6%	0.046
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	0.8%	0.008
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	3.4%	0.034
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.5%	0.025
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.5%	0.005
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	0.6%	0.006
France	2010	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	5.2%	0.052
France	2011	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	0.6%	0.006
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	3.3%	0.033
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.5%	0.025
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.3%	0.003
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	0.4%	0.004
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	4.0%	0.04
France	2012	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	-0.4%	0.004
France	2013	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	1.8%	0.018
France	2013	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.6%	0.026
France	2013	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	1.0%	0.01
France	2013	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	-0.1%	0.001
France	2013	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	3.3%	0.033
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	1.5%	0.015
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	2.9%	0.029
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.6%	0.026
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	1.0%	0.01
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	-0.7%	0.007
France	2014	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	3.0%	0.03
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_moins_de_18_ans	1.0%	0.01
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_18_à_29_ans	2.0%	0.02
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_30_à_49_ans	2.3%	0.023
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_50_à_59_ans	0.6%	0.006
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_60_à_74_ans	-0.2%	0.002
France	2015	Taux_de_pauvreté_des_femmes_par_rapport_aux_hommes---_75_ans_et_plus	2.0%	0.02
