Australie	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.9%	0.219
Irlande	2012	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-18.3%	0.183
Chili	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.8%	0.208
Islande	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.8%	0.198
Portugal	2013	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-17.6%	0.176
Canada	2006	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.2%	0.212
Espagne	2003	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-28.4%	0.284
Slovénie	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-22.1%	0.221
Finlande	2014	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.0%	0.26
Costa_Rica	2003	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-11.9%	0.119
France	2005	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.7%	0.217
Allemagne	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.6%	0.266
Irlande	2003	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.7%	0.257
Royaume-Uni	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-22.2%	0.222
Autriche	2004	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.4%	0.264
Pays-Bas	2012	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-17.6%	0.176
Japon	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.6%	0.196
États-Unis	2006	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.2%	0.212
Turquie	2013	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-15.8%	0.158
Lituanie	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-11.5%	0.115
Finlande	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.2%	0.262
Grèce	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.1%	0.201
Mexique	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-13.1%	0.131
Mexique	2014	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-13.2%	0.132
Afrique_du_Sud	2008	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-22.1%	0.221
Finlande	2003	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-27.2%	0.272
Pologne	2012	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.8%	0.258
Chili	2013	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-22.2%	0.222
Irlande	2008	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-27.9%	0.279
Espagne	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-23.6%	0.236
Autriche	2007	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.4%	0.264
Corée	2014	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-18.9%	0.189
Lituanie	2014	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-17.4%	0.174
Mexique	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-13.2%	0.132
Danemark	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.1%	0.201
France	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.9%	0.219
Autriche	2000	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-29.2%	0.292
Afrique_du_Sud	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.8%	0.208
Belgique	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-24.2%	0.242
Japon	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.4%	0.194
Suisse	2000	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.7%	0.217
Australie	2005	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.0%	0.21
Brésil	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-16.0%	0.16
Slovénie	2015	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.3%	0.253
Afrique_du_Sud	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.0%	0.2
Finlande	2005	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.7%	0.267
Nouvelle-Zélande	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.9%	0.199
Suisse	2006	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.9%	0.209
États-Unis	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.0%	0.19
Costa_Rica	2000	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-8.4%	0.084
Norvège	2009	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.1%	0.251
Pologne	2008	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.3%	0.253
Corée	2004	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-16.7%	0.167
Espagne	2006	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-30.3%	0.303
Colombie	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-7.5%	0.075
Allemagne	2014	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-26.2%	0.262
Lituanie	2000	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-11.8%	0.118
Portugal	2015	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-18.2%	0.182
Pologne	2015	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.5%	0.255
Israël	2002	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.6%	0.196
Nouvelle-Zélande	2008	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.3%	0.213
Australie	2001	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.5%	0.195
Irlande	2005	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-27.2%	0.272
Islande	2012	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-20.6%	0.206
Autriche	2002	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-29.9%	0.299
Grèce	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-17.6%	0.176
Lettonie	2007	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-25.6%	0.256
Lituanie	2010	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-16.8%	0.168
Japon	2005	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-18.6%	0.186
Norvège	2015	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-24.5%	0.245
Suisse	2011	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-21.0%	0.21
Corée	2012	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-18.0%	0.18
Japon	2013	Part_de_l'emploi_des_femmes_par_rapport_aux_hommes_dans_l'industrie_	-19.8%	0.198
