Japon	2012	Part_des_femmes_dans_l'emploi_total	42.3%	0.154
Norvège	2015	Part_des_femmes_dans_l'emploi_total	47.1%	0.058
Lituanie	2012	Part_des_femmes_dans_l'emploi_total	51.5%	0.03
Suède	2012	Part_des_femmes_dans_l'emploi_total	47.6%	0.048
Lituanie	2015	Part_des_femmes_dans_l'emploi_total	51.0%	0.02
Brésil	2014	Part_des_femmes_dans_l'emploi_total	43.1%	0.138
Royaume-Uni	2009	Part_des_femmes_dans_l'emploi_total	46.5%	0.07
Norvège	2009	Part_des_femmes_dans_l'emploi_total	47.5%	0.05
Brésil	2011	Part_des_femmes_dans_l'emploi_total	42.2%	0.156
Canada	2011	Part_des_femmes_dans_l'emploi_total	47.6%	0.048
Royaume-Uni	2010	Part_des_femmes_dans_l'emploi_total	46.5%	0.07
Mexique	2014	Part_des_femmes_dans_l'emploi_total	38.7%	0.226
Chili	2014	Part_des_femmes_dans_l'emploi_total	38.1%	0.238
Belgique	2015	Part_des_femmes_dans_l'emploi_total	46.5%	0.07
Estonie	2011	Part_des_femmes_dans_l'emploi_total	50.5%	0.01
Espagne	2013	Part_des_femmes_dans_l'emploi_total	45.6%	0.088
Portugal	2015	Part_des_femmes_dans_l'emploi_total	48.7%	0.026
Suisse	2013	Part_des_femmes_dans_l'emploi_total	46.1%	0.078
Espagne	2009	Part_des_femmes_dans_l'emploi_total	43.6%	0.128
Colombie	2014	Part_des_femmes_dans_l'emploi_total	41.8%	0.164
Pologne	2011	Part_des_femmes_dans_l'emploi_total	45.3%	0.094
Hongrie	2009	Part_des_femmes_dans_l'emploi_total	45.9%	0.082
Colombie	2013	Part_des_femmes_dans_l'emploi_total	41.5%	0.17
Grèce	2015	Part_des_femmes_dans_l'emploi_total	42.2%	0.156
Canada	2010	Part_des_femmes_dans_l'emploi_total	47.8%	0.044
Lituanie	2010	Part_des_femmes_dans_l'emploi_total	52.4%	0.048
Costa_Rica	2015	Part_des_femmes_dans_l'emploi_total	38.0%	0.24
Lituanie	2014	Part_des_femmes_dans_l'emploi_total	50.9%	0.018
Suède	2015	Part_des_femmes_dans_l'emploi_total	47.7%	0.046
Hongrie	2012	Part_des_femmes_dans_l'emploi_total	46.3%	0.074
Chili	2010	Part_des_femmes_dans_l'emploi_total	39.4%	0.212
Suisse	2014	Part_des_femmes_dans_l'emploi_total	46.4%	0.072
Espagne	2010	Part_des_femmes_dans_l'emploi_total	44.2%	0.116
Lettonie	2013	Part_des_femmes_dans_l'emploi_total	50.7%	0.014
Colombie	2009	Part_des_femmes_dans_l'emploi_total	39.8%	0.204
Grèce	2009	Part_des_femmes_dans_l'emploi_total	39.8%	0.204
Chili	2012	Part_des_femmes_dans_l'emploi_total	40.2%	0.196
Grèce	2010	Part_des_femmes_dans_l'emploi_total	40.3%	0.194
Lituanie	2011	Part_des_femmes_dans_l'emploi_total	51.7%	0.034
France	2014	Part_des_femmes_dans_l'emploi_total	48.2%	0.036
Suisse	2002	Part_des_femmes_dans_l'emploi_total	45.1%	0.098
Finlande	2015	Part_des_femmes_dans_l'emploi_total	48.7%	0.026
Lituanie	2009	Part_des_femmes_dans_l'emploi_total	52.0%	0.04
