Italie	2005	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-22.8%	0.228
Italie	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-26.4%	0.264
Luxembourg	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-24.7%	0.247
Norvège	2015	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-5.6%	0.056
Corée	2004	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-25.1%	0.251
Indonésie	2012	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-32.8%	0.328
Turquie	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-42.9%	0.429
Pays-Bas	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-11.9%	0.119
Espagne	2014	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.1%	0.121
Allemagne	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.9%	0.139
Brésil	2014	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-21.8%	0.218
Lettonie	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-15.0%	0.15
France	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-10.4%	0.104
Mexique	2013	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-34.4%	0.344
Estonie	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.2%	0.122
Grèce	2001	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-24.6%	0.246
Belgique	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-17.6%	0.176
Danemark	2006	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-10.2%	0.102
Allemagne	2003	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-15.3%	0.153
Hongrie	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-15.6%	0.156
Inde	2005	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-45.5%	0.455
Russie	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-10.0%	0.1
Norvège	2013	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-5.5%	0.055
Brésil	2001	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-26.9%	0.269
Russie	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-10.9%	0.109
Israël	2005	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.5%	0.135
Portugal	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.1%	0.121
Finlande	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-6.2%	0.062
Mexique	2006	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-39.1%	0.391
Colombie	2003	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-27.5%	0.275
Indonésie	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-34.1%	0.341
Irlande	2003	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-21.6%	0.216
Hongrie	2006	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-14.3%	0.143
Espagne	2001	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-26.2%	0.262
Colombie	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-26.7%	0.267
Autriche	2003	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-17.4%	0.174
Lettonie	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-16.0%	0.16
République_tchèque	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-18.2%	0.182
Royaume-Uni	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.9%	0.129
Luxembourg	2006	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-11.0%	0.11
Canada	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.9%	0.129
Luxembourg	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-14.7%	0.147
Australie	2015	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.1%	0.121
Norvège	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-7.6%	0.076
Allemagne	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.4%	0.134
Corée	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-23.7%	0.237
Pologne	2014	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-16.2%	0.162
Hongrie	2010	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.6%	0.126
Lituanie	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-11.8%	0.118
Turquie	2006	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-46.3%	0.463
Royaume-Uni	2010	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.0%	0.13
Islande	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-8.8%	0.088
Slovénie	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.7%	0.127
Israël	2008	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.6%	0.136
Grèce	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-24.4%	0.244
Chili	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-38.0%	0.38
Israël	2002	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-15.2%	0.152
Chili	2014	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-23.2%	0.232
Japon	2004	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-25.1%	0.251
Lituanie	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-10.0%	0.1
Irlande	2007	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-19.0%	0.19
Suisse	2013	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.2%	0.132
Grèce	2010	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-19.5%	0.195
Israël	2012	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-11.2%	0.112
Belgique	2010	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-13.1%	0.131
Turquie	2014	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-41.0%	0.41
États-Unis	2011	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.4%	0.124
Corée	2015	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-22.0%	0.22
États-Unis	2013	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-12.5%	0.125
Estonie	2005	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-7.6%	0.076
Italie	2010	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-21.2%	0.212
Grèce	2013	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-17.1%	0.171
Autriche	2000	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-19.9%	0.199
Moyenne_OCDE	2009	Taux_d'activité_des_femmes_par_rapport_aux_hommes_	-19.0%	0.19
