République_tchèque	2010	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.1%	0.07084
Suisse	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-0.7%	0.00739
Mexique	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.9%	0.03878
Canada	2011	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.8%	0.02817
Irlande	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-11.7%	0.11702
Grèce	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-8.1%	0.08068
États-Unis	2012	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.3%	0.02306
République_tchèque	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.1%	0.06142
Italie	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-5.8%	0.05826
Portugal	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	+0.3%	0.00323
Norvège	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.3%	0.03274
Japon	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.7%	0.02673
Danemark	2007	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.9%	0.02851
Irlande	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-10.8%	0.10842
Danemark	2008	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.1%	0.03074
Grèce	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-9.2%	0.09187
Israël	2009	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.6%	0.036
Pays-Bas	2002	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-1.5%	0.01455
Australie	2006	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.5%	0.04537
Canada	2010	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.0%	0.0301
Royaume-Uni	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.0%	0.06953
Espagne	2006	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.3%	0.04273
Pays-Bas	2012	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.5%	0.03478
Canada	2008	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.1%	0.03086
Mexique	2014	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	+1.3%	0.01255
Turquie	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-10.1%	0.10063
Israël	2014	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.2%	0.02233
Royaume-Uni	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.7%	0.06749
Pays-Bas	2009	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.4%	0.02424
Estonie	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.1%	0.02142
Nouvelle-Zélande	2002	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.9%	0.06865
Estonie	2009	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.0%	0.02036
Belgique	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.9%	0.03857
États-Unis	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.3%	0.02315
République_slovaque	2000	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.9%	0.04871
Pays-Bas	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-1.9%	0.01911
Corée	2012	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-8.1%	0.08113
Allemagne	2003	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.3%	0.02326
République_slovaque	2008	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-8.0%	0.08012
Pays-Bas	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.6%	0.03618
Israël	2010	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.9%	0.039
Brésil	2008	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.6%	0.07588
Royaume-Uni	2014	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.5%	0.06542
République_tchèque	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.0%	0.06014
Hongrie	2000	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-5.2%	0.05205
Suède	2002	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.2%	0.04204
Hongrie	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.3%	0.0328
Pologne	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.4%	0.06373
Islande	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.8%	0.0376
Norvège	2007	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.4%	0.04448
France	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.1%	0.03141
Australie	2015	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-3.1%	0.03087
Irlande	2010	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-11.1%	0.11099
Autriche	2011	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-1.0%	0.01041
Corée	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.7%	0.07659
Luxembourg	2012	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	+0.6%	0.00561
Autriche	2004	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.2%	0.02233
Italie	2010	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-6.9%	0.06862
Autriche	2014	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-0.8%	0.00815
Norvège	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.2%	0.04231
Irlande	2006	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-10.5%	0.10524
République_slovaque	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.8%	0.07764
Luxembourg	2011	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-0.3%	0.00282
Nouvelle-Zélande	2012	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.7%	0.0267
Mexique	2003	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.1%	0.02116
Pays-Bas	2006	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.1%	0.02099
Pologne	2008	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-5.3%	0.05275
Suède	2000	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.7%	0.04703
Suisse	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	+0.1%	0.00065
Espagne	2011	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.6%	0.04632
Allemagne	2002	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-2.1%	0.02128
Israël	2001	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.0%	0.04
République_slovaque	2014	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-7.4%	0.07441
Israël	2005	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-4.3%	0.0435
Portugal	2007	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-0.2%	0.00235
Slovénie	2013	Part_des_femmes_par_rapport_aux_hommes_en_emploi_travaillant_à_leur_compte	-5.3%	0.05335
