France	2013	Employé·es_universitaires_grade_C_part_des_femmes	44%	0.12
France	2013	Employé·es_universitaires_grade_A_part_des_femmes	21%	0.58
France	2014	Employé·es_cadres_techniques_part_des_femmes	16.98%	0.6604
France	2014	Employé·es_DTN_(directrice_technique_nationale)_part_des_femmes	12.5%	0.75
France	2016	Président·es_d_entreprise_(PDG)_part_des_femmes	3%	0.94
France	2016	Membres_exécutifs_d_entreprise_part_des_femmes	15%	0.7
France	2016	Membres_non_exécutifs_d_entreprise_part_des_femmes	44%	0.12
France	2015	Maires_de_France_part_des_femmes	16%	0.68
France	2015	Conseiller·es_municipaux_part_des_femmes	40.3%	194
France	2015	Président·es_de_conseils_régionaux_part_des_femmes	17.6%	648
France	2015	Conseiller·es_régionaux_part_des_femmes	47.8%	44
France	2015	Président·es_de_conseils_départementaux_part_des_femmes	9.9%	802
France	2015	Conseiller·es_départementaux_part_des_femmes	50%	0.0
France	2016	Conseiller·es_régionaux_en_affaires_sociale_part_des_femmes	100%	1.0
France	2016	Conseiller·es_régionaux_en_éducation_part_des_femmes_	54%	0.08
France	2016	Conseiller·es_régionaux_en_budget/finance_part_des_femmes	11.1%	778
France	2016	Conseiller·es_régionaux_en_transport_part_des_femmes_	8.3%	834
France	2016	Direction_des_musées_nationaux_part_des_femmes	41%	0.18
France	2016	Artistes_dans_spectacles_cirque_part_des_femmes	16%	0.68
France	2016	Artistes_dans_spectacles_danse_part_des_femmes	31%	0.38
France	2016	Artistes_dans_spectacles_théâtre_part_des_femmes	27%	0.46
France	2016	Artistes_compositeurs_part_des_femmes	1%	0.98
France	2016	Artistes_chefs_d_orchestre_part_des_femmes	4%	0.92
France	2016	Artistes_solistes_part_des_femmes	28%	0.44
France	2016	Artistes_travaillant_dans_la_mise_en_scène_opéra_part_des_femmes	26%	0.48
France	2014	Présentateurs_dans_les_journaux_télévision_part_des_femmes_	20%	0.6
France	2014	Présentateurs_dans_les_journaux_radio_part_des_femmes_	18%	0.64
France	2014	Pourcentage_des_femmes_parmi_les_experts_invités_dans_les_médias	20%	0.2
France	2016	Pourcentage_des_femmes_ayant_subi_une_attitude_sexiste	80%	0.8
France	2016	Direction_des__entreprises_de_l_audiovisuel_public_part_des_femmes	60%	0.6
France	2016	Direction_des_établissement_spectacle_vivant_part_des_femmes	8%	0.08
