annee,pays,nom,part de femmes
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de l'art dramatique,"35,3"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s des activités artistiques,"47,3"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de l'art chorégraphique,"62,2"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la musique instrumentale,"21,4"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la musique vocale,"45,4"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s des arts du cirque et des arts visuels,"34,3"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s d'autres activités artistiques,"37,9"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s des activités techniques,"21,0"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la direction technique et de la régie,"16,9"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la machinerie et de la structure,"10,6"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s des accessoires,"32,2"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de l'éclairage ,"10,5"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s du son,"7,3"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de l'audiovisuel du spectacle vivant,"16,1"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s du décor,"27,2"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s du costume,"90,1"
2013,France,"part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la coiffure, du maquillage et des masques","89,0"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s des activités administratives,"62,4"
2013,France,part de femmes dans l'emploi spectacle vivant: professionnel·le·s de la production,"62,4"
2013,France,part de femmes dans l'emploi spectacle vivant: tous·tes professionnel·le·s,"33,0"
