annee,pays,nom,femmes,hommes
2006,France,Part des films d'initiative française réalisés par des femmes,30,130
2007,France,Part des films d'initiative française réalisés par des femmes,43,140
2008,France,Part des films d'initiative française réalisés par des femmes,36,155
2009,France,Part des films d'initiative française réalisés par des femmes,35,142
2010,France,Part des films d'initiative française réalisés par des femmes,40,159
2011,France,Part des films d'initiative française réalisés par des femmes,47,152
2012,France,Part des films d'initiative française réalisés par des femmes,46,157
2013,France,Part des films d'initiative française réalisés par des femmes,48,153
2014,France,Part des films d'initiative française réalisés par des femmes,45,155
2015,France,Part des films d'initiative française réalisés par des femmes,53,177
2006,France,Part des films à majorité étrangère réalisés par des femmes,5,33
2007,France,Part des films à majorité étrangère réalisés par des femmes,5,36
2008,France,Part des films à majorité étrangère réalisés par des femmes,7,35
2009,France,Part des films à majorité étrangère réalisés par des femmes,9,39
2010,France,Part des films à majorité étrangère réalisés par des femmes,8,50
2011,France,Part des films à majorité étrangère réalisés par des femmes,9,54
2012,France,Part des films à majorité étrangère réalisés par des femmes,13,54
2013,France,Part des films à majorité étrangère réalisés par des femmes,9,50
2014,France,Part des films à majorité étrangère réalisés par des femmes,8,46
2015,France,Part des films à majorité étrangère réalisés par des femmes,10,55
