annee,pays,nom,value,,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"6,7",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,"-1,4",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-44,7",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-6,0",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-40,6",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,"3,6",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,"-9,3",,,,,2010
2009,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-1,7",,,,,2011
2009,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,"-5,5",,,,,2012
2009,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-3,9",,,,,2013
2009,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,"-8,5",,,,,2014
2009,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-16,5",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-19,6",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"0,9",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma," -27,9",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-12,1",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"8,7",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma," -13,2",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma," -26,8 ",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-26,2",,·,,,
2009,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"-3,2",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,"6,5",,,,,
2009,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,0.00,,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"-7,6",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,"-2,7",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-45,4",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-5,2",,,,,
