annee,pays,nom,femmes,hommes
2008,France,Devis moyen des films d’initiative française (M€),"3,32","7,25"
2009,France,Devis moyen des films d’initiative française (M€),"4,06","5,37"
2010,France,Devis moyen des films d’initiative française (M€),"3,70","5,92"
2011,France,Devis moyen des films d’initiative française (M€),"3,49","6,14"
2012,France,Devis moyen des films d’initiative française (M€),"3,45","5,69"
2013,France,Devis moyen des films d’initiative française (M€),"3,19","5,59"
2014,France,Devis moyen des films d’initiative française (M€),"2,83","4,35"
2015,France,Devis moyen des films d’initiative française (M€),"3,50","4,70"
2016,France,Devis moyen des films d’initiative française (M€),"2,58","6,52"
2017,France,Devis moyen des films d’initiative française (M€),"3,47","5,51"
