annee,pays,nom,value
2008,France,Part des films réalisés par des femmes,17.9
2009,France,Part des films réalisés par des femmes,19.1
2010,France,Part des films réalisés par des femmes,18.4
2011,France,Part des films réalisés par des femmes,20.7
2012,France,Part des films réalisés par des femmes,21.1
2013,France,Part des films réalisés par des femmes,21.2
2014,France,Part des films réalisés par des femmes,20.2
2015,France,Part des films réalisés par des femmes,21
2016,France,Part des films réalisés par des femmes,20.5
2017,France,Part des films réalisés par des femmes,23.3
