annee,pays,nom,valeur
2019,France,"Emploi dans les effets visuels et numériques, part de femmes",30%
2019,France,"Emploi dans les effets visuels et numériques, masse salariale, part de femmes",25%
2019,France,"Emploi en CDI dans les effets visuels et numériques, part de femmes",31%
2019,France,"Secteur Effets visuels, infographiste, part de femmes",22%
2019,France,"Secteur Effets visuels, postproduction, part de femmes",35%
2019,France,"Secteur Effets visuels, tournage, part de femmes",22%
2019,France,"Secteur Effets visuels, suivi de production, part de femmes",56%
2019,France,"Secteur Effets visuels, support technique, part de femmes",7%
2019,France,"Secteur Effets visuels, réalisation part de femmes",16%
2019,France,"Secteur Effets visuels, comptabilité et RH, part de femmes",70%
2016,France,"Secteur de l'audiovisuel, part de femmes",41%
2016,France,"Secteur de l'audiovisuel, Radiodiffusion part de femmes",41%
2016,France,"Secteur de l'audiovisuel, prestation technique image et son, part de femmes",30%
2016,France,"Secteur de l'audiovisuel, Télédiffusion, part de femmes",43%
2016,France,"Secteur de l'audiovisuel, costume maquillage coiffure, part de femmes",86%
2016,France,"Secteur de l'audiovisuel, gestion de production, part de femmes",46%
2016,France,"Secteur de l'audiovisuel, information antenne, part de femmes",47%
2016,France,"Secteur de l'audiovisuel, interprétation, part de femmes",42%
2016,France,"Secteur de l'audiovisuel, graphisme, effets visuels, part de femmes",28%
2016,France,"Secteur de l'audiovisuel, image, part de femmes",24%
2016,France,"Secteur de l'audiovisuel, décor, construction plateau, part de femmes",23%
2016,France,"Exploitation, maintenance régies audiovisuelles, part de femmes",20%
2016,France,"Secteur de l'audiovisuel, son,  part de femmes",9%
2017,France,"Secteur de la musique, part de femmes",36%
2017,France,"Secteur de la musique, Intermittent technique, part de femmes",27%
2017,France,"Secteur de la musique, Intermittent artiste, part de femmes",34%
2017,France,"Secteur de la musique, Intermittent Masse salariale, part de femmes",29%
2017,France,"Secteur de la musique, Cadre, part de femmes",43%
2017,France,"Artistes dans les distribution théâtrale, part de femmes",41%
2017,France,"Secteur de la musique, Engagement d'artistes sur des projets, part de femmes",25%
2017,France,"Secteur de la musique, Engagement pour direction de projets, part de femmes",27%
2018,France,"Secteur Effets visuels numériques, Effectifs, part de femmes",29%
2018,France,"Secteur Effets visuels numériques, Masse salariale, part de femmes",26%
2020,France,"Personnalités médiatiques dans la presse, part de femmes",17.90%
2020,France,"Temps de parole des invité-es des matinales radios, part de femmes",32%
2020,France,"Invités politiques (télévision et radio), part de femmes",33%
2019,France,"Journaliste, part de femmes",46.70%
2019,France,"Journaliste, reporter photo, part de femmes",15%
2019,France,"Journaliste, Iconographiste, part de femmes",72%
2019,France,"Journaliste  dirigeant, part de femmes",31%
2019,France,"Journalisme, Rédaction en chef, part de femmes",39%
2019,France,"Journalisme, Documentaliste, part de femmes",73%
2019,France,"Secteur Films d'animation, part de femmes",38%
2017,France,"Secteur Films d'animation, part de femmes",36%
2019,France,"Secteur Films d'animation, Masse salariale, part de femmes",37%
2019,France,"Secteur Films d'animation, Cadre, part de femmes",38%
2019,France,"Secteur Films d'animation, Non cadre, part de femmes",53%
2018,France,"Secteur Films d'animation, Cadre, part de femmes",39%
2017,France,"Secteur Films d'animation, Cadre, part de femmes",37%
2018,France,"Secteur Films d'animation, Non cadre, part de femmes",55%
2017,France,"Secteur Films d'animation, Non cadre, part de femmes",57%
2018,France,"Secteur Films d'animation, Réalisation, part de femmes",32%
2019,France,"Secteur Films d'animation, Réalisation, part de femmes",36%
2018,France,"Secteur Films d'animation, Storyboard, part de femmes",30%
2019,France,"Secteur Films d'animation, Storyboard, part de femmes",31%
2018,France,"Secteur Films d'animation, Animation, part de femmes",34%
2019,France,"Secteur Films d'animation, Animation, part de femmes",34%
2018,France,"Secteur Films d'animation, Rendu et éclairage, part de femmes",29%
2019,France,"Secteur Films d'animation, Rendu et éclairage, part de femmes",30%
2018,France,"Secteur Films d'animation, Montage image-son, part de femmes",27%
2019,France,"Secteur Films d'animation, Montage image-son, part de femmes",28%
2018,France,"Secteur Films d'animation, Prise de vues-son, part de femmes",15%
2019,France,"Secteur Films d'animation, Prise de vues-son, part de femmes",22%
2018,France,"Secteur Films d'animation, Effets visuels et numériques, part de femmes",22%
2019,France,"Secteur Films d'animation, Effets visuels et numériques, part de femmes",25%
2018,France,"Secteur Films d'animation, Gestion de production, part de femmes",67%
2019,France,"Secteur Films d'animation, Gestion de production, part de femmes",65%
2018,France,"Secteur Films d'animation, Direction artistique, part de femmes",26%
2019,France,"Secteur Films d'animation, Direction artistique, part de femmes",32%
2019,France,"Secteur Films d'animation, Réalisation, Masse salariale, part de femmes",24%
2019,France,"Secteur Films d'animation, Storyboard, Masse salariale, part de femmes",27%
