annee,pays,nom,valeur
2016,France,"Direction des scènes de musiques actuelles, part des femmes",10
2016,France,Groupes programmés de musiques actuelles avec au moins une femme,12
2016,France,Victoires de la musique meilleure album depuis 1895,8
2016,France,"Fréquentation de studio de répétition, part des femmes",10
2016,France,"Sociétaires de la SACEM (composition musicale), part des femmes",16
2016,France,"Diplômé.e.s des écoles d'enseignement artistique supérieur du spectacle vivant, part des femmes",52
2000,France,"Emploi spectacle vivant, part des femmes",34
2001,France,"Emploi spectacle vivant, part des femmes",35
2002,France,"Emploi spectacle vivant, part des femmes",36
2003,France,"Emploi spectacle vivant, part des femmes",36
2004,France,"Emploi spectacle vivant, part des femmes",36
2005,France,"Emploi spectacle vivant, part des femmes",36
2006,France,"Emploi spectacle vivant, part des femmes",36
2007,France,"Emploi spectacle vivant, part des femmes",36
2008,France,"Emploi spectacle vivant, part des femmes",37
2009,France,"Emploi spectacle vivant, part des femmes",37
2010,France,"Emploi spectacle vivant, part des femmes",37
2011,France,"Emploi spectacle vivant, part des femmes",38
2012,France,"Emploi spectacle vivant, part des femmes",38
2013,France,"Emploi spectacle vivant, part des femmes",38
2013,France,"Spectacle vivant: professionnel·le·s de l'art dramatique, part des femmes",35.3
2013,France,"Spectacle vivant: professionnel·le·s des activités artistiques, part des femmes",47.3
2013,France,"Spectacle vivant: professionnel·le·s de l'art chorégraphique, part des femmes",62.2
2013,France,"Spectacle vivant: professionnel·le·s de la musique instrumentale, part des femmes",21.4
2013,France,"Spectacle vivant: professionnel·le·s de la musique vocale, part des femmes",45.4
2013,France,"Spectacle vivant: professionnel·le·s des arts du cirque et des arts visuels, part des femmes",34.3
2013,France,"Spectacle vivant: professionnel·le·s d'autres activités artistiques, part des femmes",37.9
2013,France,"Spectacle vivant: professionnel·le·s des activités techniques, part des femmes",21
2013,France,"Spectacle vivant: professionnel·le·s de la direction technique et de la régie, part des femmes",16.9
2013,France,"Spectacle vivant: professionnel·le·s de la machinerie et de la structure, part des femmes",10.6
2013,France,"Spectacle vivant: professionnel·le·s des accessoires, part des femmes",32.2
2013,France,"Spectacle vivant: professionnel·le·s de l'éclairage, part des femmes",10.5
2013,France,"Spectacle vivant: professionnel·le·s du son, part des femmes",7.3
2013,France,"Spectacle vivant: professionnel·le·s de l'audiovisuel du spectacle vivant, part des femmes",16.1
2013,France,"Spectacle vivant: professionnel·le·s du décor, part des femmes",27.2
2013,France,"Spectacle vivant: professionnel·le·s du costume, part des femmes",90.1
2013,France,"Spectacle vivant: professionnel·le·s de la coiffure, du maquillage et des masques, part des femmes",89
2013,France,"Spectacle vivant: professionnel·le·s des activités administratives, part des femmes",62.4
2013,France,"Spectacle vivant: professionnel·le·s de la production, part des femmes",62.4
2013,France,"Spectacle vivant: tous·tes professionnel·le·s, part des femmes",33
2013,France,"Spectacle vivant: artistes interprètes, part des femmes",34.9
2013,France,"Spectacle vivant: cadres, part des femmes",38.8
2013,France,"Spectacle vivant: non cadres, part des femmes",40.3
