indicator,fr,es
"Direction des scènes de musiques actuelles, part des femmes","Direction des scènes de musiques actuelles, part de femmes","Dirección de escenas musicales actuales, porcentaje de mujeres"
Groupes programmés de musiques actuelles avec au moins une femme,Groupes programmés de musiques actuelles avec au moins une femme,Grupos programados de música actuales con al menos una mujer
Victoires de la musique meilleure album depuis 1895,"Victoires de la musique meilleur album depuis 1895, part de femmes",Victorias de la música mejor album desde 1895
"Fréquentation de studio de répétition, part des femmes","Fréquentation de studio de répétition, part de femmes","Frecuentación de estudios de repetición, porcentaje de mujeres"
"Sociétaires de la SACEM (composition musicale), part des femmes","Sociétaires de la SACEM (droits d'auteur·e), part de femmes","Socios de la SACEM, porcentaje de mujeres"
"Diplômé.e.s des écoles d'enseignement artistique supérieur du spectacle vivant, part des femmes","Diplômé·es des écoles d'enseignement artistique supérieur du spectacle vivant, part de femmes","Titulados de escuelas de enseñanza artística superior de artes escénicas, porcentaje de mujeres"
"Emploi spectacle vivant, part des femmes","Emploi spectacle vivant, part de femmes","Empleo de artes escénicas, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de l'art dramatique, part des femmes","Spectacle vivant: professionnel·les de l'art dramatique, part de femmes","Artes escénicas: profesionales de arte dramático, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s des activités artistiques, part des femmes","Spectacle vivant: professionnel·les des activités artistiques, part de femmes","Artes escénicas: profesionales de actividades artísticas, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de l'art chorégraphique, part des femmes","Spectacle vivant: professionnel·les de l'art chorégraphique part de femmes","Artes escénicas: profesionales de arte coreográfico, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de la musique instrumentale, part des femmes","Spectacle vivant: professionnel·les de la musique instrumentale, part de femmes","Artes escénicas: profesionales de música instrumental, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de la musique vocale, part des femmes","Spectacle vivant: professionnel·les de la musique vocale, part de femmes","Artes escénicas: profesionales de música vocal, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s des arts du cirque et des arts visuels, part des femmes","Spectacle vivant: professionnel·les des arts du cirque et des arts visuels, part de femmes","Artes escénicas: profesionales de artes cicenses y artes visuales, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s d'autres activités artistiques, part des femmes","Spectacle vivant: professionnel·les d'autres activités artistiques, part de femmes","Artes escénicas: otras actividades artísticas, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s des activités techniques, part des femmes","Spectacle vivant: professionnel·les des activités techniques, part de femmes","Artes escénicas: profesionals de actividades técnicas, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de la direction technique et de la régie, part des femmes","Spectacle vivant: professionnel·les de la direction technique et de la régie, part de femmes","Artes escénicas: profesionales de dirección técnica y dirección, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de la machinerie et de la structure, part des femmes","Spectacle vivant: professionnel·les de la machinerie et de la structure, part de femmes","Artes escénicas: profesionales de la maquinaria, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s des accessoires, part des femmes","Spectacle vivant: professionnel·les des accessoires, part de femmes","Artes escénicas: profesionales de accesorios, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s de l'éclairage, part des femmes","Spectacle vivant: professionnel·les de l'éclairage, part de femmes","Artes escénicas: profesionales de iluminación, porcentaje de mujeres"
"Spectacle vivant: professionnel·le·s du son, part des femmes","Spectacle vivant: professionnel·les du son, part de femmes","Artes escénicas: profesionales de sonido, porcentaje de mujeres"
