annee,pays,nom,valeur
2006,France,"Réalisation de films à plus de 7 M€, part des femmes",11.1
2007,France,"Réalisation de films à plus de 7 M€, part des femmes",18.4
2008,France,"Réalisation de films à plus de 7 M€, part des femmes",10.0
2009,France,"Réalisation de films à plus de 7 M€, part des femmes",10.9
2010,France,"Réalisation de films à plus de 7 M€, part des femmes",5.8
2011,France,"Réalisation de films à plus de 7 M€, part des femmes",7.7
2012,France,"Réalisation de films à plus de 7 M€, part des femmes",10.9
2013,France,"Réalisation de films à plus de 7 M€, part des femmes",12.5
2014,France,"Réalisation de films à plus de 7 M€, part des femmes",8.3
2015,France,"Réalisation de films à plus de 7 M€, part des femmes",13.7
2006,France,"Réalisation de  films à moins de 1 M€, part des femmes",25.0
2007,France,"Réalisation de  films à moins de 1 M€, part des femmes",22.9
2008,France,"Réalisation de  films à moins de 1 M€, part des femmes",22.7
2009,France,"Réalisation de  films à moins de 1 M€, part des femmes",17.9
2010,France,"Réalisation de  films à moins de 1 M€, part des femmes",22.5
2011,France,"Réalisation de  films à moins de 1 M€, part des femmes",21.7
2012,France,"Réalisation de  films à moins de 1 M€, part des femmes",27.6
2013,France,"Réalisation de  films à moins de 1 M€, part des femmes",26.4
2014,France,"Réalisation de  films à moins de 1 M€, part des femmes",25.4
2015,France,"Réalisation de  films à moins de 1 M€, part des femmes",20.3
2011-2015,France,Part des films réalisés par des femmes,22.3
2011-2015,Allemagne,Part des films réalisés par des femmes,19.7
2011-2015,Grande Bretagne,Part des films réalisés par des femmes,11.5
2011-2015,Italie,Part des films réalisés par des femmes,10.2
2011-2015,Espagne,Part des films réalisés par des femmes,11.6
2006,France,"Production cinématographique de fiction, part des femmes",40.5
2007,France,"Production cinématographique de fiction, part des femmes",42.4
2008,France,"Production cinématographique de fiction, part des femmes",40.3
2009,France,"Production cinématographique de fiction, part des femmes",41
2010,France,"Production cinématographique de fiction, part des femmes",40.6
2011,France,"Production cinématographique de fiction, part des femmes",43.4
2012,France,"Production cinématographique de fiction, part des femmes",41.8
2013,France,"Production cinématographique de fiction, part des femmes",42.9
2014,France,"Production cinématographique de fiction, part des femmes",43.7
2006,France,"Production cinématographique de fiction, part des femmes",40.5
2007,France,"Production cinématographique de fiction, part des femmes",42.4
2008,France,"Production cinématographique de fiction, part des femmes",40.3
2009,France,"Production cinématographique de fiction, part des femmes",41
2010,France,"Production cinématographique de fiction, part des femmes",40.6
2011,France,"Production cinématographique de fiction, part des femmes",43.4
2012,France,"Production cinématographique de fiction, part des femmes",41.8
2013,France,"Production cinématographique de fiction, part des femmes",42.9
2014,France,"Production cinématographique de fiction, part des femmes",43.7
2008-2014,France,"Cadres dans la production cinématographique, part des femmes",36.6
2008-2014,France,"Non cadres dans la production cinématographique, part des femmes",37.1
2008-2014,France,"Artistes dans la production cinématographique, part des femmes ",44.9
2008-2014,France,"Effectifs dans la production cinématographique total, part des femmes",43.8
2009,France,"Réalisation de courts métrages, part des femmes",29.2
2010,France,"Réalisation de courts métrages, part des femmes",28.8
2011,France,"Réalisation de courts métrages, part des femmes",29.2
2012,France,"Réalisation de courts métrages, part des femmes",29.6
2013,France,"Réalisation de courts métrages, part des femmes",31.8
2014,France,"Réalisation de courts métrages, part des femmes",33.5
2015,France,"Réalisation de courts métrages, part des femmes",38.1
2015,France,"Réalisation de courts métrages animation, part des femmes",54.9
2015,France,"Réalisation de courts métrages documentaire, part des femmes",40
2015,France,"Réalisation de courts métrages expérimental, part des femmes",23.52
2015,France,"Réalisation de courts métrages fiction, part des femmes",33.89
