annee,pays,nom,part de femmes
2017,France,"Apprentis préparant un diplôme d'enseignement supérieur, BTS/BTSA","36,2"
2017,France,"Apprentis préparant un diplôme d'enseignement supérieur, DUT","38,1"
2017,France,"Apprentis préparant un diplôme d'enseignement supérieur, Licence","45,8"
2017,France,"Apprentis préparant un diplôme d'enseignement supérieur, Diplômes d'ingénieurs","17,9"
2017,France,"Apprentis préparant un diplôme d'enseignement supérieur, Master","54,6"
2017,France,"Ingénieurs, techniciens, de recherche et de formation, Ingénieurs de recherche","37,0"
2017,France,"Ingénieurs, techniciens, de recherche et de formation, Ingénieurs d'étude","52,2"
2017,France,"Ingénieurs, techniciens, de recherche et de formation, Assistants ingénieurs","49,9"
2017,France,"Ingénieurs, techniciens, de recherche et de formation, Techniciens de recherche","55,9"
2017,France,"Ingénieurs, techniciens, de recherche et de formation, Adjoints techniques","60,6"
2017,France,"Administratifs, sociaux et de santé, Administrateurs civils","50,8"
2017,France,"Administratifs, sociaux et de santé, Personnels de direction AC et EPES","35,2"
2017,France,"Administratifs, sociaux et de santé, Attachés d'administration d'État","66,3"
2017,France,"Administratifs, sociaux et de santé, Infirmiers","96,8"
2017,France,"Administratifs, sociaux et de santé, Secrétaires d'administration","84,7"
2017,France,"Administratifs, sociaux et de santé, Assistants de service social & infirmiers","96,9"
2017,France,"Administratifs, sociaux et de santé, Adjoints administratifs","89,6"
2017,France,"Administratifs, sociaux et de santé, Adjoints tecniques. des établissement d'enseignement","48,4"
2017,France,"Bibliothèques, Conservateurs des bibliothèque","67,9"
2017,France,"Bibliothèques, Bibliothécaires","75,8"
2017,France,"Bibliothèques, Bibliothécaires adjoints et techniciens","77,3"
2017,France,"Bibliothèques, Magasiniers","61,7"
2017,France,"Direction, inspection, éducation, orientation, Inspecteurs de l'éducation nationale et inspecteurs d'académie","25,0"
2017,France,"Direction, inspection, éducation, orientation, Conseiller principal d'éducation","61,3"
2017,France,"Direction, inspection, éducation, orientation, Personnel d'orientation","66,7"
2017,France,"Direction, inspection, éducation, orientation, Enseignants de catégorie A","56,5"
2015,France,"Effectifs en recherche et développement en entreprise, Chercheurs","20,3"
2015,France,"Effectifs en recherche et développement en entreprise, Personnels de soutien","26,8"
2015,France,"Effectifs en recherche et développement administration, Chercheurs","36,5"
2015,France,"Effectifs en recherche et développement administration, Personnels de soutien","60,6"
