indicator,fr,es
"Apprentis préparant un diplôme d'enseignement supérieur, BTS/BTSA","Apprenti·es préparant un diplôme d'enseignement supérieur, BTS/BTSA, part des femmes","Estudiantes técnicos agricolas, porcentaje de mujeres"
"Apprentis préparant un diplôme d'enseignement supérieur, DUT","Apprenti·es préparant un diplôme d'enseignement supérieur, DUT, part des femmes","Estudiantes diploma universitario de tecnología, porcentaje de mujeres"
"Apprentis préparant un diplôme d'enseignement supérieur, Licence","Apprenti·es préparant un diplôme d'enseignement supérieur, Licence, part des femmes","Estudiantes licenciature, porcentaje de mujeres"
"Apprentis préparant un diplôme d'enseignement supérieur, Diplômes d'ingénieurs","Apprenti·es préparant un diplôme d'enseignement supérieur, Diplômes d'ingénieur·es, part des femmes","Estudiantes ingenería, porcentaje de mujeres"
"Apprentis préparant un diplôme d'enseignement supérieur, Master","Apprenti·es préparant un diplôme d'enseignement supérieur, Master, part des femmes","Estudiantes magister, porcentaje de mujeres"
"Ingénieurs, techniciens, de recherche et de formation, Ingénieurs de recherche","Ingénieur·es, technicien·nes, de recherche et de formation, Ingenieros de , part des femmes","Ingenieros de investigación, porcentaje de mujeres"
"Ingénieurs, techniciens, de recherche et de formation, Ingénieurs d'étude","Ingénieur·es, technicien·nes, de recherche et de formation, Ingénieur·es d'étude, part des femmes","Ingenieros de estudios, porcentaje de mujeres"
"Ingénieurs, techniciens, de recherche et de formation, Assistants ingénieurs","Ingénieur·es, technicien·nes, de recherche et de formation, Assistant·es ingénieur·es, part des femmes","Asistentes de ingenieros, porcentaje de mujeres"
"Ingénieurs, techniciens, de recherche et de formation, Techniciens de recherche","Ingénieur·es, technicien·nes, de recherche et de formation, Technicien·nes de recherche, part des femmes","Técnicos de investigación, porcentaje de mujeres"
"Ingénieurs, techniciens, de recherche et de formation, Adjoints techniques","Ingénieur·es, technicien·nes de recherche et de formation, adjoint·es techniques, part des femmes","Adjuntos técnicos en investigación, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Administrateurs civils","Administratifs, sociaux et de santé, administrateur·trices civils, part des femmes","Administradores civiles en salud, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Personnels de direction AC et EPES","Administratifs, sociaux et de santé, personnels de direction, part des femmes","Personal de dirección en salud, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Attachés d'administration d'État","Administratifs, sociaux et de santé, attaché·es d'administration d'État, part des femmes","Oficiales administrativos, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Infirmiers","Administratifs, sociaux et de santé, infirmier·es, part des femmes","Enfermeros, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Secrétaires d'administration","Administratifs, sociaux et de santé, secrétaires d'administration, part des femmes","Secretarios de administación en salud, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Assistants de service social & infirmiers","Administratifs, sociaux et de santé, assistant·es de service social & infirmier·es, part des femmes","Asistentes de servicio social y enfermeros, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Adjoints administratifs","Administratifs, sociaux et de santé, adjoint·es administratifs, part des femmes","Adjuntos administrativos en salud, porcentaje de mujeres"
"Administratifs, sociaux et de santé, Adjoints tecniques. des établissement d'enseignement","Administratifs, sociaux et de santé, adjoint·es techniques. des établissemenst d'enseignement, part des femmes","Adjuntos técnicos en salud, porcentaje de mujeres"
"Bibliothèques, Conservateurs des bibliothèque","Conservateur·trices de bibliothèques, part des femmes","Conservadores de bibliotecas, porcentaje de mujeres"
"Bibliothèques, Bibliothécaires","Bibliothécaires, part des femmes","Bibliotecarios, porcentaje de mujeres"
"Bibliothèques, Bibliothécaires adjoints et techniciens","Bibliothèques, Bibliothécaires adjoint·es et technicien·nes, part des femmes","Bibliotecarios adjuntos y técnicos, porcentaje de mujeres"
"Bibliothèques, Magasiniers","Bibliothèques, magasinier·es, part des femmes","Almaceneros biblioteca, porcentaje de mujeres"
"Direction, inspection, éducation, orientation, Inspecteurs de l'éducation nationale et inspecteurs d'académie","Inspecteur·trices de l'éducation nationale et inspecteur·trices d'académie, part des femmes","Inspectores educación nacional y academias, porcentaje de mujeres"
"Direction, inspection, éducation, orientation, Conseiller principal d'éducation","Conseiller·e principal·e d'éducation, part des femmes","Consejeros principales de educación, porcentaje de mujeres"
"Direction, inspection, éducation, orientation, Personnel d'orientation","Education nationale, personnel d'orientation, part des femmes","Personal de orientación en la educación nacional, porcentaje de mujeres"
"Direction, inspection, éducation, orientation, Enseignants de catégorie A",Enseignant·es de catégorie A,"Docentes de categoria A, porcentaje de mujeres"
"Effectifs en recherche et développement en entreprise, Chercheurs","Effectifs en recherche et développement en entreprise, chercheur·es, part des femmes","Investigadores en empresas, porcentaje de mujeres"
"Effectifs en recherche et développement en entreprise, Personnels de soutien","Effectifs en recherche et développement en entreprise, personnels de soutien, part des femmes","Personal de apoyo en investigación en empresas, porcentaje de mujeres"
"Effectifs en recherche et développement administration, Chercheurs","Effectifs en recherche et développement administration, chercheur·es, part des femmes","Investigadores de la administración, porcentaje de mujeres"
"Effectifs en recherche et développement administration, Personnels de soutien","Effectifs en recherche et développement administration, personnels de soutien, part des femmes","Personal de apoyo en investigación de la administración, porcentaje de mujeres"
