pays,annee,nom,femmes,hommes,valeur
Hauts de Seine,2018,"Ecart femmes-hommes salaire net horaire moyen total, Cadres",29.9,37,-19.18918919
Hauts de Seine,2018,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17,18.2,-6.593406593
Hauts de Seine,2018,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.6,12.5,0.8
Hauts de Seine,2018,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.7,12.1,-11.57024793
Hauts de Seine,2018,Ecart femmes-hommes salaire net horaire moyen total,21.8,26.4,-17.42424242
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres",29.85,37,-19.32432432
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17,18.2,-6.593406593
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.6,12.56,0.3184713376
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.7,12.1,-11.57024793
Hauts de Seine,2019,Ecart femmes-hommes salaire net horaire moyen total,21.8,26.4,-17.42424242
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",,,-6.7
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",,,-12.7
Hauts de Seine,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",,,-26.7
