pays,annee,nom,femmes,hommes,valeur
Boulogne-Billancourt,2019,Ecart femmes-hommes salaire net horaire moyen total,24.6,32,-23.125
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",31.5,40.8,-22.79411765
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17.9,18.3,-2.18579235
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",13.3,13.7,-2.919708029
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.4,12.2,-6.557377049
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",12.2,13.7,-10.94890511
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",24.5,30.6,-19.93464052
Boulogne-Billancourt,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",29.2,42.3,-30.96926714
Issy-les-Moulineaux,2019,Ecart femmes-hommes salaire net horaire moyen total,23,27.8,-17.26618705
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",29.2,35.1,-16.80911681
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17.2,18.3,-6.010928962
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",13.2,13,1.538461538
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.7,12.6,-7.142857143
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.90,13.1,-9.160305344
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",22.9,26.6,-13.90977444
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",27.3,36.1,-24.3767313
Levallois-Perret,2019,Ecart femmes-hommes salaire net horaire moyen total,24.4,30.8,-20.77922078
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",30.9,38.7,-20.15503876
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",18,20,-10
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",13.7,14.5,-5.517241379
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.3,12.7,-11.02362205
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",12.1,13.4,-9.701492537
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",24.8,30,-17.33333333
Levallois-Perret,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",28.3,39.7,-28.71536524
Châtenay-Malabry,2019,Ecart femmes-hommes salaire net horaire moyen total,18.5,21.1,-12.32227488
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",27.1,31.4,-13.69426752
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",16.4,17.8,-7.865168539
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.1,12.2,-0.8196721311
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.2,11.9,-14.28571429
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.1,11.5,-3.47826087
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",18.2,20.4,-10.78431373
Châtenay-Malabry,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",21.7,27,-19.62962963
Châtillon,2019,Ecart femmes-hommes salaire net horaire moyen total,20.1,23.1,-12.98701299
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",26,29.8,-12.75167785
