pays,annee,nom,valeur
Île-de-France,2014,Écart femmes-hommes taux de chômage,"-0,7"
Île-de-France,2014,Écart femmes-hommes taux d’emploi,"-5,4"
Île-de-France,2014,Écart femmes-hommes taux d’activité,"-5,8"
Île-de-France,2014,Écart femmes-hommes part des salarié·es en contrat à durée indéterminée,"-1,7"
Île-de-France,2014,Écart femmes-hommes part des personnes en emploi à temps partiel,"12,3"
Île-de-France,2014,Écart femmes-hommes part des cadres parmi les personnes en emploi,"-7,0"
France métropolitaine,2014,Écart femmes-hommes taux de chômage,"-0,8"
France métropolitaine,2014,Écart femmes-hommes taux d’emploi,"-6,3"
France métropolitaine,2014,Écart femmes-hommes taux d’activité,"-6,3"
France métropolitaine,2014,Écart femmes-hommes part des salarié·es en contrat à durée indéterminée,"4,5"
France métropolitaine,2014,Écart femmes-hommes part des personnes en emploi à temps partiel,"19,9"
France métropolitaine,2014,Écart femmes-hommes part des cadres parmi les personnes en emploi,"-5,2"
