pays,annee,nom,valeur
Île-de-France,2013,"Conducteurs d'engins du bâtiment et des travaux publics, part de femmes","1,0"
Île-de-France,2013,"Ouvriers qualifiés de la réparation automobile, part de femmes","2,2"
Île-de-France,2013,"Ouvriers qualifiés du second œuvre du bâtiment, part de femmes","2,4"
Île-de-France,2013,"Ouvriers qualifiés du gros œuvre du bâtiment, part de femmes","2,5"
Île-de-France,2013,"Ouvriers qualifiés travaillant par formage de métal, part de femmes","3,0"
Île-de-France,2013,"Ouvriers qualifiés des travaux publics, du béton et de l'extraction, part de femmes","3,3"
Île-de-France,2013,"Conducteurs de véhicules, part de femmes","4,9"
Île-de-France,2013,"Ouvriers qualifiés travaillant par enlèvement de métal, part de femmes","5,6"
Île-de-France,2013,"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction, part de femmes","7,8"
Île-de-France,2013,"Ouvriers non qualifiés du second œuvre du bâtiment, part de femmes","7,9"
Île-de-France,2013,"Ouvriers non qualifiés de la mécanique, part de femmes","8,3"
Île-de-France,2013,"Maraîchers, jardiniers, viticulteurs, part de femmes","8,7"
Île-de-France,2013,"Techniciens et agents de maîtrise de l'électricité et de l'électronique, part de femmes","9,0"
Île-de-France,2013,"Ouvriers non qualifiés du travail du bois et de l'ameublement, part de femmes","9,8"
Île-de-France,2013,"Ouvriers qualifiés de la maintenance, part de femmes","10,3"
Île-de-France,2013,"Techniciens et agents de maîtrise du bâtiment et des travaux publics, part de femmes","11,4"
Île-de-France,2013,"Ouvriers qualifiés de la mécanique, part de femmes","13,4"
Île-de-France,2013,"Ouvriers qualifiés du travail du bois et de l'ameublement, part de femmes","13,4"
Île-de-France,2013,"Ouvriers non qualifiés travaillant par enlèvement ou formage de métal, part de femmes","15,8"
Île-de-France,2013,"Techniciens et agents de maîtrise des industries mécaniques, part de femmes","16,0"
Île-de-France,2013,"Bouchers, charcutiers, boulangers, part de femmes","16,0"
Île-de-France,2013,"Ouvriers qualifiés de l'électricité et de l'électronique, part de femmes","17,0"
Île-de-France,2013,"Ouvriers qualifiés de la manutention, part de femmes","17,1"
Île-de-France,2013,"Techniciens et agents de maîtrise de la maintenance, part de femmes","17,7"
Île-de-France,2013,"Ouvriers non qualifiés de l'électricité et de l'électronique, part de femmes","21,1"
Île-de-France,2013,"Armée, police, pompiers, part de femmes","21,2"
Île-de-France,2013,"Techniciens employés et opérateurs de l'informatique, part de femmes","21,5"
Île-de-France,2013,"Dirigeants d'entreprises, part de femmes","21,8"
Île-de-France,2013,"Agriculteurs, éleveurs, sylviculteurs, bûcherons, part de femmes","22,9"
Île-de-France,2013,"Ingénieurs de l'informatique, part de femmes","23,0"
Île-de-France,2013,"Agents d'exploitation des transports, part de femmes","23,7"
Île-de-France,2013,"Cadres du bâtiment et des travaux publics, part de femmes","24,5"
Île-de-France,2013,"Ingénieurs et cadres techniques de l'industrie, part de femmes","25,1"
Île-de-France,2013,"Professionnels de la politique et clergé, part de femmes","25,2"
Île-de-France,2013,"Ouvriers non qualifiés de la manutention, part de femmes","25,3"
Île-de-France,2013,"Ouvriers non qualifiés des industries de process, part de femmes","26,9"
Île-de-France,2013,"Personnels d'études et de recherche, part de femmes","28,4"
Île-de-France,2013,"Cuisiniers, part de femmes","28,4"
Île-de-France,2013,"Cadres des transports, de la logistique et navigants de l'aviation, part de femmes","28,5"
Île-de-France,2013,"Ouvriers des industries graphiques, part de femmes","29,9"
Île-de-France,2013,"Techniciens et cadres de l'agriculture, part de femmes","30,1"
Île-de-France,2013,"Ouvriers qualifiés des industries de process, part de femmes","30,7"
Île-de-France,2013,"Employés des services divers, part de femmes","31,0"
Île-de-France,2013,"Patrons et cadres d'hôtels, cafés, restaurants, part de femmes","32,5"
Île-de-France,2013,"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques, part de femmes","33,7"
Île-de-France,2013,"Techniciens et agents de maîtrise des industries de process, part de femmes","33,9"
Île-de-France,2013,"Agents de gardiennage et de sécurité, part de femmes","34,2"
Île-de-France,2013,"Cadres commerciaux et technico-commerciaux, part de femmes","39,4"
Île-de-France,2013,"Artisans et ouvriers artisanaux, part de femmes","41,6"
Île-de-France,2013,"Professionnels des arts et des spectacles, part de femmes","43,4"
Île-de-France,2013,"Attachés commerciaux et représentants, part de femmes","45,4"
Île-de-France,2013,"Cadres de la banque et des assurances, part de femmes","46,4"
