pays,annee,nom,valeur
CC Gally Mauldre,2014,"Écart femmes-hommes, part des cadres","-15,9"
CA Rambouillet Territoires,2014,"Écart femmes-hommes, part des cadres","-15,5"
CC du Pays de Limours (Ccpl),2014,"Écart femmes-hommes, part des cadres","-14,6"
CA Versailles Grand Parc (C.A.V.G.P.),2014,"Écart femmes-hommes, part des cadres","-13,7"
CC du Pays Houdanais (C.C.P.H.),2014,"Écart femmes-hommes, part des cadres","-13,6"
CA de Saint-Quentin-en-Yvelines,2014,"Écart femmes-hommes, part des cadres","-13,1"
CC de la Haute Vallée de Chevreuse,2014,"Écart femmes-hommes, part des cadres","-12,9"
CC Cœur d'Yvelines,2014,"Écart femmes-hommes, part des cadres","-12,5"
CA Val d'Europe,2014,"Écart femmes-hommes, part des cadres","-12,1"
Vallée Sud Grand Paris,2014,"Écart femmes-hommes, part des cadres","-12,0"
CC Le Dourdannais en Hurepoix (Ccdh),2014,"Écart femmes-hommes, part des cadres","-12,0"
CA Saint-Germain Boucles de Seine,2014,"Écart femmes-hommes, part des cadres","-11,5"
CA Communauté Paris-Saclay,2014,"Écart femmes-hommes, part des cadres","-10,9"
Grand Paris Seine Ouest,2014,"Écart femmes-hommes, part des cadres","-10,3"
CC des Deux Vallées,2014,"Écart femmes-hommes, part des cadres","-10,1"
Paris Ouest La Défense,2014,"Écart femmes-hommes, part des cadres","-9,8"
CA du Pays de Fontainebleau,2014,"Écart femmes-hommes, part des cadres","-9,7"
CA Marne et Gondoire,2014,"Écart femmes-hommes, part des cadres","-9,5"
CA de Cergy-Pontoise,2014,"Écart femmes-hommes, part des cadres","-9,5"
CC Les Portes Briardes entre Villes et Forêts,2014,"Écart femmes-hommes, part des cadres","-9,5"
CC du Val d'Essonne (Ccve),2014,"Écart femmes-hommes, part des cadres","-9,4"
CC du Vexin-Val de Seine,2014,"Écart femmes-hommes, part des cadres","-9,3"
CC de la Vallée de l'Oise et des Trois Forêts,2014,"Écart femmes-hommes, part des cadres","-9,1"
CC Vexin Centre,2014,"Écart femmes-hommes, part des cadres","-9,1"
CC Carnelle Pays-De-France,2014,"Écart femmes-hommes, part des cadres","-8,9"
CC Moret Seine et Loing,2014,"Écart femmes-hommes, part des cadres","-8,8"
CC Entre Juine et Renarde (Ccejr),2014,"Écart femmes-hommes, part des cadres","-8,6"
CA Val d'Yerres Val de Seine,2014,"Écart femmes-hommes, part des cadres","-8,1"
CU Grand Paris Seine et Oise,2014,"Écart femmes-hommes, part des cadres","-8,1"
CA Val Parisis,2014,"Écart femmes-hommes, part des cadres","-8,0"
CA Cœur d'Essonne,2014,"Écart femmes-hommes, part des cadres","-8,0"
Paris-Est-Marne et Bois,2014,"Écart femmes-hommes, part des cadres","-7,7"
CC Les Portes de l’Île de France,2014,"Écart femmes-hommes, part des cadres","-7,3"
CA Grand Paris Sud Seine Essonne Sénart,2014,"Écart femmes-hommes, part des cadres","-7,1"
CC Brie Nangissienne,2014,"Écart femmes-hommes, part des cadres","-7,1"
CC Sausseron Impressionnistes,2014,"Écart femmes-hommes, part des cadres","-6,9"
CA Plaine Vallée,2014,"Écart femmes-hommes, part des cadres","-6,9"
CA Paris - Vallée de la Marne,2014,"Écart femmes-hommes, part des cadres","-6,8"
Grand Paris Sud Est Avenir,2014,"Écart femmes-hommes, part des cadres","-6,8"
CC Pays Créçois,2014,"Écart femmes-hommes, part des cadres","-6,7"
Ville de Paris,2014,"Écart femmes-hommes, part des cadres","-6,5"
CA Étampois Sud-Essonne,2014,"Écart femmes-hommes, part des cadres","-6,5"
CC Pays de Nemours,2014,"Écart femmes-hommes, part des cadres","-6,4"
Grand-Orly Seine Bièvre,2014,"Écart femmes-hommes, part des cadres","-6,3"
Boucle Nord de Seine,2014,"Écart femmes-hommes, part des cadres","-6,0"
CC l'Orée de la Brie,2014,"Écart femmes-hommes, part des cadres","-5,7"
CA Melun Val de Seine,2014,"Écart femmes-hommes, part des cadres","-5,7"
CA du Pays de Meaux,2014,"Écart femmes-hommes, part des cadres","-5,6"
CC Brie des Rivières et Châteaux,2014,"Écart femmes-hommes, part des cadres","-5,4"
Grand Paris - Grand Est,2014,"Écart femmes-hommes, part des cadres","-5,4"
CC du Haut Val d'Oise,2014,"Écart femmes-hommes, part des cadres","-5,3"
CC Gâtinais Val de Loing,2014,"Écart femmes-hommes, part des cadres","-5,1"
CC du Pays Fertois,2014,"Écart femmes-hommes, part des cadres","-5,1"
CC Val Briard,2014,"Écart femmes-hommes, part des cadres","-4,6"
CC Plaines et Monts de France,2014,"Écart femmes-hommes, part des cadres","-4,6"
CC des Deux Morin,2014,"Écart femmes-hommes, part des cadres","-4,1"
CC Pays de Coulommiers,2014,"Écart femmes-hommes, part des cadres","-3,8"
CC du Pays de l'Ourcq,2014,"Écart femmes-hommes, part des cadres","-3,7"
CC Pays de Montereau,2014,"Écart femmes-hommes, part des cadres","-3,5"
CA Roissy Pays de France,2014,"Écart femmes-hommes, part des cadres","-3,5"
CC Bassée-Montois,2014,"Écart femmes-hommes, part des cadres","-2,9"
Paris Terres d'Envol,2014,"Écart femmes-hommes, part des cadres","-2,6"
Est Ensemble,2014,"Écart femmes-hommes, part des cadres","-2,3"
Plaine Commune,2014,"Écart femmes-hommes, part des cadres","-2,3"
CC du Provinois,2014,"Écart femmes-hommes, part des cadres","-1,7"
