indicator,fr,es
"Part des femmes dans les conseils municipaux","Conseils municipaux, part des femmes",
"Part des femmes dans les conseils municipaux moins de 1000 habitants","Conseils municipaux, moins de 1000 habitants, part des femmes",
"Part des femmes dans les conseils municipaux 1000 habitants au plus","Conseils municipaux, 1000 habitants au plus, part des femmes",
"Part de femmes maires","Maires, part de femmes ",
"Part de femmes maires, moins de 1000 habitants","Maires, moins de 1000 habitants, part de femmes",
"Part de femmes maires, 1000 habitants au plus","Maires, 1000 habitants au plus, part de femmes",
"Part de femmes adjoint·es et conseiller·es ","Maires adjoint·es et conseiller·es, part de femmes",
"Part de femmes adjoint·es et conseiller·es, moins de 1000 habitants","Maires adjoint·es et conseiller·es, moins de 1000 habitants, part de femmes",
"Part de femmes adjoint·es et conseiller·es, 1000 habitants au plus","Maires adjoint·es et conseiller·es, 1000 habitants au plus, part de femmes",
"Écart femmes-hommes taux travailleur·euses avec 2 enfants à temps partiel","Écart femmes-hommes taux travailleur·euses avec 2 enfants à temps partiel",
"Écart femmes-hommes taux travailleur·euses avec 3 ou plus enfants à temps partiel","Écart femmes-hommes taux travailleur·euses avec 3 ou plus enfants à temps partiel",
"Écart femmes-hommes taux travailleur·euses sans enfants à temps partiel","Écart femmes-hommes taux travailleur·euses sans enfants à temps partiel",
"Écart femmes-hommes taux travailleur·euses avec 1 enfants à temps partiel","Écart femmes-hommes taux travailleur·euses avec 1 enfants à temps partiel",
"Écart femmes-hommes part des salarié·es en contrat à durée indéterminée","Écart femmes-hommes part des salarié·es en contrat à durée indéterminée",
"Écart femmes-hommes part des cadres parmi les personnes en emploi","Écart femmes-hommes part des cadres parmi les personnes en emploi",
"Écart femmes-hommes part des personnes en emploi à temps partiel","Écart femmes-hommes part des personnes en emploi à temps partiel",
"Écart femmes-hommes taux d’activité","Écart femmes-hommes taux d’activité",
"Écart femmes-hommes taux d’emploi","Écart femmes-hommes taux d’emploi",
"Écart femmes-hommes taux de chômage","Écart femmes-hommes taux de chômage",
"Écart femmes-hommes taux d'emploi","Écart femmes-hommes taux d'emploi",
"Écart femmes-hommes taux de temps partiel","Écart femmes-hommes taux de temps partiel",
"Écart femmes-hommes, part des cadres","Écart femmes-hommes, part des cadres",
"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction, part de femmes","Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction, part de femmes",
"Ouvriers qualifiés de la mécanique, part de femmes","Ouvriers qualifiés de la mécanique, part de femmes",
"Ouvriers qualifiés du textile et du cuir, part de femmes","Ouvriers qualifiés du textile et du cuir, part de femmes",
"Secrétaires de direction, part de femmes","Secrétaires de direction, part de femmes",
"Patrons et cadres d'hôtels, cafés, restaurants, part de femmes","Patrons et cadres d'hôtels, cafés, restaurants, part de femmes",
"Techniciens et agents de maîtrise des industries de process, part de femmes","Techniciens et agents de maîtrise des industries de process, part de femmes",
"Techniciens employés et opérateurs de l'informatique, part de femmes","Techniciens employés et opérateurs de l'informatique, part de femmes",
"Aides-soignants, part de femmes","Aides-soignants, part de femmes",
"Ouvriers non qualifiés des industries de process, part de femmes","Ouvriers non qualifiés des industries de process, part de femmes",
"Agriculteurs, éleveurs, sylviculteurs, bûcherons, part de femmes","Agriculteurs, éleveurs, sylviculteurs, bûcherons, part de femmes",
"Ouvriers non qualifiés de la manutention, part de femmes","Ouvriers non qualifiés de la manutention, part de femmes",
"Professionnels de l'action sociale et de l'orientation, part de femmes","Professionnels de l'action sociale et de l'orientation, part de femmes",
"Cadres de la banque et des assurances, part de femmes","Cadres de la banque et des assurances, part de femmes",
"Ouvriers qualifiés du second œuvre du bâtiment, part de femmes","Ouvriers qualifiés du second œuvre du bâtiment, part de femmes",
"Ouvriers qualifiés du travail du bois et de l'ameublement, part de femmes","Ouvriers qualifiés du travail du bois et de l'ameublement, part de femmes",
"Assistantes maternelles, part de femmes","Assistantes maternelles, part de femmes",
"Professionnels des arts et des spectacles, part de femmes","Professionnels des arts et des spectacles, part de femmes",
