indicator,fr,es
Part de chefs de famille monoparentale propriétaires,"Écart femmes-hommes, part de chefs de famille monoparentale propriétaires","Brecha mujeres-hommes, "
Proportion parmi les cadres dirigeants,"Écart femmes-hommes, proportion parmi les cadres dirigeants","Brecha mujeres-hommes, "
Proportion parmi les licenciés de sport,"Écart femmes-hommes, proportion parmi les licenciés de sport","Brecha mujeres-hommes, "
"Proportion dans les conseils municipaux, maires","Écart femmes-hommes, proportion dans les conseils municipaux, maires","Brecha mujeres-hommes, "
"Proportion dans les conseils municipaux, adjoints et conseillers","Écart femmes-hommes, proportion dans les conseils municipaux, adjoints et conseillers","Brecha mujeres-hommes, "
Salaire net annuel moyen en EQTP,"Écart femmes-hommes, salaire net annuel moyen en eqtp","Brecha mujeres-hommes, "
Salaire net annuel moyen en EQTP des cadres,"Écart femmes-hommes, salaire net annuel moyen en eqtp des cadres","Brecha mujeres-hommes, "
Revenu salarial net annuel moyen,"Écart femmes-hommes, revenu salarial net annuel moyen","Brecha mujeres-hommes, "
Taux d’activité chez les 25 à 54 ans,"Écart femmes-hommes, taux d’activité chez les 25 à 54 ans","Brecha mujeres-hommes, "
Nombre de familles professionnelles concentrant la moitié des emplois,"Écart femmes-hommes, nombre de familles professionnelles concentrant la moitié des emplois","Brecha mujeres-hommes, "
Part de salariés à temps partiel chez les 25 à 54 ans,"Écart femmes-hommes, part de salariés à temps partiel chez les 25 à 54 ans","Brecha mujeres-hommes, "
Taux de chômage chez les 25 à 54 ans,"Écart femmes-hommes, taux de chômage chez les 25 à 54 ans","Brecha mujeres-hommes, "
 taux de scolarisation à 18 ans,"Écart femmes-hommes,  aux de scolarisation à 18 ans","Brecha mujeres-hommes, "
 part d’inscrits en bac professionnel,"Écart femmes-hommes, part d’inscrits en bac professionnel","Brecha mujeres-hommes, "
 part de diplômés du supérieur chez les 25 à 54 ans,"Écart femmes-hommes, part de diplômés du supérieur chez les 25 à 54 ans","Brecha mujeres-hommes, "
taux d’emploi des non diplômés chez les 25 à 54 ans,"Écart femmes-hommes, taux d’emploi des non diplômés chez les 25 à 54 ans","Brecha mujeres-hommes, tasa de empleo no tituladas"
