annee,pays,nom,valeur
2016,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-13%
2016,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,12%
2016,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,-3%
2016,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,0%
2016,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-1%
2017,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-21%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses,-11%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de résidence,-5%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de traduction,17%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- traducteurs étrangers ,-28%
2018,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-43%
2018,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,-9%
2018,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,3%
2018,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,16%
2018,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-16%
2016,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-13%
2016,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,12%
2016,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,-3%
2016,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,0%
2016,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-1%
2017,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-21%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses,-11%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de résidence,-5%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses de traduction,17%
2017,France,Centre national du livre (CNL)- Montant moyen des aides accordées aux femmes par rapport aux hommes- traducteurs étrangers ,-28%
2018,France,Centre national du livre (CNL)- assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes- assistance culturelle,-43%
2018,France,Centre national du livre (CNL)- bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,-9%
2018,France,Centre national du livre (CNL)- bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,3%
2018,France,Centre national du livre (CNL)- bourses de traduction- Montant moyen des aides accordées aux femmes par rapport aux hommes,16%
2018,France,Centre national du livre (CNL)- traducteurs étrangers  Montant moyen des aides accordées aux femmes par rapport aux hommes,-16%
2018,France,"Artistes, Revenu médian des femmes par rapport aux hommes",-24%
2018,France,"Compositeur·rice musical et chorégraphique, Revenu médian des femmes par rapport aux hommes",-32%
2018,France,"Dessinateur·trice textile, Revenu médian des femmes par rapport aux hommes",-12%
2018,France,"Dessinateur·trice, Revenu médian des femmes par rapport aux hommes",-24%
2018,France,"Traducteur·rice, Revenu médian des femmes par rapport aux hommes",-19%
2018,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35%
2017,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-37%
2016,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-60%
2015,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-26%
2014,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-35%
2013,France,"Devis moyen des films d’initiative française, femmes par rapport aux hommes",-43%
2018,France,"Écrivain·e·s et auteur·e·s d’œuvres dramatiques, Revenu médian des femmes par rapport aux hommes",-14%
2018,France,"Auteur·e·s d’œuvres audiovisuelles, Revenu médian des femmes par rapport aux hommes",-22%
2018,France,"Photographes, Revenu médian des femmes par rapport aux hommes",-26%
