pays,annee,nom,prevaleur,valeur,femmes,hommes,notes
France,2015,"Victimes de viol par famille et proches dans les 12 derniers mois, part de femmes",100%,100,0.02,0.00,Tableau 5 - page 28
France,2015,"Victimes de tentative de viol par famille et proches dans les 12 derniers mois, part de femmes",100%,100,0.02,0,
France,2015,"Victimes de tentative d'autre agression sexuelle par famille et proches dans les 12 derniers mois, part de femmes",77%,77,0.1,0.03,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e par famille et proches dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de viol dans leur études dans les 12 derniers mois, part de femmes",100%,100,0.41,0,
France,2015,"Victimes de tentative de viol dans leur études dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de tentative d'autre agression sexuelle dans leur études dans les 12 derniers mois, part de femmes",53%,53,1.78,1.63,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e dans leur études dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de viol au travail dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de tentative de viol au travail dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de tentative d'autre agression sexuelle au travail dans les 12 derniers mois, part de femmes",68%,68,1.05,0.5,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e au travail dans les 12 derniers mois, part de femmes",#DIV/0!,#DIV/0!,0,0,
France,2015,"Victimes de viol dans le couple dans les 12 derniers mois, part de femmes",90%,90,0.18,0.02,
France,2015,"Victimes de tentative de viol dans le couple dans les 12 derniers mois, part de femmes",94%,94,0.14,0.01,
France,2015,"Victimes de tentative d'autre agression sexuelle dans le couple dans les 12 derniers mois, part de femmes",73%,73,0.18,0.07,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e dans le couple dans les 12 derniers mois, part de femmes",11%,11,0.01,0.08,
France,2015,"Victimes de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",100%,100,0.09,0,
France,2015,"Victimes de tentative de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",100%,100,0.09,0,
France,2015,"Victimes de tentative d'autre agression sexuelle par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",76%,76,0.09,0.03,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",72%,72,0.05,0.02,
France,2015,"Victimes de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",100%,100,0.05,0,
France,2015,"Victimes de tentative de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",100%,100,0.02,0,
France,2015,"Victimes de tentative d'autre agression sexuelle dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",80%,80,1.9,0.47,
France,2015,"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",49%,49,0.01,0.01,
