pays,annee,nom,prevaleur,valeur,femmes,hommes,notes,doc
France,2017,"Victimes de violences commises par le·la partenaire enregistrées par les services de police et de gendarmerie, part de femmes",88%,,,,page 1,https://stop-violences-femmes.gouv.fr/IMG/pdf/violences_au_sein_du_couple_et_violences_sexuelles_novembre_2018.pdf
France,2017,"Personnes condamnées pour des faits de violences entre partenaires, part de femmes",4%,,,,page 1,
France,2017,"Victimes de violences sexuelles, enregistrées par les services de police et de gendarmerie, part de femmes",86%,,,,page 1,
France,2017,"Personnes condamnées pour violences sexuelles, part de femmess",1%,,,,page 1,
France,2017,"Personnes tuées par leur (ex)-partenaire, part de femmes",86%,86,130,21,page 5 - tableau 1,
France,2016,"Personnes tuées par leur (ex)-partenaire, part de femmes",78%,78,123,34,page 5 - tableau 1,
France,2015,"Personnes tuées par leur (ex)-partenaire, part de femmes",84%,84,122,22,page 5 - tableau 1,
France,2014,"Personnes tuées par leur (ex)-partenaire, part de femmes",81%,81,134,31,page 5 - tableau 1,
France,2013,"Personnes tuées par leur (ex)-partenaire, part de femmes",81%,81,129,30,page 5 - tableau 1,
France,2012,"Personnes tuées par leur (ex)-partenaire, part de femmes",84%,84,166,31,page 5 - tableau 1,
France,2010,"Personnes tuées par leur (ex)-partenaire, part de femmes",82%,82,157,33,page 5 - tableau 1,
France,2009,"Personnes tuées par leur (ex)-partenaire, part de femmes",90%,90,151,16,page 5 - tableau 1,
France,2008,"Personnes tuées par leur (ex)-partenaire, part de femmes",85%,85,168,28,page 5 - tableau 1,
France,2007,"Personnes tuées par leur (ex)-partenaire, part de femmes",86%,86,179,29,page 5 - tableau 1,
France,2006,"Personnes tuées par leur (ex)-partenaire, part de femmes",83%,83,148,29,page 5 - tableau 1,
France,2017,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",87%,87,109,16,page 5 - tableau 1,
France,2016,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",78%,78,109,29,page 5 - tableau 1,
France,2015,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",84%,84,115,21,page 5 - tableau 1,
France,2014,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",82%,82,118,25,page 5 - tableau 1,
France,2013,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",82%,82,121,25,page 5 - tableau 1,
France,2012,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",85%,85,148,26,page 5 - tableau 1,
France,2010,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",83%,83,146,28,page 5 - tableau 1,
France,2009,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",84%,84,140,25,page 5 - tableau 1,
France,2008,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",85%,85,156,27,page 5 - tableau 1,
