annee,pays,nom,value
2010,Québec,"Danse et chorégraphie, part des femmes",72.6
2010,Québec,"Artistes en arts visuels, part des femmes",59.6
2006,Québec,"Directeurs, édition, cinéma, radiotélédiffusion et arts de la scène, part des femmes",43.2
2006,Québec,"Producteurs, réalisateurs, chorégraphes et personnel assimilé, part des femmes",34
2006,Québec,"Acteurs et comédiens, part des femmes",47.3
2006,Québec,"Cadreurs de films et cadreurs de vidéos, part des femmes",13.3
2006,Québec,"Techniciens en enregistrement audio et vidéo, part des femmes",20.6
2006,Québec,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes",38.5
2006,Québec,"Personnel de soutien du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes",34
2006,Québec,"Total (Industrie du film et de la vidéo), part des femmes",34
2006,Québec,"Professions culturelles, part des femmes",52.2
