annee,pays,nom,femmes,hommes
2015,Montréal,"Revenu annuel médian selon le sexe, population de 15 ans et plus","27,0 k$","31,8 k$"
2010,Québec,Revenu moyen tiré de la danse,"12,4 k$","18,1 k$"
2010,Québec,Revenus personnels moyen artistes arts visuels,"27, 6 k$","40,1 k$"
2010,Québec,Revenus personnels médian artistes arts visuels,"23,8 k$","30,0 k$"
2016,Québec,"Revenu moyen, revenu après impôt, ménages","54,7 k$","69,8 k$"
2015,Québec,"Revenu moyen, revenu après impôt, ménages","53,3 k$","67,2 k$"
2014,Québec,"Revenu moyen, revenu après impôt, ménages","53,3 k$","68,3 k$"
2013,Québec,"Revenu moyen, revenu après impôt, ménages","53,8 k$","67,1 k$"
2013,Québec,"Revenu moyen, revenu après impôt, ménages","51,3 k$","67,8 k$"
2016,Québec,"Revenu moyen, revenu total, ménages","63,8 k$","85,2 k$"
2015,Québec,"Revenu moyen, revenu total, ménages","62,1 k$","81,4 k$"
2014,Québec,"Revenu moyen, revenu total, ménages","62,6 k$","83,7 k$"
2013,Québec,"Revenu moyen, revenu total, ménages","62,8 k$","81,7 k$"
2016,Québec,"Revenu moyen, revenu après impôt, Particuliers","29,2 k$","38,2 k$"
2015,Québec,"Revenu moyen, revenu après impôt, Particuliers","28,3 k$","36,6 k$"
2014,Québec,"Revenu moyen, revenu après impôt, Particuliers","27,5 k$","38,1 k$"
2013,Québec,"Revenu moyen, revenu après impôt, Particuliers","28,1 k$","36,2 k$"
2016,Québec,"Revenu moyen, revenu total, Particuliers","33,9 k$","47,1 k$"
2015,Québec,"Revenu moyen, revenu total, Particuliers","32,9 k$","44,6 k$"
2014,Québec,"Revenu moyen, revenu total, Particuliers","31,9 k$","47,2 k$"
2013,Québec,"Revenu moyen, revenu total, Particuliers","32,6 k$","44,4 k$"
2016,Québec,"Revenu moyen, revenu du marché, Particuliers","26,4 k$","41,5 k$"
2015,Québec,"Revenu moyen, revenu du marché, Particuliers","25,8 k$","39,1 k$"
2014,Québec,"Revenu moyen, revenu du marché, Particuliers","25,1 k$","41,8 k$"
2013,Québec,"Revenu moyen, revenu du marché, Particuliers",26 k$,39 k$
2016,Québec,"Revenu médian, revenu après impôt, particuliers","25,2 k$",33 k$
2015,Québec,"Revenu médian, revenu après impôt, particuliers","24,6 k$",32 k$
2014,Québec,"Revenu médian, revenu après impôt, particuliers","23,5 k$","33,2 k$"
2013,Québec,"Revenu médian, revenu après impôt, particuliers","24,2 k$","31,5 k$"
2016,Québec,"Revenu médian, revenu total, Particuliers","27,1 k$","37,4 k$"
2015,Québec,"Revenu médian, revenu total, Particuliers ","26,6 k$","36,2 k$"
2014,Québec,"Revenu médian, revenu total, Particuliers ","25,2 k$","37,7 k$"
2013,Québec,"Revenu médian, revenu total, Particuliers ","25,8 k$","35,4 k$"
