pays,formulation,value,map_value,année,,,,,,,,
,,,,,,,,,,,,
Région,,,,,Taux de scolarisation à 18 ans – 2013 (Points de %),Taux de scolarisation à 18 ans – 1999 (Points de %),Part d'inscrits en bac professionnel – 2013 (Points de %),Part d'inscrits en bac professionnel – 2000 (Points de %),Part de diplômés du supérieur chez les 25 à 54 ans – 2013 (Points de %),Part de diplômés du supérieur chez les 25 à 54 ans – 1999 (Points de %),Taux d'emploi des non diplômés chez les 25 à 54 ans – 2013 (Points de %),Taux d'emploi des non diplômés chez les 25 à 54 ans – 1999 (Points de %)
Auvergne-Rhône-Alpes,Ecart hommes/femmes taux de scolarisation,,,2013,5.0,5.2,-8.9,-9.3,7.7,2.8,-16.6,-22.7
Bourgogne-Franche-Comté,Ecart hommes/femmes taux de scolarisation,,,2013,2.6,4.9,-7.6,-10.3,7.7,2.5,-15.7,-24.7
Bretagne,Ecart hommes/femmes taux de scolarisation,,,2013,2.8,4.9,-7.4,-12.1,9.1,3.1,-11.4,-16.3
Centre-Val de Loire,Ecart hommes/femmes taux de scolarisation,,,2013,5.6,6.9,-7.9,-7.3,7.4,2.1,-13.1,-19.2
Corse,Ecart hommes/femmes taux de scolarisation,,,2013,5.5,4.1,-5.3,1.4,8.6,4.2,-28.3,-32.4
Grand Est,Ecart hommes/femmes taux de scolarisation,,,2013,3.7,4.9,-6.2,-7.5,5.9,1.2,-18.6,-28.2
Hauts-de-France,Ecart hommes/femmes taux de scolarisation,,,2013,4.0,3.9,-6.0,-7.8,5.5,0.6,-21.1,-28.6
Ile-de-France,Ecart hommes/femmes taux de scolarisation,,,2013,5.3,5.1,-7.8,-5.0,4.2,-0.1,-14.0,-15.5
Normandie,Ecart hommes/femmes taux de scolarisation,,,2013,4.6,5.5,-6.2,-8.5,7.1,2.1,-14.1,-21.8
Nouvelle-Aquitaine,Ecart hommes/femmes taux de scolarisation,,,2013,4.0,4.9,-8.1,-9.5,8.0,3.0,-14.6,-20.9
Occitanie,Ecart hommes/femmes taux de scolarisation,,,2013,4.5,5.1,-7.9,-7.9,7.5,3.2,-17.1,-23.4
Pays de la Loire,Ecart hommes/femmes taux de scolarisation,,,2013,4.2,6.0,-5.3,-10.0,7.3,1.9,-10.8,-18.9
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes taux de scolarisation,,,2013,6.1,4.6,-5.5,-5.3,6.8,2.4,-19.0,-26.1
France de province,Ecart hommes/femmes taux de scolarisation,,,2013,4.4,5.0,-7.1,-8.5,7.2,2.3,-16.7,-23.7
France métropolitaine,Ecart hommes/femmes taux de scolarisation,,,2013,4.6,5.0,-7.2,-7.8,6.6,1.9,-16.2,-22.3
Guadeloupe,Ecart hommes/femmes taux de scolarisation,,,2013,9.8,6.6,-11.6,-7.0,6.4,1.2,-16.0,-15.5
Martinique,Ecart hommes/femmes taux de scolarisation,,,2013,11.7,6.1,-13.7,-5.7,7.6,2.8,-10.5,-14.5
Guyane,Ecart hommes/femmes taux de scolarisation,,,2013,-0.3,-1.8,-10.2,-8.8,3.7,-0.4,-14.3,-25.2
Réunion,Ecart hommes/femmes taux de scolarisation,,,2013,6.1,3.2,-12.5,-5.2,3.7,-0.1,-17.6,-20.2
DOM,Ecart hommes/femmes taux de scolarisation,,,2013,6.9,4.1,-12.2,-6.0,5.2,0.9,-15.7,-18.5
France,Ecart hommes/femmes taux de scolarisation,,,2013,4.7,5.0,-7.4,-7.7,6.5,1.8,-16.2,-22.0
Auvergne-Rhône-Alpes,Ecart hommes/femmes taux de scolarisation,,,1999,5.2,,,,,,,
Bourgogne-Franche-Comté,Ecart hommes/femmes taux de scolarisation,,,1999,4.9,,,,,,,
Bretagne,Ecart hommes/femmes taux de scolarisation,,,1999,4.9,,,,,,,
Centre-Val de Loire,Ecart hommes/femmes taux de scolarisation,,,1999,6.9,,,,,,,
Corse,Ecart hommes/femmes taux de scolarisation,,,1999,4.1,,,,,,,
Grand Est,Ecart hommes/femmes taux de scolarisation,,,1999,4.9,,,,,,,
Hauts-de-France,Ecart hommes/femmes taux de scolarisation,,,1999,3.9,,,,,,,
Ile-de-France,Ecart hommes/femmes taux de scolarisation,,,1999,5.1,,,,,,,
Normandie,Ecart hommes/femmes taux de scolarisation,,,1999,5.5,,,,,,,
Nouvelle-Aquitaine,Ecart hommes/femmes taux de scolarisation,,,1999,4.9,,,,,,,
Occitanie,Ecart hommes/femmes taux de scolarisation,,,1999,5.1,,,,,,,
Pays de la Loire,Ecart hommes/femmes taux de scolarisation,,,1999,6.0,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes taux de scolarisation,,,1999,4.6,,,,,,,
France de province,Ecart hommes/femmes taux de scolarisation,,,1999,5.0,,,,,,,
France métropolitaine,Ecart hommes/femmes taux de scolarisation,,,1999,5.0,,,,,,,
Guadeloupe,Ecart hommes/femmes taux de scolarisation,,,1999,6.6,,,,,,,
Martinique,Ecart hommes/femmes taux de scolarisation,,,1999,6.1,,,,,,,
Guyane,Ecart hommes/femmes taux de scolarisation,,,1999,-1.8,,,,,,,
Réunion,Ecart hommes/femmes taux de scolarisation,,,1999,3.2,,,,,,,
DOM,Ecart hommes/femmes taux de scolarisation,,,1999,4.1,,,,,,,
France,Ecart hommes/femmes taux de scolarisation,,,1999,5.0,,,,,,,
Auvergne-Rhône-Alpes,Ecart hommes/femmes part d'inscrits en bac professionnel,-8.86%,0.08856745546,2013,-8.9,,,,,,,
Bourgogne-Franche-Comté,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.61%,0.07606376849,2013,-7.6,,,,,,,
Bretagne,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.41%,0.07406887349,2013,-7.4,,,,,,,
Centre-Val de Loire,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.86%,0.07861690321,2013,-7.9,,,,,,,
Corse,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.3%,0.05296816361,2013,-5.3,,,,,,,
Grand Est,Ecart hommes/femmes part d'inscrits en bac professionnel,-6.25%,0.06245688267,2013,-6.2,,,,,,,
Hauts-de-France,Ecart hommes/femmes part d'inscrits en bac professionnel,-6.01%,0.0601352978,2013,-6.0,,,,,,,
Ile-de-France,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.77%,0.07771017935,2013,-7.8,,,,,,,
Normandie,Ecart hommes/femmes part d'inscrits en bac professionnel,-6.17%,0.06165975576,2013,-6.2,,,,,,,
Nouvelle-Aquitaine,Ecart hommes/femmes part d'inscrits en bac professionnel,-8.1%,0.08103129397,2013,-8.1,,,,,,,
Occitanie,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.88%,0.07879298286,2013,-7.9,,,,,,,
Pays de la Loire,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.33%,0.05331557273,2013,-5.3,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.51%,0.05508995372,2013,-5.5,,,,,,,
France de province,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.07%,0.07066500899,2013,-7.1,,,,,,,
France métropolitaine,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.18%,0.07178,2013,-7.2,,,,,,,
Guadeloupe,Ecart hommes/femmes part d'inscrits en bac professionnel,-11.61%,0.1160760896,2013,-11.6,,,,,,,
Martinique,Ecart hommes/femmes part d'inscrits en bac professionnel,-13.73%,0.1373413542,2013,-13.7,,,,,,,
Guyane,Ecart hommes/femmes part d'inscrits en bac professionnel,-10.23%,0.1022838501,2013,-10.2,,,,,,,
Réunion,Ecart hommes/femmes part d'inscrits en bac professionnel,-12.54%,0.1254196116,2013,-12.5,,,,,,,
DOM,Ecart hommes/femmes part d'inscrits en bac professionnel,-12.25%,0.12249,2013,-12.2,,,,,,,
France,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.35%,0.0735,2013,-7.4,,,,,,,
Auvergne-Rhône-Alpes,Ecart hommes/femmes part d'inscrits en bac professionnel,-9.27%,0.09265187368,2000,-9.3,,,,,,,
Bourgogne-Franche-Comté,Ecart hommes/femmes part d'inscrits en bac professionnel,-10.29%,0.1029226148,2000,-10.3,,,,,,,
Bretagne,Ecart hommes/femmes part d'inscrits en bac professionnel,-12.06%,0.1205833923,2000,-12.1,,,,,,,
Centre-Val de Loire,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.3%,0.07300182209,2000,-7.3,,,,,,,
Corse,Ecart hommes/femmes part d'inscrits en bac professionnel,+1.38%,0.01384850723,2000,1.4,,,,,,,
Grand Est,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.51%,0.07505660213,2000,-7.5,,,,,,,
Hauts-de-France,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.83%,0.07830132668,2000,-7.8,,,,,,,
Ile-de-France,Ecart hommes/femmes part d'inscrits en bac professionnel,-5%,0.05003478148,2000,-5.0,,,,,,,
Normandie,Ecart hommes/femmes part d'inscrits en bac professionnel,-8.52%,0.08515348546,2000,-8.5,,,,,,,
Nouvelle-Aquitaine,Ecart hommes/femmes part d'inscrits en bac professionnel,-9.51%,0.09512094027,2000,-9.5,,,,,,,
Occitanie,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.93%,0.07932210465,2000,-7.9,,,,,,,
Pays de la Loire,Ecart hommes/femmes part d'inscrits en bac professionnel,-9.98%,0.09984508135,2000,-10.0,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.25%,0.05252302899,2000,-5.3,,,,,,,
France de province,Ecart hommes/femmes part d'inscrits en bac professionnel,-8.51%,0.08506220218,2000,-8.5,,,,,,,
France métropolitaine,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.82%,0.07816,2000,-7.8,,,,,,,
Guadeloupe,Ecart hommes/femmes part d'inscrits en bac professionnel,-7%,0.07001688085,2000,-7.0,,,,,,,
Martinique,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.73%,0.05733310273,2000,-5.7,,,,,,,
Guyane,Ecart hommes/femmes part d'inscrits en bac professionnel,-8.8%,0.08799074691,2000,-8.8,,,,,,,
Réunion,Ecart hommes/femmes part d'inscrits en bac professionnel,-5.24%,0.05242866992,2000,-5.2,,,,,,,
DOM,Ecart hommes/femmes part d'inscrits en bac professionnel,-6%,0.05997,2000,-6.0,,,,,,,
France,Ecart hommes/femmes part d'inscrits en bac professionnel,-7.75%,0.07749,2000,-7.7,,,,,,,
Auvergne-Rhône-Alpes,Ecart hommes/femmes part de diplômés du supérieur,+7.69%,0.07692785039,2013,7.7,,,,,,,
Bourgogne-Franche-Comté,Ecart hommes/femmes part de diplômés du supérieur,+7.71%,0.07711531901,2013,7.7,,,,,,,
Bretagne,Ecart hommes/femmes part de diplômés du supérieur,+9.11%,0.09109948991,2013,9.1,,,,,,,
Centre-Val de Loire,Ecart hommes/femmes part de diplômés du supérieur,+7.42%,0.07421739206,2013,7.4,,,,,,,
Corse,Ecart hommes/femmes part de diplômés du supérieur,+8.58%,0.08580151082,2013,8.6,,,,,,,
Grand Est,Ecart hommes/femmes part de diplômés du supérieur,+5.87%,0.05873920725,2013,5.9,,,,,,,
Hauts-de-France,Ecart hommes/femmes part de diplômés du supérieur,+5.52%,0.05522504318,2013,5.5,,,,,,,
Ile-de-France,Ecart hommes/femmes part de diplômés du supérieur,+4.2%,0.0419570144,2013,4.2,,,,,,,
Normandie,Ecart hommes/femmes part de diplômés du supérieur,+7.15%,0.07149332916,2013,7.1,,,,,,,
Nouvelle-Aquitaine,Ecart hommes/femmes part de diplômés du supérieur,+7.98%,0.07979360912,2013,8.0,,,,,,,
Occitanie,Ecart hommes/femmes part de diplômés du supérieur,+7.49%,0.0749497885,2013,7.5,,,,,,,
Pays de la Loire,Ecart hommes/femmes part de diplômés du supérieur,+7.26%,0.07257840458,2013,7.3,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes part de diplômés du supérieur,+6.83%,0.06826526493,2013,6.8,,,,,,,
France de province,Ecart hommes/femmes part de diplômés du supérieur,+7.18%,0.07183925542,2013,7.2,,,,,,,
France métropolitaine,Ecart hommes/femmes part de diplômés du supérieur,+6.64%,0.06639992574,2013,6.6,,,,,,,
Guadeloupe,Ecart hommes/femmes part de diplômés du supérieur,+6.4%,0.06401157066,2013,6.4,,,,,,,
Martinique,Ecart hommes/femmes part de diplômés du supérieur,+7.64%,0.07638467714,2013,7.6,,,,,,,
Guyane,Ecart hommes/femmes part de diplômés du supérieur,+3.75%,0.03746811302,2013,3.7,,,,,,,
Réunion,Ecart hommes/femmes part de diplômés du supérieur,+3.72%,0.03724540249,2013,3.7,,,,,,,
DOM,Ecart hommes/femmes part de diplômés du supérieur,+5.23%,0.05231625923,2013,5.2,,,,,,,
France,Ecart hommes/femmes part de diplômés du supérieur,+6.55%,0.06546534189,2013,6.5,,,,,,,
Auvergne-Rhône-Alpes,Ecart hommes/femmes part de diplômés du supérieur,+2.85%,0.02848455371,1999,2.8,,,,,,,
Bourgogne-Franche-Comté,Ecart hommes/femmes part de diplômés du supérieur,+2.47%,0.02469691191,1999,2.5,,,,,,,
Bretagne,Ecart hommes/femmes part de diplômés du supérieur,+3.07%,0.03065655229,1999,3.1,,,,,,,
Centre-Val de Loire,Ecart hommes/femmes part de diplômés du supérieur,+2.1%,0.02101316362,1999,2.1,,,,,,,
Corse,Ecart hommes/femmes part de diplômés du supérieur,+4.25%,0.04248134788,1999,4.2,,,,,,,
Grand Est,Ecart hommes/femmes part de diplômés du supérieur,+1.17%,0.01174741948,1999,1.2,,,,,,,
Hauts-de-France,Ecart hommes/femmes part de diplômés du supérieur,+0.59%,0.005918549797,1999,0.6,,,,,,,
Ile-de-France,Ecart hommes/femmes part de diplômés du supérieur,-0.1%,0.001004409547,1999,-0.1,,,,,,,
Normandie,Ecart hommes/femmes part de diplômés du supérieur,+2.13%,0.02133894006,1999,2.1,,,,,,,
Nouvelle-Aquitaine,Ecart hommes/femmes part de diplômés du supérieur,+2.98%,0.02976962091,1999,3.0,,,,,,,
Occitanie,Ecart hommes/femmes part de diplômés du supérieur,+3.16%,0.03160068324,1999,3.2,,,,,,,
Pays de la Loire,Ecart hommes/femmes part de diplômés du supérieur,+1.9%,0.01902913,1999,1.9,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart hommes/femmes part de diplômés du supérieur,+2.39%,0.02390204577,1999,2.4,,,,,,,
France de province,Ecart hommes/femmes part de diplômés du supérieur,+2.25%,0.02251164731,1999,2.3,,,,,,,
France métropolitaine,Ecart hommes/femmes part de diplômés du supérieur,+1.86%,0.01864228319,1999,1.9,,,,,,,
Guadeloupe,Ecart hommes/femmes part de diplômés du supérieur,+1.18%,0.01184676471,1999,1.2,,,,,,,
Martinique,Ecart hommes/femmes part de diplômés du supérieur,+2.83%,0.02829560458,1999,2.8,,,,,,,
