,formulation,pays,année,,value,map_value,,,,,,,,,,,,,,,,,,
Temps plein,Difference temps de travail des femmes par rapport aux hommes : Temps plein,France,2006,-24.5,-24.5%,1.0,76.9,84.0,81.5,94.2,69.7,82.8,77.6,83.8,79.3,93.2,69.9,82.1,75.2,83.6,77.8,91.8,69.9,81.2
Temps partiel,Difference temps de travail des femmes par rapport aux hommes : Temps partiel,France,2006,24.5,+24.5%,1.0,23.1,16.0,18.5,5.8,30.3,17.2,22.4,16.2,20.7,6.8,30.1,17.9,24.8,16.4,22.2,8.2,30.1,18.8
   Moins d'un mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Moins d'un mi-temps,France,2006,4.9,+4.9%,0.2,6.8,2.8,4.8,1.3,6.2,3.6,7.4,2.7,5.8,1.7,6.4,3.9,8.8,2.8,6.6,2.4,6.6,4.4
   Mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Mi-temps,France,2006,4.4,+4.4%,0.2,5.1,3.2,4.6,1.7,6.1,3.7,4.0,2.7,3.9,1.5,5.0,3.1,4.2,2.5,3.6,1.6,4.4,3.0
   Entre 50 % et 80 %,Difference temps de travail des femmes par rapport aux hommes :    Entre 50 % et 80 %,France,2006,6.8,+6.8%,0.3,7.4,4.4,4.5,1.5,8.3,4.7,6.5,4.3,4.8,1.7,7.9,4.6,7.7,4.6,6.2,2.5,8.4,5.3
   80 %,Difference temps de travail des femmes par rapport aux hommes :    80 %,France,2006,6.0,+6%,0.2,1.8,4.0,2.7,0.7,6.7,3.5,2.1,4.3,3.3,0.8,7.2,3.9,2.3,4.4,3.5,0.9,7.3,4.0
   Plus de 80 %,Difference temps de travail des femmes par rapport aux hommes :    Plus de 80 %,France,2006,2.0,+2%,0.1,1.1,1.3,1.2,0.3,2.3,1.3,1.4,1.5,1.4,0.4,2.7,1.5,1.3,1.9,2.0,0.7,3.2,1.9
Temps plein,Difference temps de travail des femmes par rapport aux hommes : Temps plein,France,2011,-23.3,-23.3%,1.0,,,,,,,,,,,,,,,,,,
Temps partiel,Difference temps de travail des femmes par rapport aux hommes : Temps partiel,France,2011,23.3,+23.3%,1.0,,,,,,,,,,,,,,,,,,
   Moins d'un mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Moins d'un mi-temps,France,2011,4.7,+4.7%,0.2,,,,,,,,,,,,,,,,,,
   Mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Mi-temps,France,2011,3.5,+3.5%,0.1,,,,,,,,,,,,,,,,,,
   Entre 50 % et 80 %,Difference temps de travail des femmes par rapport aux hommes :    Entre 50 % et 80 %,France,2011,6.2,+6.2%,0.3,,,,,,,,,,,,,,,,,,
   80 %,Difference temps de travail des femmes par rapport aux hommes :    80 %,France,2011,6.4,+6.4%,0.3,,,,,,,,,,,,,,,,,,
   Plus de 80 %,Difference temps de travail des femmes par rapport aux hommes :    Plus de 80 %,France,2011,2.3,+2.3%,0.1,,,,,,,,,,,,,,,,,,
Temps plein,Difference temps de travail des femmes par rapport aux hommes : Temps plein,France,2016,-21.9,-21.9%,0.9,,,,,,,,,,,,,,,,,,
Temps partiel,Difference temps de travail des femmes par rapport aux hommes : Temps partiel,France,2016,21.9,+21.9%,0.9,,,,,,,,,,,,,,,,,,
   Moins d'un mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Moins d'un mi-temps,France,2016,4.2,+4.2%,0.2,,,,,,,,,,,,,,,,,,
   Mi-temps,Difference temps de travail des femmes par rapport aux hommes :    Mi-temps,France,2016,2.8,+2.8%,0.1,,,,,,,,,,,,,,,,,,
   Entre 50 % et 80 %,Difference temps de travail des femmes par rapport aux hommes :    Entre 50 % et 80 %,France,2016,5.9,+5.9%,0.2,,,,,,,,,,,,,,,,,,
   80 %,Difference temps de travail des femmes par rapport aux hommes :    80 %,France,2016,6.4,+6.4%,0.3,,,,,,,,,,,,,,,,,,
   Plus de 80 %,Difference temps de travail des femmes par rapport aux hommes :    Plus de 80 %,France,2016,2.5,+2.5%,0.1,,,,,,,,,,,,,,,,,,
