,Unnamed: 0,pays,formulation,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,value,map_value,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,année
0,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2008,,,,-25.4,-25.35%,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2008
1,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2008,,,,-14.9,-14.94%,0.586614173228,,,,,,,,,,,,,,,,,,,,,,,,,,2008
2,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2008,,,,-9.1,-9.08%,0.358267716535,,,,,,,,,,,,,,,,,,,,,,,,,,2008
3,,France,Différence de salaires des femmes par rapport aux hommes: Ouvriers ,2008,,,,-18.2,-18.2%,0.716535433071,,,,,,,,,,,,,,,,,,,,,,,,,,2008
4,,France,Différence de salaires des femmes par rapport aux hommes: Ensemble,2008,,,,-20.9,-20.86%,0.822834645669,,,,,,,,,,,,,,,,,,,,,,,,,,2008
5,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2009,,,,-23.6,-23.6%,0.929133858268,,,,,,,,,,,,,,,,,,,,,,,,,,2009
6,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2009,,,,-13.9,-13.93%,0.547244094488,,,,,,,,,,,,,,,,,,,,,,,,,,2009
7,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2009,,,,-8.7,-8.68%,0.342519685039,,,,,,,,,,,,,,,,,,,,,,,,,,2009
8,,France,Différence de salaires des femmes par rapport aux hommes: Ouvriers ,2009,,,,-17.5,-17.5%,0.688976377953,,,,,,,,,,,,,,,,,,,,,,,,,,2009
9,,France,Différence de salaires des femmes par rapport aux hommes: Ensemble,2009,,,,-20.1,-20.06%,0.791338582677,,,,,,,,,,,,,,,,,,,,,,,,,,2009
10,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2010,,,,-22.6,-22.57%,0.889763779528,,,,,,,,,,,,,,,,,,,,,,,,,,2010
11,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2010,,,,-12.7,-12.74%,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2010
12,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2010,,,,-8.2,-8.19%,0.322834645669,,,,,,,,,,,,,,,,,,,,,,,,,,2010
13,,France,Différence de salaires des femmes par rapport aux hommes: Ouvriers ,2010,,,,-16.7,-16.67%,0.657480314961,,,,,,,,,,,,,,,,,,,,,,,,,,2010
14,,France,Différence de salaires des femmes par rapport aux hommes: Ensemble,2010,,,,-19.9,-19.87%,0.783464566929,,,,,,,,,,,,,,,,,,,,,,,,,,2010
15,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2011,,,,-21.8,-21.84%,0.858267716535,,,,,,,,,,,,,,,,,,,,,,,,,,2011
16,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2011,,,,-12.9,-12.94%,0.507874015748,,,,,,,,,,,,,,,,,,,,,,,,,,2011
17,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2011,,,,-8.3,-8.33%,0.326771653543,,,,,,,,,,,,,,,,,,,,,,,,,,2011
18,,France,Différence de salaires des femmes par rapport aux hommes: Ouvriers ,2011,,,,-17.4,-17.45%,0.685039370079,,,,,,,,,,,,,,,,,,,,,,,,,,2011
19,,France,Différence de salaires des femmes par rapport aux hommes: Ensemble,2011,,,,-19.5,-19.45%,0.767716535433,,,,,,,,,,,,,,,,,,,,,,,,,,2011
20,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2012,,,,-21.4,-21.37%,0.842519685039,,,,,,,,,,,,,,,,,,,,,,,,,,2012
21,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2012,,,,-13.7,-13.7%,0.53937007874,,,,,,,,,,,,,,,,,,,,,,,,,,2012
22,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2012,,,,-8.8,-8.76%,0.346456692913,,,,,,,,,,,,,,,,,,,,,,,,,,2012
23,,France,Différence de salaires des femmes par rapport aux hommes: Ouvriers ,2012,,,,-17.0,-16.97%,0.669291338583,,,,,,,,,,,,,,,,,,,,,,,,,,2012
24,,France,Différence de salaires des femmes par rapport aux hommes: Ensemble,2012,,,,-19.4,-19.39%,0.763779527559,,,,,,,,,,,,,,,,,,,,,,,,,,2012
25,,France,Différence de salaires des femmes par rapport aux hommes: Cadres,2013,,,,-20.9,-20.89%,0.822834645669,,,,,,,,,,,,,,,,,,,,,,,,,,2013
26,,France,Différence de salaires des femmes par rapport aux hommes: Professions intermédiaires,2013,,,,-13.6,-13.58%,0.535433070866,,,,,,,,,,,,,,,,,,,,,,,,,,2013
27,,France,Différence de salaires des femmes par rapport aux hommes: Employés,2013,,,,-8.5,-8.52%,0.334645669291,,,,,,,,,,,,,,,,,,,,,,,,,,2013
