,pays,année,formulation,dont femmes (%),value,map_value
Classes prépa aux grandes écoles Éducation nationale,France,2016,"Classes prépa aux grandes écoles Éducation nationale, part des femmes",42.7,42.7%,0.146
Classes prépa aux grandes écoles Éducation nationale Filière scientifique,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière scientifique, part des femmes",29.9,29.9%,0.402
Classes prépa aux grandes écoles Éducation nationale Filière scientifique 1ère année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière scientifique 1ère année, part des femmes",31.4,31.4%,0.372
Classes prépa aux grandes écoles Éducation nationale Filière scientifique 2ème année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière scientifique 2ème année, part des femmes",28.5,28.5%,0.43
Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale, part des femmes",55.9,55.9%,0.118
Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale 1ère année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale 1ère année, part des femmes",57,57%,0.14
Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale 2ème année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière économique et commerciale 2ème année, part des femmes",54.7,54.7%,0.094
Classes prépa aux grandes écoles Éducation nationale Filière littéraire,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière littéraire, part des femmes",75,75%,0.5
Classes prépa aux grandes écoles Éducation nationale Filière littéraire 1ère année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière littéraire 1ère année, part des femmes",76.8,76.8%,0.536
Classes prépa aux grandes écoles Éducation nationale Filière littéraire 2ème année,France,2016,"Classes prépa aux grandes écoles Éducation nationale Filière littéraire 2ème année, part des femmes",72.8,72.8%,0.456
Classes prépa aux grandes écoles Autres ministères,France,2016,"Classes prépa aux grandes écoles Autres ministères, part des femmes",38,38%,0.24
Classes prépa aux grandes écoles Autres ministères Filière scientifique,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière scientifique, part des femmes",41.4,41.4%,0.172
Classes prépa aux grandes écoles Autres ministères Filière scientifique 1ère année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière scientifique 1ère année, part des femmes",32.7,32.7%,0.346
Classes prépa aux grandes écoles Autres ministères Filière scientifique 2ème année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière scientifique 2ème année, part des femmes",47.6,47.6%,0.048
Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale, part des femmes",20.1,20.1%,0.598
Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale 1ère année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale 1ère année, part des femmes",20.9,20.9%,0.582
Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale 2ème année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière économique et commerciale 2ème année, part des femmes",19.2,19.2%,0.616
Classes prépa aux grandes écoles Autres ministères Filière littéraire,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière littéraire, part des femmes",35.1,35.1%,0.298
Classes prépa aux grandes écoles Autres ministères Filière littéraire 1ère année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière littéraire 1ère année, part des femmes",32.6,32.6%,0.348
Classes prépa aux grandes écoles Autres ministères Filière littéraire 2ème année,France,2016,"Classes prépa aux grandes écoles Autres ministères Filière littéraire 2ème année, part des femmes",38.5,38.5%,0.23
Total Classes préparatoires aux Grandes Ecoles,France,2016,"Total Classes préparatoires aux Grandes Ecoles, part des femmes",42.6,42.6%,0.148
,,,,© SIES,,
