,pays,année,formulation,value,value,map_value
Formations d'ingénieur-e-s ,France,2016,"Formations d'ingénieurs, part des femmes",26.9 %,26.9,0.462
"Universités - formation Sciences, Staps",France,2016,"Universités - formation Sciences, Staps, part des femmes",37.5 %,37.5,0.25
Préparation DUT,France,2016,"Préparation DUT, part des femmes",39.8 %,39.8,0.204
Classes préparatoires aux grandes écoles,France,2016,"Classes préparatoires aux grandes écoles, part des femmes",42.6 %,42.6,0.148
"Écoles de commerce, gestion et comptabilité",France,2016,"Écoles de commerce, gestion et comptabilité, part des femmes",50.3 %,50.3,0.006
Les sections de technicien-ne supérieur-e et assimilés,France,2016,"Les sections de technicien-ne supérieur-e et assimilés, part des femmes",49.3 %,49.3,0.014
Enseignement supérieur Ensemble étudiant-e-s,France,2016,"Enseignement supérieur Ensemble étudiant-e-s, part des femmes",55.1 %,55.1,0.102
Ensemble universités (filières générales et de santé),France,2016,"Ensemble universités (filières générales et de santé), part des femmes",58.2 %,58.2,0.164
"Universités - Filière  Droit, économie, AES",France,2016,"Universités - Filière  Droit, économie, AES, part des femmes",59.4 %,59.4,0.188
"Universités - Filière  Médecine, odontologie, pharmacie",France,2016,"Universités - Filière  Médecine, odontologie, pharmacie, part des femmes",64.1 %,64.1,0.282
"Universités - Filière  Langues, lettres, sciences humaines",France,2016,"Universités - Filière  Langues, lettres, sciences humaines, part des femmes",69.7 %,69.7,0.394
Filière paramédicales et sociales ,France,2016,"Filière paramédicales et sociales, part des femmes",84.6 %,84.6,0.692
,,,,,,
,,,,,,
Sources : MESRI-SIES et MEN-MESRI-DEPP,,,,,,
