,pays,année,formulation,Total,Femmes,Part des femmes (%),value,map_value
Emploi Secteur Public Filière administrative,France,2016,"Emploi Secteur Public Filière administrative, part des femmes",67 738,56 108,82.8,0.656,0.656
Emploi Secteur Public Filière administrative Cat. A ,France,2016,"Emploi Secteur Public Filière administrative Cat. A , part des femmes",12 212,7 518,61.6,0.232,0.232
Emploi Secteur Public Filière administrative Cat. B (secrétaires),France,2016,"Emploi Secteur Public Filière administrative Cat. B (secrétaires), part des femmes",18 267,15 366,84.1,0.682,0.682
Emploi Secteur Public Filière administrative Cat. C (adjoints),France,2016,"Emploi Secteur Public Filière administrative Cat. C (adjoints), part des femmes",30 861,28 079,91,0.82,0.82
Emploi Secteur Public Non-titulaires Filière administrative ,France,2016,"Emploi Secteur Public Non-titulaires Filière administrative , part des femmes",6 398,5 145,80.4,0.608,0.608
Emploi Secteur Public Filière technique et de service ,France,2016,"Emploi Secteur Public Filière technique et de service , part des femmes",557,202,36.3,0.274,0.274
Emploi Secteur Public Filière santé et sociale ,France,2016,"Emploi Secteur Public Filière santé et sociale , part des femmes",14 039,13 435,95.7,0.914,0.914
Total Emploi Assistant de Service Social,France,2016,"Total Emploi Assistant de Service Social, part des femmes",82 334,69 745,84.7,0.694,0.694
"Emploi Assistant de Service Social Cat. A (ingénieurs, assistants, etc.)",France,2016,"Emploi Assistant de Service Social Cat. A (ingénieurs, assistants, etc.), part des femmes",16 052,7 625,47.5,0.05,0.05
"Emploi Assistant de Service Social Cat. B (techniciens, etc.)",France,2016,"Emploi Assistant de Service Social Cat. B (techniciens, etc.), part des femmes",12 378,6 665,53.8,0.076,0.076
"Emploi Assistant de Service Social Cat. C (adjoints techniques, etc.)",France,2016,"Emploi Assistant de Service Social Cat. C (adjoints techniques, etc.), part des femmes",22 173,13 706,61.8,0.236,0.236
Total Ingénieur-e-s et technicien-ne-s de recherche et de formation,France,2016,"Total Ingénieur-e-s et technicien-ne-s de recherche et de formation, part des femmes",50 603,27 996,55.3,0.106,0.106
"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. A (conservateurs, bibliothécaires, etc.)",France,2016,"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. A (conservateurs, bibliothécaires, etc.), part des femmes",1 310,928,70.8,0.416,0.416
"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. B (bibliothécaires adj., assistants, etc.)",France,2016,"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. B (bibliothécaires adj., assistants, etc.), part des femmes",1 381,1 067,77.3,0.546,0.546
"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. C (agents, adjoints techn. etc.)",France,2016,"Ingénieur-e-s et technicien-ne-s de recherche et de formation Cat. C (agents, adjoints techn. etc.), part des femmes",1 683,1 038,61.7,0.234,0.234
Total Emplois bibliothèques ,France,2016,"Total Emplois bibliothèques , part des femmes",4 374,3 033,69.3,0.386,0.386
"Emplois bibliothèques  Cat. A (direction étab., CPE, etc.)",France,2016,"Emplois bibliothèques  Cat. A (direction étab., CPE, etc.), part des femmes",35 621,21 640,60.8,0.216,0.216
Emplois bibliothèques  Cat. B,France,2016,"Emplois bibliothèques  Cat. B, part des femmes",10,6,60,0.2,0.2
"Emplois bibliothèques  Non-titulaires (assistants éducation, etc.)",France,2016,"Emplois bibliothèques  Non-titulaires (assistants éducation, etc.), part des femmes",104 472,75 905,72.7,0.454,0.454
Apprentis,France,2016,"Apprentis, part des femmes",2 959,2 109,71.3,0.426,0.426
Ensemble personnel du secteur public,France,2016,"Ensemble personnel du secteur public, part des femmes",280 373,200 434,71.5,0.43,0.43
► Champ : France métropolitaine + DOM y compris Mayotte.,,,,,,,,
1. Y compris non-titulaires.,,,,,,,,
"Sources : MEN-MESRI-DEPP, bases « Bulletins de salaire », décembre 2016.",,,,,,,,
