,pays,année,formulation,part des femmes,,value,map_value
Écoles d'ingénieurs universitaires ,France,2011,"Écoles d'ingénieurs universitaires , part des femmes diplômées ",29.3,29.3,29.3%,0.414
Écoles d'ingénieurs indépendantes des universités,France,2011,"Écoles d'ingénieurs indépendantes des universités, part des femmes diplômées ",24.3,24.3,24.3%,0.514
Écoles d'ingénieurs publiques autres ministères,France,2011,"Écoles d'ingénieurs publiques autres ministères, part des femmes diplômées ",33.8,33.8,33.8%,0.324
Écoles d'ingénieurs privées,France,2011,"Écoles d'ingénieurs privées, part des femmes diplômées ",24.4,24.4,24.4%,0.512
Total diplômes d'ingénieurs,France,2011,"Total diplômes d'ingénieurs, part des femmes diplômées ",27.9,27.9,27.9%,0.442
Écoles d'ingénieurs universitaires ,France,2012,"Écoles d'ingénieurs universitaires , part des femmes diplômées ",29.6,29.6,29.6%,0.408
Écoles d'ingénieurs indépendantes des universités,France,2012,"Écoles d'ingénieurs indépendantes des universités, part des femmes diplômées ",25.3,25.3,25.3%,0.494
Écoles d'ingénieurs publiques autres ministères,France,2012,"Écoles d'ingénieurs publiques autres ministères, part des femmes diplômées ",35.2,35.2,35.2%,0.296
Écoles d'ingénieurs privées,France,2012,"Écoles d'ingénieurs privées, part des femmes diplômées ",25.4,25.4,25.4%,0.492
Total diplômes d'ingénieurs,France,2012,"Total diplômes d'ingénieurs, part des femmes diplômées ",28.5,28.5,28.5%,0.43
Écoles d'ingénieurs universitaires ,France,2013,"Écoles d'ingénieurs universitaires , part des femmes diplômées ",29.7,29.7,29.7%,0.406
Écoles d'ingénieurs indépendantes des universités,France,2013,"Écoles d'ingénieurs indépendantes des universités, part des femmes diplômées ",25.4,25.4,25.4%,0.492
Écoles d'ingénieurs publiques autres ministères,France,2013,"Écoles d'ingénieurs publiques autres ministères, part des femmes diplômées ",35,35,35%,0.3
Écoles d'ingénieurs privées,France,2013,"Écoles d'ingénieurs privées, part des femmes diplômées ",27.7,27.7,27.7%,0.446
Total diplômes d'ingénieurs,France,2013,"Total diplômes d'ingénieurs, part des femmes diplômées ",29.3,29.3,29.3%,0.414
Écoles d'ingénieurs universitaires ,France,2014,"Écoles d'ingénieurs universitaires , part des femmes diplômées ",29.7,29.7,29.7%,0.406
Écoles d'ingénieurs indépendantes des universités,France,2014,"Écoles d'ingénieurs indépendantes des universités, part des femmes diplômées ",25.7,25.7,25.7%,0.486
Écoles d'ingénieurs publiques autres ministères,France,2014,"Écoles d'ingénieurs publiques autres ministères, part des femmes diplômées ",34.9,34.9,34.9%,0.302
Écoles d'ingénieurs privées,France,2014,"Écoles d'ingénieurs privées, part des femmes diplômées ",27.7,27.7,27.7%,0.446
Total diplômes d'ingénieurs,France,2014,"Total diplômes d'ingénieurs, part des femmes diplômées ",29.3,29.3,29.3%,0.414
Écoles d'ingénieurs universitaires ,France,2015,"Écoles d'ingénieurs universitaires , part des femmes diplômées ",30.9,30.9,30.9%,0.382
Écoles d'ingénieurs indépendantes des universités,France,2015,"Écoles d'ingénieurs indépendantes des universités, part des femmes diplômées ",25.4,25.4,25.4%,0.492
Écoles d'ingénieurs publiques autres ministères,France,2015,"Écoles d'ingénieurs publiques autres ministères, part des femmes diplômées ",36.4,36.4,36.4%,0.272
Écoles d'ingénieurs privées,France,2015,"Écoles d'ingénieurs privées, part des femmes diplômées ",28.7,28.7,28.7%,0.426
Total diplômes d'ingénieurs,France,2015,"Total diplômes d'ingénieurs, part des femmes diplômées ",30,30,30%,0.4
,,,,,,,
► Champ : France métropolitaine + DOM (2).,,,,,,,
"1. Par souci de cohérence des séries statistiques, les universités de technologie et les instituts nationaux polytechniques ont été classées parmi les écoles universitaires.",,,,,,,
2. Il n’y a pas d’école d’ingénieurs à Mayotte.,,,,,,,
"Source : MESRI-SIES, système d’information SISE",,,,,,,
