Groupes de spécialités de formation,,pays,année,formulation,Part des femmes (%),value,map_value
Classe prépa BTS,"Musique, arts du spectacle",France,2016,"Classe prépa BTS - Musique, arts du spectacle, part des femmes",70.7,70.7%,0.414
Classe prépa BTS,Total des spécialités disciplinaires,France,2016,"Classe prépa BTS - Total des spécialités disciplinaires, part des femmes",70.7,70.7%,0.414
Classe prépa BTS,Technologies industrielles fondamentales,France,2016,"Classe prépa BTS - Technologies industrielles fondamentales, part des femmes",40,40%,0.2
Classe prépa BTS,Technologies de commandes des transformations industrielles,France,2016,"Classe prépa BTS - Technologies de commandes des transformations industrielles, part des femmes",3.5,3.5%,0.93
Classe prépa BTS,Spécialités plurivalentes de l'agronomie et de l'agriculture,France,2016,"Classe prépa BTS - Spécialités plurivalentes de l'agronomie et de l'agriculture, part des femmes",36.8,36.8%,0.264
Classe prépa BTS,"Productions végétales, cultures spécialisées, protection des cultures",France,2016,"Classe prépa BTS - Productions végétales, cultures spécialisées, protection des cultures, part des femmes",30.9,30.9%,0.382
Classe prépa BTS,"Productions animales, élevages spécialisés, soins aux animaux",France,2016,"Classe prépa BTS - Productions animales, élevages spécialisés, soins aux animaux, part des femmes",61.1,61.1%,0.222
Classe prépa BTS,"Forêts, espaces verts, faune sauvage, pêche",France,2016,"Classe prépa BTS - Forêts, espaces verts, faune sauvage, pêche, part des femmes",33.2,33.2%,0.336
Classe prépa BTS,"Aménagement paysager, parcs, jardins, espaces verts, terrains de sport",France,2016,"Classe prépa BTS - Aménagement paysager, parcs, jardins, espaces verts, terrains de sport, part des femmes",26.9,26.9%,0.462
Classe prépa BTS,Spécialités pluritechnologiques des transformations,France,2016,"Classe prépa BTS - Spécialités pluritechnologiques des transformations, part des femmes",24.5,24.5%,0.51
Classe prépa BTS,"Agroalimentaire, alimentation, cuisine",France,2016,"Classe prépa BTS - Agroalimentaire, alimentation, cuisine, part des femmes",62.4,62.4%,0.248
Classe prépa BTS,Transformations chimiques et apparentées,France,2016,"Classe prépa BTS - Transformations chimiques et apparentées, part des femmes",61.1,61.1%,0.222
Classe prépa BTS,Métallurgie,France,2016,"Classe prépa BTS - Métallurgie, part des femmes",10.3,10.3%,0.794
Classe prépa BTS,"Matériaux de construction, verre, céramique",France,2016,"Classe prépa BTS - Matériaux de construction, verre, céramique, part des femmes",76.4,76.4%,0.528
Classe prépa BTS,"Plasturgie, matériaux composites",France,2016,"Classe prépa BTS - Plasturgie, matériaux composites, part des femmes",9.1,9.1%,0.818
Classe prépa BTS,"Papier, carton",France,2016,"Classe prépa BTS - Papier, carton, part des femmes",0,0%,1
Classe prépa BTS,"Énergie, génie climatique",France,2016,"Classe prépa BTS - Énergie, génie climatique, part des femmes",2.4,2.4%,0.952
Classe prépa BTS,"Spécialités pluritechnologiques génie civil, construction, bois",France,2016,"Classe prépa BTS - Spécialités pluritechnologiques génie civil, construction, bois, part des femmes",39.1,39.1%,0.218
Classe prépa BTS,"Mines et carrières, génie civil, topographie",France,2016,"Classe prépa BTS - Mines et carrières, génie civil, topographie, part des femmes",9.4,9.4%,0.812
Classe prépa BTS,Bâtiment : construction et couverture,France,2016,"Classe prépa BTS - Bâtiment : construction et couverture, part des femmes",11.3,11.3%,0.774
Classe prépa BTS,Bâtiment : finitions,France,2016,"Classe prépa BTS - Bâtiment : finitions, part des femmes",49.2,49.2%,0.016
