,pays,année,formulation,,,Total,pourcentage des femmes,value,map_value
familles monoparentales,Nanterre,2014,Part des familles monoparentales composées d'une femme avec enfants,846,4530,5376,84.26339286,84.26%,0.6852678571
familles monoparentales,Nanterre,2009,Part des familles monoparentales composées d'une femme avec enfants,670,4130,4800,86.04166667,86.04%,0.7208333333
,,,,,,,,,
"Fréquentation des espaces jeunesses, 17 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 17 ans, part des femmes",,,,18,18%,0.64
"Fréquentation des espaces jeunesses, 16 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 16 ans, part des femmes",,,,15,15%,0.7
"Fréquentation des espaces jeunesses, 15 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 15 ans, part des femmes",,,,29,29%,0.42
"Fréquentation des espaces jeunesses, 14 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 14 ans, part des femmes",,,,25,25%,0.5
"Fréquentation des espaces jeunesses, 13 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 13 ans, part des femmes",,,,24,24%,0.52
"Fréquentation des espaces jeunesses, 12 ans",Nanterre,2013,"Fréquentation des espaces jeunesses, 12 ans, part des femmes",,,,43,43%,0.14
"Fréquentation des espaces jeunesses, 11 ans et -",Nanterre,2013,"Fréquentation des espaces jeunesses, 11 ans et -, part des femmes",,,,35,35%,0.3
,,,", part des femmes",,,,,,
Fréquentation séjours d'activités Equitation,Nanterre,2011,"Fréquentation séjours d'activités Equitation, part des femmes",35%,65%,,,65%,0.3
Fréquentation séjours d'activités Plongée,Nanterre,2011,"Fréquentation séjours d'activités Plongée, part des femmes",55%,45%,,,45%,0.1
Fréquentation séjours d'activités Surf,Nanterre,2011,"Fréquentation séjours d'activités Surf, part des femmes",45%,55%,,,55%,0.1
Fréquentation séjours d'activités Equitation,Nanterre,2012,"Fréquentation séjours d'activités Equitation, part des femmes",46%,54%,,,54%,0.08
Fréquentation séjours d'activités Plongée,Nanterre,2012,"Fréquentation séjours d'activités Plongée, part des femmes",64%,36%,,,36%,0.28
Fréquentation séjours d'activités Surf,Nanterre,2012,"Fréquentation séjours d'activités Surf, part des femmes",57%,43%,,,43%,0.14
Fréquentation séjours d'activités Equitation,Nanterre,2013,"Fréquentation séjours d'activités Equitation, part des femmes",48%,52%,,,52%,0.04
Fréquentation séjours d'activités Plongée,Nanterre,2013,"Fréquentation séjours d'activités Plongée, part des femmes",70%,30%,,,30%,0.4
Fréquentation séjours d'activités Surf,Nanterre,2013,"Fréquentation séjours d'activités Surf, part des femmes",58%,42%,,,42%,0.16
Fréquentation séjours d'activités Equitation,Nanterre,2014,"Fréquentation séjours d'activités Equitation, part des femmes",48%,52%,,,52%,0.04
Fréquentation séjours d'activités Plongée,Nanterre,2014,"Fréquentation séjours d'activités Plongée, part des femmes",70%,30%,,,30%,0.4
Fréquentation séjours d'activités Surf,Nanterre,2014,"Fréquentation séjours d'activités Surf, part des femmes",58%,42%,,,42%,0.16
Fréquentation séjours d'activités Equitation,Nanterre,2015,"Fréquentation séjours d'activités Equitation, part des femmes",39%,61%,,,61%,0.22
Fréquentation séjours d'activités Plongée,Nanterre,2015,"Fréquentation séjours d'activités Plongée, part des femmes",58%,42%,,,42%,0.16
