,pays,année,formulation,,,Total,pourcentage des femmes,value,map_value,,,,,
Agriculteurs exploitants,Nanterre,2016,"Agriculteurs exploitants, % de femmes",2,4,6,66.66666667,66.67%,0.3333333333,,,,,
"Artisans, commerçants, chefs entreprise",Nanterre,2016,"Artisans, commerçants, chefs entreprise, % de femmes",1352,267,1619,16.49166152,16.49%,0.6701667696,,,,,
Cadres et professions intellectuelles supérieures,Nanterre,2016,"Cadres et professions intellectuelles supérieures, % de femmes",5769,4283,10052,42.60843613,42.61%,0.1478312774,,,,,
Professions intermédiaires,Nanterre,2016,"Professions intermédiaires, % de femmes",5314,5826,11140,52.29802513,52.3%,0.04596050269,,,,,
Employé-e-s,Nanterre,2016,"Employé-e-s, % de femmes",5383,10938,16321,67.01795233,67.02%,0.3403590466,,,,,
Ouvrier-e-s,Nanterre,2016,"Ouvrier-e-s, % de femmes",6011,1206,7217,16.71054455,16.71%,0.665789109,,,,,
Retraité-e-s,Nanterre,2016,"Retraité-e-s, % de femmes",5305,6130,11435,53.60734587,53.61%,0.07214691736,,,,,
Autres personnes sans activité professionnelle,Nanterre,2016,"Autres personnes sans activité professionnelle, % de femmes",6924,8701,15625,55.6864,55.69%,0.113728,,,,,
,,,,,,,,,,,,,,
Taux d'activité ,,,,,,0,,,,,,,,
Tous âges-population active,Nanterre,2014,"Tous âges-population active, part des femmes ",24175,22859,47034,48.60101203,48.6%,0.02797975932,,,,,
15 à 24 ans-population active,Nanterre,2014,"15 à 24 ans-population active, part des femmes ",2743,2502,5245,47.70257388,47.7%,0.0459485224,,,,,
25 à 54 ans-population active,Nanterre,2014,"25 à 54 ans-population active, part des femmes ",18367,17340,35707,48.56190663,48.56%,0.02876186742,,,,,
55 à 64 ans-population active,Nanterre,2014,"55 à 64 ans-population active, part des femmes ",3065,3016,6081,49.59710574,49.6%,0.008057885216,,,,,
Actifs ayant un emploi,Nanterre,2014,,,,,,,,,,,,
Tous âges-population active ayant un emploi,Nanterre,2014,"Tous âges-population active ayant un emploi, part des femmes ",20328,19299,39627,48.70164282,48.7%,0.02596714361,,,,,
15 à 24 ans-population active ayant un emploi,Nanterre,2014,"15 à 24 ans-population active ayant un emploi, part des femmes ",1839,1912,3751,50.97307385,50.97%,0.01946147694,,,,,
25 à 54 ans-population active ayant un emploi,Nanterre,2014,"25 à 54 ans-population active ayant un emploi, part des femmes ",15820,14750,30570,48.24991822,48.25%,0.03500163559,,,,,
55 à 64 ans-population active ayant un emploi,Nanterre,2014,"55 à 64 ans-population active ayant un emploi, part des femmes ",2669,2637,5306,49.69845458,49.7%,0.006030908406,,,,,
Part des femmes parmi les chômeurs ,Nanterre,2014,Part des femmes parmi les chômeurs  ,,,,48.1,48.1%,0.038,,,,,
Part des femmes parmi les chômeurs ,Nanterre,2009,Part des femmes parmi les chômeurs  ,,,,46.9,46.9%,0.062,,,,,
,,,,,,,,,,,,,,
Salarié-e-s,Nanterre,2014,"Salarié-e-s, part des femmes en %",41528,37470,78998,47.43158055,47.43%,0.05136838907,,,,,
Non-salarié-e-s,Nanterre,2014,"Non-salarié-e-s, part des femmes en %",2742,1263,4005,31.53558052,31.54%,0.3692883895,,,,,
Salarié-e-s,Nanterre,2009,"Salarié-e-s, part des femmes en %",43738,36362,80100,45.39575531,45.4%,0.09208489388,,,,,
Non-salarié-e-s,Nanterre,2009,"Non-salarié-e-s, part des femmes en %",2734,1093,3827,28.56022995,28.56%,0.4287954011,,,,,
,,,,,,,,,,,,,,
dans le secteur agriculture,Nanterre,2014,"dans le secteur agriculture, part des femmes",,,,16.1,16.1%,0.678,,,,,
dans le secteur industrie,Nanterre,2014,"dans le secteur industrie, part des femmes",,,,36,36%,0.28,,,,,
dans le secteur construction,Nanterre,2014,"dans le secteur construction, part des femmes",,,,18.5,18.5%,0.63,,,,,
"dans le secteur commerce, transports, services divers",Nanterre,2014,"dans le secteur commerce, transports, services divers, part des femmes",,,,43.3,43.3%,0.134,,,,,
"dans le secteur administration publique, enseignement, santé, action sociale",Nanterre,2014,"dans le secteur administration publique, enseignement, santé, action sociale, part des femmes",,,,62.5,62.5%,0.25,,,,,
"Sources : Insee, RP2009 (géographie au 01/01/2011) et RP2014 (géographie au 01/01/2016) exploitations complémentaires lieu de travail.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ACT T2 - Statut et condition d'emploi des 15 ans ou plus selon le sexe en 2014,,,,,,,,,,,,,,
salarié-e-s,Nanterre,2014,"salarié-e-s, part des femmes",18016,18445,36461,50.58829983,50.59%,0.01176599654,,,,,
Titulaires de la fonction publique et contrats à durée indéterminée,Nanterre,2014,"Titulaires de la fonction publique et contrats à durée indéterminée, part des femmes",15744,15524,31268,49.64820264,49.65%,0.007035947294,,,,,
Contrats à durée déterminée,Nanterre,2014,"Contrats à durée déterminée, part des femmes",1347,2058,3405,60.44052863,60.44%,0.2088105727,,,,,
Intérim,Nanterre,2014,"Intérim, part des femmes",310,212,522,40.61302682,40.61%,0.1877394636,,,,,
Emplois aidés,Nanterre,2014,"Emplois aidés, part des femmes",105,97,202,48.01980198,48.02%,0.0396039604,,,,,
Apprentissage - Stage,Nanterre,2014,"Apprentissage - Stage, part des femmes",510,555,1065,52.11267606,52.11%,0.04225352113,,,,,
Non-Salariés,Nanterre,2014,"Non-Salariés, part des femmes",2474,999,3473,28.76475669,28.76%,0.4247048661,,,,,
Indépendants,Nanterre,2014,"Indépendants, part des femmes",1132,664,1796,36.97104677,36.97%,0.2605790646,,,,,
Employeurs,Nanterre,2014,"Employeurs, part des femmes",1319,301,1620,18.58024691,18.58%,0.6283950617,,,,,
Aides familiaux,Nanterre,2014,"Aides familiaux, part des femmes",22,34,56,60.71428571,60.71%,0.2142857143,,,,,
"Source : Insee, RP2014 exploitation principale, géographie au 01/01/2016.",,,,,,,,,,,,,,
,,,,,,,,,,,Hommes,dont % temps partiel,Femmes,dont % temps partiel
"ACT T3 - Salariés de 15 à 64 ans par sexe, âge et temps partiel en 2014",,,,,,,,,,,,,,
Salarié-e-s à temps partiel-tous les âges,Nanterre,2014,"Salarié-e-s à temps partiel-tous les âges, part des femmes en %",,,,70.22171054,70.22%,0.4044342108,Ensemble,17911,8.5,18317,19.6
Salarié-e-s à temps partiel - 15 à 24 ans,Nanterre,2014,"Salarié-e-s à temps partiel - 15 à 24 ans, part des femmes en %",,,,58.18466967,58.18%,0.1636933935,15 à 24 ans,1738,32.4,1848,42.4
Salarié-e-s à temps partiel - 25 à 54 ans,Nanterre,2014,"Salarié-e-s à temps partiel - 25 à 54 ans, part des femmes en %",,,,74.81117387,74.81%,0.4962234774,25 à 54 ans,13947,5.7,13971,16.9
Salarié-e-s à temps partie l- 55 à 64 ans,Nanterre,2014,"Salarié-e-s à temps partie l- 55 à 64 ans, part des femmes en %",,,,73.27659802,73.28%,0.4655319603,55 à 64 ans,2226,7.2,2497,17.6
"Source : Insee, RP2014 exploitation principale, géographie au 01/01/2016.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SAL G1 - Salaire net horaire moyen total (en euros) selon la catégorie socioprofessionnelle en 2014,,,,,,,,,,,,,,
Ensemble,,,,,,,,,,,,,,
Toute catégorie professionnelle,Nanterre,2014,"Toute catégorie professionnelle, salaire net horaire moyen des femmes par rapport aux hommes",,,,-10.11904762,-10.12%,0.6520004909,Femmes,Hommes,,,
"Cadres, prof. intellectuelles sup. et chefs d'entreprises",Nanterre,2014,"Cadres, prof. intellectuelles sup. et chefs d'entreprises, salaire net horaire moyen des femmes par rapport aux hommes",,,,-14.13043478,-14.13%,0.9104661587,15.1,16.8,,,
Professions intermédiaires,Nanterre,2014,"Professions intermédiaires, salaire net horaire moyen des femmes par rapport aux hommes",,,,-3.267973856,-3.27%,0.2105653258,23.7,27.6,,,
Employé-e-s,Nanterre,2014,"Employé-e-s, salaire net horaire moyen des femmes par rapport aux hommes",,,,2.727272727,+2.73%,0.1757263355,14.8,15.3,,,
Ouvrier-e-s,Nanterre,2014,"Ouvrier-e-s, salaire net horaire moyen des femmes par rapport aux hommes",,,,-15.51724138,-15.52%,0.9998222538,11.3,11,,,
"Toute catégorie professionnelle, de 18 à 25 ans",Nanterre,2014,"Toute catégorie professionnelle, de 18 à 25 ans, salaire net horaire moyen des femmes par rapport aux hommes",,,,-5.7,-5.7%,0.3630573248,9.8,11.6,,,
"Toute catégorie professionnelle, de 26 à 50 ans",Nanterre,2014,"Toute catégorie professionnelle, de 26 à 50 ans, salaire net horaire moyen des femmes par rapport aux hommes",,,,-7.6,-7.6%,0.4840764331,,,,,
"Toute catégorie professionnelle,  plus de 50 ans",Nanterre,2014,"Toute catégorie professionnelle,  plus de 50 ans, salaire net horaire moyen des femmes par rapport aux hommes",,,,-15.7,-15.7%,1,,,,,
