"REG","Région","LOCATION","Pays","INC","Groupe de revenus","VAR","Variables","TIME","Année","Value","Flag Codes","Flags"
"MENA","Moyen-Orient et Afrique du Nord","BHR","Bahreïn","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.04,,
"ECA","Europe and Central Asia","HRV","Croatie","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.02,,
"ECA","Europe and Central Asia","CYP","Chypre","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.02,,
"SSA","Afrique Sub-Saharienne","GNQ","Guinée équatoriale","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.26,,
"EAP","Asie de l'Est et Pacifique","HKG","Hong Kong, Chine","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0,,
"MENA","Moyen-Orient et Afrique du Nord","KWT","Koweït","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.05,,
"ECA","Europe and Central Asia","LVA","Lettonie","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","LTU","Lituanie","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0,,
"MENA","Moyen-Orient et Afrique du Nord","OMN","Oman","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.04,,
"MENA","Moyen-Orient et Afrique du Nord","QAT","Qatar","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.18,,
"ECA","Europe and Central Asia","RUS","Russie","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.08,,
"MENA","Moyen-Orient et Afrique du Nord","SAU","Arabie saoudite","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.04,,
"EAP","Asie de l'Est et Pacifique","SGP","Singapour","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0,,
"LAC","Amérique latine et Caraïbes","TTO","Trinité-et-Tobago","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.03,,
"MENA","Moyen-Orient et Afrique du Nord","ARE","Émirats arabes unis","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.07,,
"LAC","Amérique latine et Caraïbes","URY","Uruguay","HIN","Pays à haut revenu: non-OCDE","FC_2","Mariage précoce","2014","2014",0.11,,
"EAP","Asie de l'Est et Pacifique","AUS","Australie","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","AUT","Autriche","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","BEL","Belgique","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"NA","Amérique du Nord","CAN","Canada","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.03,,
"ECA","Europe and Central Asia","CZE","République tchèque","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","DNK","Danemark","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","FIN","Finlande","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","FRA","France","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","DEU","Allemagne","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","GRC","Grèce","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.04,,
"ECA","Europe and Central Asia","ISL","Islande","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
