IND,Indicateur,LOCATION,Pays,YEAR,Année,Value,SEX,EDU
EDU_1_2,Taux d'alphabétisation,GRC,Grèce,2007,2007,95.9861,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GRC,Grèce,2007,2007,95.9861,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ITA,Italie,2007,2007,98.637,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ITA,Italie,2007,2007,98.637,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PRT,Portugal,2007,2007,93.3245,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PRT,Portugal,2007,2007,93.3245,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ESP,Espagne,2007,2007,97.260323,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ESP,Espagne,2007,2007,97.260323,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BHR,Bahreïn,2007,2007,86.4279,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BHR,Bahreïn,2007,2007,86.4279,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KWT,Koweït,2007,2007,93.118257,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KWT,Koweït,2007,2007,93.118257,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SGP,Singapour,2007,2007,91.577,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SGP,Singapour,2007,2007,91.577,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SVN,Slovénie,2007,2007,99.6462,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SVN,Slovénie,2007,2007,99.6462,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HUN,Hongrie,2007,2007,98.8152,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HUN,Hongrie,2007,2007,98.8152,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MEX,Mexique,2007,2007,91.355551,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MEX,Mexique,2007,2007,91.355551,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,POL,Pologne,2007,2007,99.0238,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,POL,Pologne,2007,2007,99.0238,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ARG,Argentine,2007,2007,97.6775,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ARG,Argentine,2007,2007,97.6775,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BWA,Botswana,2007,2007,82.9087,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BWA,Botswana,2007,2007,82.9087,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CHL,Chili,2007,2007,96.4953,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CHL,Chili,2007,2007,96.4953,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CRI,Costa_Rica,2007,2007,96.1665,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CRI,Costa_Rica,2007,2007,96.1665,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HRV,Croatie,2007,2007,98.0407,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HRV,Croatie,2007,2007,98.0407,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,EST,Estonie,2007,2007,99.8112,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,EST,Estonie,2007,2007,99.8112,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GAB,Gabon,2007,2007,82.1781,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GAB,Gabon,2007,2007,82.1781,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LVA,Lettonie,2007,2007,99.7868,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LVA,Lettonie,2007,2007,99.7868,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBN,Liban,2007,2007,85.967782,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBN,Liban,2007,2007,85.967782,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBY,Libye,2007,2007,78.4437,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBY,Libye,2007,2007,78.4437,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LTU,Lituanie,2007,2007,99.699,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LTU,Lituanie,2007,2007,99.699,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MYS,Malaisie,2007,2007,89.5581,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MYS,Malaisie,2007,2007,89.5581,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MUS,Maurice,2007,2007,84.6995,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MUS,Maurice,2007,2007,84.6995,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,OMN,Oman,2007,2007,77.4952,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,OMN,Oman,2007,2007,77.4952,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PAN,Panama,2007,2007,92.7682,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PAN,Panama,2007,2007,92.7682,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SAU,Arabie_saoudite,2007,2007,79.4134,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SAU,Arabie_saoudite,2007,2007,79.4134,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TTO,Trinité-et-Tobago,2007,2007,98.3104,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TTO,Trinité-et-Tobago,2007,2007,98.3104,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,URY,Uruguay,2007,2007,98.241934,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,URY,Uruguay,2007,2007,98.241934,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,VEN,Venezuela,2007,2007,94.929643,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,VEN,Venezuela,2007,2007,94.929643,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TUR,Turquie,2007,2007,81.263827,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TUR,Turquie,2007,2007,81.263827,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ALB,Albanie,2007,2007,98.7691,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ALB,Albanie,2007,2007,98.7691,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,DZA,Algérie,2007,2007,66.4278,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,DZA,Algérie,2007,2007,66.4278,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ARM,Arménie,2007,2007,99.3239,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ARM,Arménie,2007,2007,99.3239,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BLR,Bélarus,2007,2007,99.6506,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BLR,Bélarus,2007,2007,99.6506,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BOL,Bolivie,2007,2007,85.985939,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BOL,Bolivie,2007,2007,85.985939,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BRA,Brésil,2007,2007,90.228007,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BRA,Brésil,2007,2007,90.228007,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BGR,Bulgarie,2007,2007,97.9347,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BGR,Bulgarie,2007,2007,97.9347,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CHN,Chine_(République_populaire_de),2007,2007,89.9984,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CHN,Chine_(République_populaire_de),2007,2007,89.9984,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,COL,Colombie,2007,2007,92.845624,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,COL,Colombie,2007,2007,92.845624,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CUB,Cuba,2007,2007,99.7827,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,CUB,Cuba,2007,2007,99.7827,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,DOM,République_dominicaine,2007,2007,89.5082,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,DOM,République_dominicaine,2007,2007,89.5082,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ECU,Équateur,2007,2007,81.680587,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ECU,Équateur,2007,2007,81.680587,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SLV,El_Salvador,2007,2007,79.662128,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SLV,El_Salvador,2007,2007,79.662128,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GTM,Guatemala,2007,2007,68.0186,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GTM,Guatemala,2007,2007,68.0186,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HND,Honduras,2007,2007,83.452774,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HND,Honduras,2007,2007,83.452774,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,JAM,Jamaïque,2007,2007,91.0942,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,JAM,Jamaïque,2007,2007,91.0942,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KAZ,Kazakhstan,2007,2007,99.4812,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KAZ,Kazakhstan,2007,2007,99.4812,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MKD,Ex-République_yougoslave_de_Macédoine,2007,2007,95.4143,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MKD,Ex-République_yougoslave_de_Macédoine,2007,2007,95.4143,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MAR,Maroc,2007,2007,43.2176,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MAR,Maroc,2007,2007,43.2176,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NAM,Namibie,2007,2007,87.3726,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NAM,Namibie,2007,2007,87.3726,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PSE,AutoritT_palestinienne_ou_Cisjordanie_et_bande_de_Gaza,2007,2007,90.333662,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PSE,AutoritT_palestinienne_ou_Cisjordanie_et_bande_de_Gaza,2007,2007,90.333662,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PRY,Paraguay,2007,2007,93.45327,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PRY,Paraguay,2007,2007,93.45327,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PER,Pérou,2007,2007,84.646878,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PER,Pérou,2007,2007,84.646878,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PHL,Philippines,2007,2007,93.677,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PHL,Philippines,2007,2007,93.677,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ROU,Roumanie,2007,2007,96.9228,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ROU,Roumanie,2007,2007,96.9228,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,RUS,Russie,2007,2007,99.3716,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,RUS,Russie,2007,2007,99.3716,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZAF,Afrique_du_Sud,2007,2007,87.1614,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZAF,Afrique_du_Sud,2007,2007,87.1614,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SYR,République_arabe_syrienne,2007,2007,76.4785,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SYR,République_arabe_syrienne,2007,2007,76.4785,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,THA,Thaïlande,2007,2007,92.556,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,THA,Thaïlande,2007,2007,92.556,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TUN,Tunisie,2007,2007,69.0445,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TUN,Tunisie,2007,2007,69.0445,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TKM,Turkménistan,2007,2007,99.3335,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TKM,Turkménistan,2007,2007,99.3335,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,UKR,Ukraine,2007,2007,99.613,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,UKR,Ukraine,2007,2007,99.613,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,AZE,Azerbaïdjan,2007,2007,99.222164,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,AZE,Azerbaïdjan,2007,2007,99.222164,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BGD,Bangladesh,2007,2007,48.0451,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BGD,Bangladesh,2007,2007,48.0451,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BEN,Bénin,2007,2007,27.9271,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BEN,Bénin,2007,2007,27.9271,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BFA,Burkina_Faso,2007,2007,21.579565,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,BFA,Burkina_Faso,2007,2007,21.579565,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KHM,Cambodge,2007,2007,67.7155,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KHM,Cambodge,2007,2007,67.7155,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TCD,Tchad,2007,2007,20.8379,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TCD,Tchad,2007,2007,20.8379,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GHA,Ghana,2007,2007,58.2603,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GHA,Ghana,2007,2007,58.2603,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,IND,Inde,2007,2007,54.4765,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,IND,Inde,2007,2007,54.4765,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KGZ,Kirghizistan,2007,2007,99.0994,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,KGZ,Kirghizistan,2007,2007,99.0994,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBR,Libéria,2007,2007,50.8919,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,LBR,Libéria,2007,2007,50.8919,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MWI,Malawi,2007,2007,64.6229,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MWI,Malawi,2007,2007,64.6229,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MRT,Mauritanie,2007,2007,48.2766,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MRT,Mauritanie,2007,2007,48.2766,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MDA,Moldova,2007,2007,98.894,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MDA,Moldova,2007,2007,98.894,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MNG,Mongolie,2007,2007,97.7237,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MNG,Mongolie,2007,2007,97.7237,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MOZ,Mozambique,2007,2007,32.9507,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,MOZ,Mozambique,2007,2007,32.9507,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NPL,Népal,2007,2007,43.5584,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NPL,Népal,2007,2007,43.5584,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NGA,Nigéria,2007,2007,64.0956,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,NGA,Nigéria,2007,2007,64.0956,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PNG,Papouasie-Nouvelle-Guinée,2007,2007,53.3615,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,PNG,Papouasie-Nouvelle-Guinée,2007,2007,53.3615,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SLE,Sierra_Leone,2007,2007,26.7709,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,SLE,Sierra_Leone,2007,2007,26.7709,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TJK,Tadjikistan,2007,2007,99.5125,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TJK,Tadjikistan,2007,2007,99.5125,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TZA,Tanzanie,2007,2007,65.857,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,TZA,Tanzanie,2007,2007,65.857,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,UGA,Ouganda,2007,2007,65.5086,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,UGA,Ouganda,2007,2007,65.5086,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,YEM,Yémen,2007,2007,40.4662,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,YEM,Yémen,2007,2007,40.4662,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZMB,Zambie,2007,2007,60.7457,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZMB,Zambie,2007,2007,60.7457,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZWE,Zimbabwe,2007,2007,88.3283,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ZWE,Zimbabwe,2007,2007,88.3283,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GRC,Grèce,2007,2007,95.9861,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,GRC,Grèce,2007,2007,95.9861,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HUN,Hongrie,2007,2007,98.8152,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,HUN,Hongrie,2007,2007,98.8152,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ITA,Italie,2007,2007,98.637,WOMEN,EDU_1_2
EDU_1_2,Taux d'alphabétisation,ITA,Italie,2007,2007,98.637,WOMEN,EDU_1_2
