COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.6,,
AUS,Australie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.5,,
AUS,Australie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.1,,
AUS,Australie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,24.1,,
AUT,Autriche,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,21.9,,
AUT,Autriche,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.5,,
AUT,Autriche,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,27.3,,
AUT,Autriche,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,26.2,,
BEL,Belgique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,21.0,,
BEL,Belgique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.9,,
BEL,Belgique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,26.2,,
BEL,Belgique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,26.6,,
CAN,Canada,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.0,,
CAN,Canada,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.8,,
CAN,Canada,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.0,,
CAN,Canada,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.8,,
CZE,République tchèque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.4,,
CZE,République tchèque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,16.9,,
CZE,République tchèque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.1,,
CZE,République tchèque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.5,,
DNK,Danemark,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.1,,
DNK,Danemark,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.7,,
DNK,Danemark,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.7,,
DNK,Danemark,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,22.8,,
FIN,Finlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.2,,
FIN,Finlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.4,,
FIN,Finlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.4,,
FIN,Finlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,24.1,,
FRA,France,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,23.3,,
FRA,France,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.1,,
FRA,France,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,27.7,,
FRA,France,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,27.4,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.8,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.7,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.0,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.6,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.3,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.4,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,25.0,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,25.1,,
HUN,Hongrie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.0,,
