COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,30.5,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,29.7,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,30.0,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,30.1,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,30.8,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,30.7,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2006,2006,PC,Pourcentage,0,Unités,,,31.2,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2007,2007,PC,Pourcentage,0,Unités,,,31.2,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2008,2008,PC,Pourcentage,0,Unités,,,31.8,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,31.4,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2010,2010,PC,Pourcentage,0,Unités,,,31.2,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,31.1,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,10.3,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,9.6,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,9.6,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,9.6,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,9.4,,
AUS,Australie,EMP13_I,"Part de l'emploi dans l'industrie, par sexe",WOMEN,Femme,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,9.3,,
