COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Autriche,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.8,,
AUT,Autriche,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.0,,
BEL,Belgique,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,9.2,,
BEL,Belgique,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.7,,
CZE,République tchèque,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.2,,
CZE,République tchèque,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,2.8,,
DNK,Danemark,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.7,,
DNK,Danemark,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,1.6,,
FIN,Finlande,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.7,,
FIN,Finlande,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.3,,
FRA,France,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,8.6,,
FRA,France,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.1,,
DEU,Allemagne,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.4,,
DEU,Allemagne,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.2,,
GRC,Grèce,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.3,,
GRC,Grèce,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,2.3,,
HUN,Hongrie,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.3,,
HUN,Hongrie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.0,,
ISL,Islande,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,10.5,,
ISL,Islande,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.3,,
IRL,Irlande,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,9.2,,
IRL,Irlande,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.2,,
ITA,Italie,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.0,,
ITA,Italie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,2.4,,
NLD,Pays-Bas,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,9.7,,
NLD,Pays-Bas,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.7,,
NOR,Norvège,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,8.5,,
NOR,Norvège,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.2,,
POL,Pologne,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.8,,
POL,Pologne,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.2,,
PRT,Portugal,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,7.9,,
PRT,Portugal,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.4,,
SVK,République slovaque,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.4,,
SVK,République slovaque,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.6,,
ESP,Espagne,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.3,,
ESP,Espagne,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.3,,
SWE,Suède,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.6,,
SWE,Suède,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,3.8,,
CHE,Suisse,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,9.3,,
CHE,Suisse,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,5.7,,
GBR,Royaume-Uni,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,12.5,,
GBR,Royaume-Uni,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,7.6,,
EST,Estonie,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,11.9,,
EST,Estonie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.3,,
SVN,Slovénie,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,9.3,,
SVN,Slovénie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.7,,
OAVG,Moyenne OCDE,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,8.0,,
OAVG,Moyenne OCDE,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.6,,
BRA,Brésil,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,5.5,,
NOR,Norvège,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,4.5,,
BEL,Belgique,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,5.5,,
ISL,Islande,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,11.5,,
ZAF,Afrique du Sud,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,10.4,,
RUS,Russie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,6.6,,
CAN,Canada,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,6.3,,
OAVG,Moyenne OCDE,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,7.9,,
NLD,Pays-Bas,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,9.2,,
SWE,Suède,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,4.2,,
EST,Estonie,EMP10,"Part des employés cadres supérieurs, par sexe",WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,6.5,,
BEL,Belgique,EMP10,"Part des employés cadres supérieurs, par sexe",MEN,Homme,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,10.0,,
