LOCATION,Pays,INDICATOR,Indicateur,SEX,Sexe,AGE,Age,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1991,1991,PC,Pourcentage,0,Unités,,,9.026330999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1992,1992,PC,Pourcentage,0,Unités,,,8.799062,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1993,1993,PC,Pourcentage,0,Unités,,,8.768208999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1994,1994,PC,Pourcentage,0,Unités,,,8.980591,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1995,1995,PC,Pourcentage,0,Unités,,,9.06363,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1996,1996,PC,Pourcentage,0,Unités,,,8.833967999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1997,1997,PC,Pourcentage,0,Unités,,,8.960256,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1998,1998,PC,Pourcentage,0,Unités,,,9.123059,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1999,1999,PC,Pourcentage,0,Unités,,,8.958219999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,9.292164,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,9.46055,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,9.255911,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,9.104682,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,9.128036,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,9.184709,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2006,2006,PC,Pourcentage,0,Unités,,,8.899989999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2007,2007,PC,Pourcentage,0,Unités,,,8.312415,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2008,2008,PC,Pourcentage,0,Unités,,,8.432326,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,8.595925999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2010,2010,PC,Pourcentage,0,Unités,,,8.546878,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,8.105651,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,8.024386999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,7.9824470000000005,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2014,2014,PC,Pourcentage,0,Unités,,,7.984217999999999,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2015,2015,PC,Pourcentage,0,Unités,,,7.791142,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2016,2016,PC,Pourcentage,0,Unités,,,7.894125,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2017,2017,PC,Pourcentage,0,Unités,,,7.967227,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1991,1991,PC,Pourcentage,0,Unités,,,5.4377059999999995,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1992,1992,PC,Pourcentage,0,Unités,,,5.277368,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1993,1993,PC,Pourcentage,0,Unités,,,5.33914,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1994,1994,PC,Pourcentage,0,Unités,,,5.524444,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1995,1995,PC,Pourcentage,0,Unités,,,5.522766000000001,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1996,1996,PC,Pourcentage,0,Unités,,,5.423211,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1997,1997,PC,Pourcentage,0,Unités,,,5.506339,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1998,1998,PC,Pourcentage,0,Unités,,,5.539696,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1999,1999,PC,Pourcentage,0,Unités,,,5.208141,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,5.329222,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,5.734203,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,5.608345,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,5.453687,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,5.327032,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,5.353482,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2006,2006,PC,Pourcentage,0,Unités,,,5.099369,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2007,2007,PC,Pourcentage,0,Unités,,,4.971775,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2008,2008,PC,Pourcentage,0,Unités,,,4.958927,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,4.625806,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2010,2010,PC,Pourcentage,0,Unités,,,4.766609,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,4.601101,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,4.386547,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,4.343425,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2014,2014,PC,Pourcentage,0,Unités,,,4.306011,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2015,2015,PC,Pourcentage,0,Unités,,,4.3539650000000005,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2016,2016,PC,Pourcentage,0,Unités,,,4.221757,,
AUS,Australie,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2017,2017,PC,Pourcentage,0,Unités,,,4.136927,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1995,1995,PC,Pourcentage,0,Unités,,,6.287323000000001,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1996,1996,PC,Pourcentage,0,Unités,,,6.408862,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1997,1997,PC,Pourcentage,0,Unités,,,6.391946,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1998,1998,PC,Pourcentage,0,Unités,,,6.641572999999999,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,1999,1999,PC,Pourcentage,0,Unités,,,6.400469999999999,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,6.428362,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,6.346719,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,6.920798,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,6.746575,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,5.886277,B,Rupture
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,6.50314,B,Rupture
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2006,2006,PC,Pourcentage,0,Unités,,,6.502721,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2007,2007,PC,Pourcentage,0,Unités,,,6.6653970000000005,B,Rupture
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2008,2008,PC,Pourcentage,0,Unités,,,6.324521,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,6.482369,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2010,2010,PC,Pourcentage,0,Unités,,,6.432137,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2011,2011,PC,Pourcentage,0,Unités,,,6.542453,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2012,2012,PC,Pourcentage,0,Unités,,,6.477827,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,6.262011,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2014,2014,PC,Pourcentage,0,Unités,,,6.584517,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2015,2015,PC,Pourcentage,0,Unités,,,6.2296,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2016,2016,PC,Pourcentage,0,Unités,,,6.259429,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,MEN,Men,TOTAL,Total,2017,2017,PC,Pourcentage,0,Unités,,,6.320746,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1995,1995,PC,Pourcentage,0,Unités,,,2.611465,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1996,1996,PC,Pourcentage,0,Unités,,,2.662208,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1997,1997,PC,Pourcentage,0,Unités,,,2.825766,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1998,1998,PC,Pourcentage,0,Unités,,,2.9854540000000003,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,1999,1999,PC,Pourcentage,0,Unités,,,2.855536,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2000,2000,PC,Pourcentage,0,Unités,,,3.05837,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2001,2001,PC,Pourcentage,0,Unités,,,2.969319,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2002,2002,PC,Pourcentage,0,Unités,,,2.9908810000000003,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2003,2003,PC,Pourcentage,0,Unités,,,2.913376,,
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2004,2004,PC,Pourcentage,0,Unités,,,2.243884,B,Rupture
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2005,2005,PC,Pourcentage,0,Unités,,,2.243666,B,Rupture
AUT,Autriche,ENT1,Part des personnes en emploi étant employeurs,WOMEN,Women,TOTAL,Total,2006,2006,PC,Pourcentage,0,Unités,,,2.527683,,
