"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",20,
"AUS","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",20.7,
"AUS","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",17.2,
"AUS","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",24.1,
"AUS","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",21.4,
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",35.3,
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",46.2,
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",30.8,
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",23.1,
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",38.5,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",21.4,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",41.7,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",23.1,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",23.1,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"CAN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",23.1,
"CAN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",26.9,
"CAN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",30.8,
"CAN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",51.7,
"CAN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",50,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",11.1,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",13.3,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",18.8,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",17.6,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",28.6,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",33.3,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",39.1,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",26.3,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",42.9,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",42.9,
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",47.1,
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",50,
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",62.5,
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",38.5,
