indicator,fr,es
Share of central government employment filled by women,"Gouvernement central, part des femmes",Mujeres en el gobierno central
Share of women parliamentarians,"Parlementaires, part des femmes", Mujeres parlamentarias
Share of women ministers,"Ministres, part des femmes",Mujeres ministras
Share of professional judges that are women,"Juges, part des femmes",Mujeres juezas profesionales
Share of women in courts of first instance,"Tribunaux de première instance, part des femmes",Mujeres en los tribunales de primera instancia
Share of women in appeal courts,"Cour d’appel, part des femmes",Mujeres en la corte de apelación
Share of women in supreme courts,"Cour suprême, part des femmes",Mujeres en la corte suprema
Share of public employment filled by women,"Secteur public, part des femmes",Mujeres empleadas en el sector público
Share of employed women in total employment,"Population active, part des femmes",Mujeres en la población activa
"Share of central government employment filled by women by occupation groups, senior management","Share of central government employment filled by women by occupation groups, senior management",
"Share of central government employment filled by women by occupation groups, middle management","Share of central government employment filled by women by occupation groups, middle management",
"Share of central government employment filled by women by occupation groups, professionals","Share of central government employment filled by women by occupation groups, professionals",

