1 - Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,64,Bhutan,2006,Female,3.18,-,-,1,1,Unknown,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,64,Bhutan,2006,Male,1.22,-,-,1,1,Unknown,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,356,India,1998,Female,4.35,-,-,1,1,6+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,356,India,1998,Male,0.45,-,-,1,1,6+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,364,Iran (Islamic Republic of),2008,Female,5.05,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,364,Iran (Islamic Republic of),2008,Male,1.25,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,586,Pakistan,2007,Female,4.77,-,-,1,1,Collecting water and fuel included under unpaid work,10+,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Southern Asia,586,Pakistan,2007,Male,0.43,-,-,1,1,Collecting water and fuel included under unpaid work,10+,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,8,Albania,2010,Female,5.22,-,-,1,1,Time on unpaid domestic work includes time spent on community or volunteer work,10+,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,8,Albania,2010,Male,0.83,-,-,1,1,Time on unpaid domestic work includes time spent on community or volunteer work,10+,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,36,Australia,2006,Female,5,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,36,Australia,2006,Male,2.73,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,36,Australia,1997,Female,4.87,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,36,Australia,1997,Male,2.62,-,-,1,1,15+,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,40,Austria,2008,Female,4.07,-,-,1,1,20-74,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,40,Austria,2008,Male,2.08,-,-,1,1,20-74,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,2005,Female,4.18,-,-,1,1,15-84,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,2005,Female,3.82,-,-,1,1,19-65,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,2005,Male,2.45,-,-,1,1,15-84,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,2005,Male,2.15,-,-,1,1,19-65,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,1998,Female,4.03,-,-,1,1,19-65,-,-,-,-,-,-
Average number of hours spent on unpaid domestic work by sex; Note: Separate housework and childcare if possible,Developed regions,56,Belgium,1998,Male,2.13,-,-,1,1,19-65,-,-,-,-,-,-
