14 - Proportion of employed working part-time  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2010,Female,37.7,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2010,Male,7.47,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,16.52,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2013,Female,25.36,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2013,Male,9.24,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,13.92,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2009,Female,11.7,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to May,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2009,Male,4.2,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to May,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2009,Both sexes,7.8,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to May,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2010,Female,50.8,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to April,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2010,Male,48.8,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to April,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2010,Both sexes,49.8,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to April,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2006,Female,5,-,-,1,1,Age:15+,Repository:NSO,-,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2006,Male,2.7,-,-,1,1,Age:15+,Repository:NSO,-,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2006,Both sexes,3.7,-,-,1,1,Age:15+,Repository:NSO,-,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
Proportion of employed working part-time  by sex,Southern Asia,64,Bhutan,2011,Female,11.5,-,-,1,1,Age:15+,Repository:NSO,Reference period:March to May,-,Part-time hours cut-off:30,Hours measured (actual or usual):actual,-
