18 - Proportion of individuals using mobile/cellular telephones  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2011,Female,32.11,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:01,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2011,Male,61.88,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2011,Both sexes,46.99,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2015,Female,46.11,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:09:01,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2015,Male,69.42,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,4,Afghanistan,2015,Both sexes,58.15,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2001,Female,60.26,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:01,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2001,Male,67.16,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,63.62,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:09:02,0,0,0,0,-,0
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2011,Female,80.4,-,-,2,2,-,-,-,-,-,-,-
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2011,Male,77.1,-,-,2,2,-,-,-,-,-,-,-
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,78.7,-,-,2,2,-,-,-,-,-,-,-
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2012,Female,81.9,-,-,2,2,-,-,-,-,-,-,-
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2012,Male,78,-,-,2,2,-,-,-,-,-,-,-
Youth literacy rate of persons (15-24 years)  by sex,Southern Asia,50,Bangladesh,2012,Both sexes,79.9,-,-,2,2,-,-,-,-,-,-,-
