1b - Whether or not ratified ILO convention 111 on discrimination in employment and occupation

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,4,Afghanistan,1969-10-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,50,Bangladesh,1972-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,144,Sri Lanka,1998-11-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,356,India,1960-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,364,Iran (Islamic Republic of),1964-06-30,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,462,Maldives,2013-01-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,524,Nepal,1974-09-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Southern Asia,586,Pakistan,1961-01-24,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,8,Albania,1997-02-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,36,Australia,1973-06-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,40,Austria,1973-01-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,56,Belgium,1977-03-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,70,Bosnia and Herzegovina,1993-06-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,100,Bulgaria,1960-07-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,112,Belarus,1961-08-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,124,Canada,1964-11-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,191,Croatia,1991-10-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,196,Cyprus,1968-02-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,203,Czech Republic,1993-01-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,208,Denmark,1960-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,233,Estonia,2005-08-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,246,Finland,1970-04-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,250,France,1981-05-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,276,Germany,1961-06-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,300,Greece,1984-05-07,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,348,Hungary,1961-06-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,352,Iceland,1963-07-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,372,Ireland,1999-04-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,376,Israel,1959-01-12,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,380,Italy,1963-08-12,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,392,Japan,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,428,Latvia,1992-01-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,440,Lithuania,1994-09-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,442,Luxembourg,2001-03-21,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,470,Malta,1968-07-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,498,Republic of Moldova,1996-08-12,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,499,Montenegro,2006-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,528,Netherlands,1973-03-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,554,New Zealand,1983-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,578,Norway,1959-09-24,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,616,Poland,1961-05-30,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,620,Portugal,1959-11-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,642,Romania,1973-06-06,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,643,Russian Federation,1961-05-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,674,San Marino,1986-12-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,688,Serbia,2000-11-24,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,703,Slovakia,1993-01-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,705,Slovenia,1992-05-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,724,Spain,1967-11-06,Status,Ratified  in force,-
