25 - Share of female science  engineering  manufacturing and construction graduates at tertiary level

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,50,Bangladesh,2003,Female,23.75,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,50,Bangladesh,2002,Female,28.56,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,50,Bangladesh,2012,Female,36.4,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,64,Bhutan,2013,Female,24.94,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,144,Sri Lanka,2010,Female,38.68,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,144,Sri Lanka,2011,Female,38.25,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,144,Sri Lanka,2012,Female,40.9,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,144,Sri Lanka,2013,Female,40.19,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,144,Sri Lanka,2014,Female,40.56,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,356,India,2013,Female,42.08,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2005,Female,37.09,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2007,Female,37.09,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2009,Female,38.06,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2004,Female,29.73,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2006,Female,33.74,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2011,Female,28.38,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2012,Female,26.9,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2013,Female,32.05,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,364,Iran (Islamic Republic of),2014,Female,31.98,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Southern Asia,524,Nepal,2013,Female,23.05,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2003,Female,44.2,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2000,Female,29.97,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2011,Female,48.06,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2012,Female,54.58,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2013,Female,52.2,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,8,Albania,2014,Female,52.45,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2003,Female,23.53,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2008,Female,10,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2005,Female,13.64,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2004,Female,11.76,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2006,Female,0,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2002,Female,30,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2012,Female,33.33,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2013,Female,33.33,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,20,Andorra,2014,Female,25,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,1999,Female,32.88,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2003,Female,30.45,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2008,Female,30.32,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2000,Female,32.91,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2005,Female,31.34,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2007,Female,30.96,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2009,Female,29.98,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2010,Female,29.32,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2001,Female,30.59,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2006,Female,30.1,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2011,Female,29.1,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,36,Australia,2002,Female,30.81,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,40,Austria,2003,Female,21.08,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,40,Austria,2008,Female,24.23,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,40,Austria,2000,Female,19.93,-,-,1,1,-,-,-,-,-,-,-
Share of female science  engineering  manufacturing and construction graduates at tertiary level,Developed regions,40,Austria,2005,Female,23.33,-,-,1,1,-,-,-,-,-,-,-
