2b - Whether or not ratified ILO convention 175 on part-time work

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,4,Afghanistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,50,Bangladesh,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,144,Sri Lanka,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,356,India,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,364,Iran (Islamic Republic of),-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,462,Maldives,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,524,Nepal,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Southern Asia,586,Pakistan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,8,Albania,2003-03-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,36,Australia,2011-08-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,40,Austria,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,56,Belgium,2016-06-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,70,Bosnia and Herzegovina,2010-01-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,100,Bulgaria,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,112,Belarus,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,124,Canada,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,191,Croatia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,196,Cyprus,1997-02-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,203,Czech Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,208,Denmark,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,233,Estonia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,246,Finland,1999-05-25,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,250,France,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,276,Germany,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,300,Greece,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,348,Hungary,2010-04-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,352,Iceland,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,372,Ireland,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,376,Israel,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,380,Italy,2000-04-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,392,Japan,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,428,Latvia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,440,Lithuania,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,442,Luxembourg,2001-03-21,Status,Ratified  in force,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,470,Malta,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,498,Republic of Moldova,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,499,Montenegro,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,528,Netherlands,2001-02-05,Status,Ratified  in force,-
