4 - Percentage of wages paid during maternity leave

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Actual Data,Data Unit,Footnote
Percentage of wages paid during maternity leave,Southern Asia,4,Afghanistan,Maternity leave cash benefits,At least 66.6%,100,%,The employee is entitled to salary and other supplementary allowances of the staff.
Percentage of wages paid during maternity leave,Southern Asia,50,Bangladesh,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The average daily  weekly or monthly wages received by the worker during the three months immediately preceding the date on which she gives notice under §47 of the Labour Act 2003.  Source: Liability for maternity benefits falls to the employer.
Percentage of wages paid during maternity leave,Southern Asia,64,Bhutan,-,-,-,-,-
Percentage of wages paid during maternity leave,Southern Asia,144,Sri Lanka,Maternity leave cash benefits,At least 66.6%,6/7 or 100%,-,Amount: Employees covered by the Maternity Benefits Ordinance: Six-sevenths of the wages that a worker would have been entitled to if she had worked (for workers entitled to be paid at a time-rate)  or six-sevenths of the average daily wages earned by a worker during the period of six months immediately preceding her confinement (for workers entitled to be paid at a piece-rate). Where the rate of maternity benefit for any day is less than one rupee  such rate shall be one rupee. Employees covered by the Shop and Offices Employees Act: 100 per cent of the remuneration.  Source: The employer.
Percentage of wages paid during maternity leave,Southern Asia,356,India,Maternity leave cash benefits,At least 66.6%,100,%,Amount: Every woman shall be entitled to  and her employer shall be liable for  the payment of maternity benefit at the rate of the average daily wage for the period of her actual absence (100%).  Source: The employer is required to finance the maternity benefits.
Percentage of wages paid during maternity leave,Southern Asia,364,Iran (Islamic Republic of),Maternity leave cash benefits,At least 66.6%,66.7,%,Amount: The pregnancy and confinement benefit shall be equal to two thirds of the last wage or salary of the insured  calculated in accordance with §63 of the Social Security Law.  Source: The maternity cash benefits are paid by the Social Security Organization of the Islamic Republic of Iran  which was established by the Social Security Law. The sources of income of the organization are as follows: 1. The insurance contribution  being at the rate of 30% of wages or salaries  7% of which is to be paid by the insured  20% by the employer and 3% by the Government; 2. Income obtained from the funds  reserves and properties of the organization; 3. Money obtained from penalties and cash fines specified in this law; 4. Grants and gifts.
Percentage of wages paid during maternity leave,Southern Asia,462,Maldives,-,-,-,-,-
Percentage of wages paid during maternity leave,Southern Asia,524,Nepal,Maternity leave cash benefits,At least 66.6%,100,%,Amount: Employees are to be paid an amount equivalent to their full pay.  Source: Payment is to be made by the employer.
Percentage of wages paid during maternity leave,Southern Asia,586,Pakistan,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The maternity benefit is expressed as an entitlement to payment at the rate of the worker’s wages last paid.  Source: The employer is liable for payment of the maternity benefits.
Percentage of wages paid during maternity leave,Developed regions,8,Albania,Maternity leave cash benefits,Less than 66.6%,80% up to 150 days; 50% for remainder,-,Amount: The maternity benefit shall be paid during 365 calendar days  and during 390 days in case of multiple birth. The rate of maternity benefit for insured women shall be: a) 80 per cent of daily average of the annual assessment basis of last calendar year for the period prior to birth and for 150 calendar days after the birth; b) 50 per cent of daily average of the annual assessment basis of last calendar year for the rest of the period. The amount of maternity benefit for economically active women shall equal to the base flat-rate old-age pension. Source: Social Insurance System  which is financed by contributions of employers and the insured.
Percentage of wages paid during maternity leave,Developed regions,20,Andorra,Maternity leave cash benefits,At least 66.6%,100,%,0
Percentage of wages paid during maternity leave,Developed regions,36,Australia,Maternity leave cash benefits,Other,18 weeks' pay,-,Entitlements to cash benefits during maternity leave arise under the Parental Leave Act 2010 (details under ’Parental leave benefits’  below). Additional entitlements apply to federal government employees under the Maternity Leave Act. Additional cash benefit entitlements for private sector employees are to be set at an industry  enterprise or individual level. Amount: The parental leave pay entitlement is up to 18 weeks’ pay at the federal minimum wage  as set in accordance with s287 of the Fair Work Act 2009. The amount payable is to be calculated at a rate of 7.6 hours for each day to which the employee is entitled parental leave pay. An entitlement arising under the Paid Parental Leave Act 2010 does not affect a person’s entitlement to other parental leave-related cash benefits under statute  an industrial instrument or contract. Source: Although parental leave payments may be made by the employer  the cash benefit entitlements arising under the Paid Parental Leave Act 2010 are ultimately financed by the federal government  administered by the Family Assistance Office.
Percentage of wages paid during maternity leave,Developed regions,40,Austria,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 % of the average daily wage earned over the last 13 weeks (or 3 months) before the start of the maternity leave  minus the statutory deductions. Detailed regulations on the calculation of the amount of benefits exist.  The female worker remains entitled to other payments  especially one-off ones.  Source: Statutory Health Insurance.
Percentage of wages paid during maternity leave,Developed regions,56,Belgium,Maternity leave cash benefits,At least 66.6%,79.5% for the first 30 days  and 75%  up to a ceiling  for the remaining period,-,Amount: Maternity benefits shall be paid to the worker during the period of maternity leave  namely  15 weeks and any extensions thereof in case of multiple birth (17 or 19 weeks). The worker who is employed at the moment of her pregnancy  shall enjoy 79.5% of her gross salary (no ceiling) for the first 30 days  and 75%  up to a ceiling for the remaining period. For the unemployed women  60% of the gross salary prior to being unemployed  up to a ceiling  and a complementary indemnity of 19 5% for the first 30 days and of 15%  for the remaining period. Source: Social security (compulsory sickness and indemnity insurance scheme).
Percentage of wages paid during maternity leave,Developed regions,60,Bermuda,-,-,-,-,-
Percentage of wages paid during maternity leave,Developed regions,70,Bosnia and Herzegovina,Maternity leave cash benefits,Other,50%-100%,-,Amount: Federation BiH: 50-80% of the reference wage  depending upon the various cantonal regulations of the Federation of Bosnia and Herzegovina. Republik of Srpska: 100% of the salary the employee was earning during the last six months before the starting date of the maternity leave. District of Brcko: 100%.  Source: n.a. (Remarks: While it the employer pays apparently the maternity benefit in the first place  he/she is later apparently partly reimbursed by social security. However  the relevant provisions could not be obtained.)
Percentage of wages paid during maternity leave,Developed regions,100,Bulgaria,Maternity leave cash benefits,At least 66.6%,90,%,Amount: 90 per cent of the average daily wage or of the insured income. Source: State public insurance (the General Sickness and Maternity Fund).
Percentage of wages paid during maternity leave,Developed regions,112,Belarus,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The rate of maternity benefits is 100 per cent of the average salary and not less than 50 per cent of the minimum per capita subsistence wage (1 February - 30 April 2009: 117 190 rubles).  Source: The maternity benefits are paid from the budget of the state social insurance. Contributors to the state social insurance are the following: -employed persons; -entrepreneurs; -citizens  who perform work under a civic agreement with natural persons (self employed); -persons working in the field of art; -foreign nationals and stateless persons  working in the Republic of Belarus.
Percentage of wages paid during maternity leave,Developed regions,124,Canada,Maternity leave cash benefits,Less than 66.6%,55% (up to a ceiling),-,Amount: Federal and state. Fifty-five per cent (up to a ceiling).  Source: Federal and State. Employment Insurance.
Percentage of wages paid during maternity leave,Developed regions,191,Croatia,Maternity leave cash benefits,At least 66.6%,100% until 6 months after birth   then a flat-rate benefit,-,Amount: Until the end of the mandatory maternity leave (until the child reaches 6 months of age) the salary compensation is paid at an amount of 100 per cent of the base. The maternity benefit for the rest of the maternity leave period (until the child reaches one year of age) the mother shall be paid between 1663 kunas and 2500 kunas a month. Or in the case of multiple births  1663 kunas a month is paid for each child up to the age of 3. A one time lump sum of 2328.20 kunas is paid for newborn child assitance.  Source: The salary compensation until the child reaches the age of 6 months is paid at the expense of the Croatian Health Insurance Fund  and the rest of the maternity leave period is paid at the expense of the State Budget.
Percentage of wages paid during maternity leave,Developed regions,196,Cyprus,Maternity leave cash benefits,At least 66.6%,75,%,Amount: 75 per cent of the weekly average of the beneficiary’s basic insurable earnings in the previous contributions year.  Source: The Social Security Scheme  which is financed by contributions payable by employers  the insured persons and the State.
Percentage of wages paid during maternity leave,Developed regions,203,Czech Republic,Maternity leave cash benefits,Less than 66.6%,60,%,Amount: From the first calendar day  the maternity benefit amount is 60% of the daily basis of assessment per calendar day.  Source: Social security. Contributions paid by employers  employees and self-employed if they voluntarily paid contributions to the sickness insurance scheme.
Percentage of wages paid during maternity leave,Developed regions,208,Denmark,Maternity leave cash benefits,At least 66.6%,100,%,Amount: Maternity benefits for employees may not exceed DKK 3 332 a week and not more per hour than this amount divided by the normal weekly working hours relating to collective agreements. Maternity benefits for an unemployed member of a recognised unemployment fund shall total the same amount as the person could have received in the form of unemployment benefits if the person concerned had not received benefits under this Act. Maternity benefits for self-employed persons may not per week total more than the amount referred to employees in the first paragraph. The maternity benefits shall total at least 2/3 of the amount referred to in paragraph 1.  Source: The employer shall pay benefits during absence from work due to ante-natal examinations. In case of Leave in case of illness before the pre-natal leave(four weeks before probable date of confinement)benefits will be paid according to the Act on Sickness benefits. The Local authorities pay benefits for maternity adoption  paternity and parental leave  but the Government shall pay 100 per cent of the local authority’s expenditure under this Act  however  the Government shall pay 50 per cent of the local authority’s expenditure on benefits paid in order to care for seriously ill children.
Percentage of wages paid during maternity leave,Developed regions,233,Estonia,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent.  Source: Social security (Estonian Health Insurance Fund).
Percentage of wages paid during maternity leave,Developed regions,246,Finland,Maternity leave cash benefits,At least 66.6%,70,%,Amount: In general: 70 per cent  up to a ceiling  plus 40% of the additional amount up to a ceiling  plus 25% of additional amount. Depends on the claimant’s earnings or  if self-employed  on insurable annual income  but is at least 22.04 Euros a day. Source: Social Insurance system. Kela’s operations are financed by statutory contributions from the insured and employers and with funding from the public sector.
