45 - Women’s share of managerial positions

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Women’s share of managerial positions,Southern Asia,50,Bangladesh,2013,Female,14.95,-,-,1,1,Break in series: Methodology revised,-,-,-,-,0,0
Women’s share of managerial positions,Southern Asia,144,Sri Lanka,2009,Female,19.96,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts,0,0
Women’s share of managerial positions,Southern Asia,144,Sri Lanka,2010,Female,23.73,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts,0,0
Women’s share of managerial positions,Southern Asia,144,Sri Lanka,2013,Female,23.48,-,-,1,1,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts,0,0
Women’s share of managerial positions,Southern Asia,144,Sri Lanka,2014,Female,23.97,-,-,1,1,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,8,Albania,2009,Female,22.47,-,-,1,1,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,8,Albania,2011,Female,35.9,-,-,1,1,Data reference period: Noncalendar year,-,-,-,-,-,-
Women’s share of managerial positions,Developed regions,8,Albania,2012,Female,16.4,-,-,1,1,Data reference period: Noncalendar year,-,-,-,-,-,-
Women’s share of managerial positions,Developed regions,36,Australia,1999,Female,21.12,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2003,Female,25.89,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2008,Female,30.72,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2000,Female,22.9,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2005,Female,28.3,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2007,Female,29.31,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
Women’s share of managerial positions,Developed regions,36,Australia,2009,Female,30.47,-,-,1,1,-,-,-,-,Population coverage: Excluding armed forces and/or conscripts,0,0
