7 - Existence of law on gender statistics

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Law/Act with gender clause,Topic under the law,Gender Clause
Existence of law on gender statistics,Southern Asia,4,Afghanistan,Status,No information,-,-,-
Existence of law on gender statistics,Southern Asia,50,Bangladesh,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Southern Asia,144,Sri Lanka,Status,No information,-,-,-
Existence of law on gender statistics,Southern Asia,356,India,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Southern Asia,364,Iran (Islamic Republic of),Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Southern Asia,462,Maldives,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Southern Asia,524,Nepal,Status,No information,-,-,-
Existence of law on gender statistics,Southern Asia,586,Pakistan,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,8,Albania,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,36,Australia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,40,Austria,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,56,Belgium,Status,No information,-,-,-
Existence of law on gender statistics,Developed regions,70,Bosnia and Herzegovina,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,100,Bulgaria,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,112,Belarus,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,124,Canada,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,191,Croatia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,196,Cyprus,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Developed regions,203,Czech Republic,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: State Statistical Service Act No89/1995,Topic under the law: The Use of Administrative Data,Gender clauses:   (1) The Ministry of the Interior shall provide the Czech Statistical Office  for performing the terms of reference under this Act  with data from the Population Database Information System on  a) citizens of the Czech Republic   b) foreigners with residence permit in the Czech Republic  foreigners staying in the Czech Republic on the basis of a long-term visa under a special legal regulation5g and foreigners who have been granted asylum in the Czech Republic5h  namely in electronic form making possible remote access.  (2) Data provided under paragraph 1 are data on a) citizens of the Czech Republic 1. name(s)  surname or change thereof  maiden surname   2. date of birth  3. sex and sex-change  4. place and district of birth  place and state of birth of a citizen who was born outside the Czech Republic   5. birth registration number or change thereof   6. citizenship(s)   7. address of permanent residence  including previous addresses of permanent residence   8. start of permanent residence  or date of erasure of datum on place of permanent residence or date of termination of permanent residence in the Czech Republic  9. birth registration number of father  mother or other legal representative; name(s)  surname and date of birth of parent or other legal representative in case one of the parents or other legal representative has not been assigned birth registration number  10. marital status  date of change of marital status and place of marriage  11. birth registration number of spouse; name(s)  surname and date of birth of spouse who is a foreigner without assigned birth registration number  12. birth registration number of a child; name(s)  surname and date of birth of a child who is a foreigner without assigned birth registration number  13. date  place and district of death; date and state of death if death takes place outside the Czech Republic   14. date which was stated as the date of death in a court decision certifying death   b) foreigners mentioned in paragraph 1(b) 1. name(s)  surname  or change thereof  maiden surname   2. date of birth  3. sex and sex-change   4. place and state of birth  5. birth registration number or change thereof  6. citizenship(s)  7. type and address of residence  including previous addresses of residence in the Czech Republic  8. start of residence  or date of residence termination  9. marital status  date and place of change of marital status  name(s)  surname of spouse  birth registration number and date of birth  10. name(s)  surname of a child who is a foreigner under paragraph 1(b)  and birth registration number; date of birth in case the birth registration number has not been assigned  11. name(s)  surname of father  mother or other legal representative if they are foreigners under paragraph 1(b)  and birth registration number; name(s)  surname and date of birth of parent or other legal representative in case one of the parents or other legal representative has not been assigned the birth registration number   12. date  place and district of death; state and possibly date of death if death takes place outside the Czech Republic   13. date which was stated as the date of death in a court decision certifying death.
Existence of law on gender statistics,Developed regions,208,Denmark,Status,Statistics Law reviewed  no gender clause detected,-,-,-
