8 - Whether or not reservation to article 16 of CEDAW

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Whether or not reservation to article 16 of CEDAW,Southern Asia,4,Afghanistan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,50,Bangladesh,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,64,Bhutan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,144,Sri Lanka,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,144,Sri Lanka,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Equal rights in marriage and family,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Other concerns,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,356,India,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),CEDAW Status,Not signed or ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Elimination of discrimination,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality to choose residence,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equal rights in marriage and family,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality in employment,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Other concerns,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Equality of nationality,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,364,Iran (Islamic Republic of),Reservations to CEDAW - Compatibility with religious laws or traditional codes,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,462,Maldives,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,524,Nepal,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,524,Nepal,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Southern Asia,586,Pakistan,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,8,Albania,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,8,Albania,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,20,Andorra,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,20,Andorra,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,36,Australia,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,40,Austria,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,Developed regions,56,Belgium,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,56,Belgium,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,70,Bosnia and Herzegovina,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,70,Bosnia and Herzegovina,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,100,Bulgaria,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,100,Bulgaria,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,112,Belarus,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,112,Belarus,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,124,Canada,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Developed regions,124,Canada,Optional Protocol,Ratified,-
