1b - Average number of hours spent on unpaid domestic chores  by sex  age and location

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,64,Bhutan,2007,Female,All age ranges or no breaks by age,All areas,-,2.9167008,-,-,Percentage,Country adjusted data,-,Travel related to unpaid domestic work is not included; unknown age breakdown.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,64,Bhutan,2007,Male,All age ranges or no breaks by age,All areas,-,1.1167008,-,-,Percentage,Country adjusted data,-,Travel related to unpaid domestic work is not included; unknown age breakdown.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,64,Bhutan,2015,Female,15 years old and over,All areas,-,2.9833008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,64,Bhutan,2015,Male,15 years old and over,All areas,-,1.1833008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,364,Iran (Islamic Republic of),2009,Female,15 years old and over,All areas,-,4.5,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,364,Iran (Islamic Republic of),2009,Male,15 years old and over,All areas,-,1.0999992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,Urban,-,3.7333008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,Rural,-,3.9166992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,All areas,-,3.8500008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,Urban,-,0.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
