country,year,all,women,men,value,indicator
Albania,2008,9588,799,8789,8.333333333333334,Police personnel
Albania,2009,9229,810,8419,8.776682197421172,Police personnel
Albania,2010,9670,882,8788,9.120992761116856,Police personnel
Albania,2011,9723,936,8787,9.626658438753472,Police personnel
Albania,2012,9728,1018,8710,10.464638157894736,Police personnel
Algeria,2006,109278,4900,104378,4.483976646717546,Police personnel
Algeria,2007,119231,5931,113300,4.974377468946834,Police personnel
Algeria,2008,130152,6538,123614,5.023357305304567,Police personnel
Algeria,2009,146152,7703,138449,5.270540259455909,Police personnel
Algeria,2010,151688,8896,142792,5.864669584937503,Police personnel
Algeria,2011,155170,9427,145743,6.075272282013276,Police personnel
Andorra,2007,226,20,206,8.849557522123893,Police personnel
Andorra,2008,247,22,225,8.906882591093117,Police personnel
Andorra,2009,244,22,222,9.01639344262295,Police personnel
Andorra,2010,246,21,225,8.536585365853659,Police personnel
Andorra,2012,230,20,210,8.695652173913043,Police personnel
Australia,2010,58019,18815,39204,32.429031868870545,Police personnel
Australia,2011,59821,19499,40322,32.59557680413233,Police personnel
Australia,2012,60364,19605,40759,32.477967000198795,Police personnel
Austria,2004,27111,2340,24771,8.631182914684077,Police personnel
Austria,2005,27111,2395,24716,8.834052598576223,Police personnel
Austria,2006,26623,2714,23909,10.194192991022799,Police personnel
Austria,2007,26623,2857,23766,10.731322540660331,Police personnel
Austria,2008,26623,2922,23701,10.97547233595012,Police personnel
Austria,2009,26623,3167,23456,11.895729256657777,Police personnel
Barbados,2007,1415,219,1196,15.477031802120141,Police personnel
Barbados,2008,1414,238,1176,16.831683168316832,Police personnel
Barbados,2009,1452,238,1214,16.391184573002754,Police personnel
Barbados,2010,1444,238,1206,16.481994459833796,Police personnel
Barbados,2011,1436,236,1200,16.434540389972145,Police personnel
Barbados,2012,1423,232,1191,16.303583977512297,Police personnel
Bolivia (Plurinational State of),2005,25393,2831,22562,11.148741779230496,Police personnel
Bolivia (Plurinational State of),2006,26503,3085,23418,11.640191676413991,Police personnel
Bolivia (Plurinational State of),2007,33523,3446,30077,10.27950959043045,Police personnel
Bolivia (Plurinational State of),2008,34632,3623,31009,10.461422961422961,Police personnel
Bolivia (Plurinational State of),2009,35566,3799,31767,10.681549794747793,Police personnel
Bolivia (Plurinational State of),2010,36045,3964,32081,10.997364405604106,Police personnel
Bolivia (Plurinational State of),2011,35908,3996,31912,11.12843934499276,Police personnel
Bosnia and Herzegovina,2010,16640,1072,15568,6.4423076923076925,Police personnel
Bosnia and Herzegovina,2011,16828,1176,15652,6.988352745424293,Police personnel
Bosnia and Herzegovina,2012,16723,1219,15504,7.2893619565867365,Police personnel
Brazil,2006,359754,47814,311940,13.29074867826348,Police personnel
Brazil,2007,300677,36749,263928,12.222085493735802,Police personnel
Brazil,2008,345922,39392,306530,11.387538231161939,Police personnel
Brazil,2009,332647,35522,297125,10.678587211067589,Police personnel
Brazil,2010,275571,37858,237713,13.738020328699319,Police personnel
Brazil,2011,516171,63289,452882,12.26124675737304,Police personnel
Brazil,2012,487255,80063,402683,16.584912148417594,Police personnel
Belize,2009,1162,141,1021,12.134251290877797,Police personnel
Belize,2010,1194,130,1064,10.887772194304858,Police personnel
Belize,2011,1241,156,1085,12.570507655116842,Police personnel
Canada,2004,59800,9859,49941,16.486622073578594,Police personnel
Canada,2005,61026,10576,50450,17.330318225018843,Police personnel
Canada,2006,62461,11211,51250,17.94880005123197,Police personnel
Canada,2007,64134,11873,52261,18.512801322231578,Police personnel
Canada,2008,65283,12206,53077,18.69705742689521,Police personnel
Canada,2009,67243,12821,54422,19.066668649524857,Police personnel
Canada,2010,69068,13281,55787,19.228875890426824,Police personnel
Canada,2011,69424,13604,55820,19.595528923715143,Police personnel
Chile,2005,30490,2392,28098,7.845195145949492,Police personnel
Chile,2006,31604,2593,29011,8.204657638273636,Police personnel
Chile,2007,31825,2771,29054,8.706991358994502,Police personnel
Chile,2008,33361,3150,30211,9.442163004706094,Police personnel
Chile,2009,34989,3530,31459,10.088885078167424,Police personnel
Chile,2010,36509,3943,32566,10.800076693418061,Police personnel
Chile,2011,40952,5728,35224,13.987106856807971,Police personnel
Chile,2012,46897,6077,40820,12.958184958526132,Police personnel
Colombia,2004,122788,8285,114503,6.747402026256638,Police personnel
Colombia,2005,128390,8608,119782,6.704572007165667,Police personnel
Colombia,2006,139386,8585,130801,6.159155151880389,Police personnel
Colombia,2007,135644,8482,127162,6.253133201615995,Police personnel
Colombia,2008,145871,10762,135109,7.377751575021766,Police personnel
Costa Rica,2006,9585,803,8782,8.377673448095983,Police personnel
Costa Rica,2007,9488,982,8506,10.349915682967959,Police personnel
Costa Rica,2008,10270,1216,9054,11.84031158714703,Police personnel
Costa Rica,2009,11237,1474,9763,13.11738008365222,Police personnel
Costa Rica,2010,11660,1555,10105,13.336192109777015,Police personnel
Costa Rica,2011,12450,1720,10730,13.815261044176706,Police personnel
Costa Rica,2012,12945,1806,11139,13.951332560834299,Police personnel
Croatia,2009,20204,2971,17233,14.705008909126905,Police personnel
Croatia,2010,20846,3358,17488,16.108605967571716,Police personnel
Croatia,2011,21134,3467,17667,16.404845273019777,Police personnel
Croatia,2012,21339,3545,17794,16.612774731711887,Police personnel
Cyprus,2009,5353,1172,4181,21.89426489818793,Police personnel
Cyprus,2010,5328,1185,4143,22.24099099099099,Police personnel
Cyprus,2011,5311,1216,4095,22.895876482771605,Police personnel
Cyprus,2012,5263,1245,4018,23.65570967129014,Police personnel
Czechia,2004,47137,6316,40821,13.399240511699938,Police personnel
Czechia,2005,45557,6150,39407,13.499571964791361,Police personnel
Czechia,2006,45760,6315,39445,13.800262237762238,Police personnel
Czechia,2007,44092,5688,38404,12.900299374036106,Police personnel
Czechia,2008,42747,5771,36976,13.500362598544926,Police personnel
Czechia,2009,43645,6426,37219,14.723336006415398,Police personnel
Czechia,2010,41224,6231,34993,15.114981564137397,Police personnel
Czechia,2011,39037,6010,33027,15.395650280503112,Police personnel
Czechia,2012,38363,5846,32517,15.238641399264917,Police personnel
Denmark,2006,10961,1146,9815,10.455250433354621,Police personnel
Denmark,2007,10830,1177,9653,10.867959372114496,Police personnel
Denmark,2008,10740,1234,9506,11.48975791433892,Police personnel
Denmark,2009,10845,1303,9542,12.014753342554172,Police personnel
Denmark,2010,11084,1382,9702,12.468422952002888,Police personnel
Denmark,2011,10868,1391,9477,12.799043062200957,Police personnel
Dominican Republic,2012,33843,4343,28722,13.1347346136398,Police personnel
El Salvador,2006,16737,1201,15536,7.175718468064766,Police personnel
El Salvador,2007,17228,1265,15963,7.342697933596471,Police personnel
El Salvador,2008,17631,1347,16284,7.639952356644547,Police personnel
El Salvador,2009,19451,1566,17885,8.050999948588762,Police personnel
El Salvador,2010,20591,1757,18834,8.532854159584284,Police personnel
El Salvador,2011,21354,1852,19502,8.672848178327245,Police personnel
El Salvador,2012,21642,2084,19558,9.62942426762776,Police personnel
Finland,2004,8247,914,7333,11.082817994422214,Police personnel
Finland,2005,8237,940,7297,11.411921816195216,Police personnel
Finland,2006,8312,1007,7305,12.115014436958614,Police personnel
Finland,2007,8156,983,7173,12.052476704266798,Police personnel
Georgia,2005,7337,420,6917,5.724410522011722,Police personnel
Georgia,2006,5529,344,5185,6.221739916802315,Police personnel
Georgia,2007,8268,535,7733,6.470730527334301,Police personnel
Georgia,2008,8566,681,7885,7.950035022180715,Police personnel
Georgia,2009,9271,817,8454,8.81242584402977,Police personnel
State of Palestine,2012,685,58,627,8.467153284671532,Police personnel
Germany,2004,246756,34430,212326,13.953054839598632,Police personnel
Germany,2005,248188,36138,212050,14.56073621609425,Police personnel
Germany,2006,250284,38250,212034,15.282638922184399,Police personnel
Germany,2007,250353,39672,210681,15.846424848114463,Police personnel
Germany,2008,247619,40254,207365,16.256426203158885,Police personnel
Germany,2009,245752,41058,204694,16.707086819232398,Police personnel
Germany,2010,243625,42088,201537,17.2757311441765,Police personnel
Germany,2011,243201,43577,199624,17.9181006657045,Police personnel
Germany,2012,243982,45218,198764,18.533334426310137,Police personnel
Grenada,2005,773,31,742,4.010349288486417,Police personnel
Grenada,2006,836,103,733,12.320574162679426,Police personnel
Grenada,2007,829,95,734,11.459589867310012,Police personnel
Grenada,2008,994,141,853,14.185110663983904,Police personnel
Grenada,2009,936,133,803,14.209401709401709,Police personnel
Grenada,2010,933,132,801,14.14790996784566,Police personnel
Grenada,2011,983,142,841,14.44557477110885,Police personnel
Grenada,2012,970,140,830,14.43298969072165,Police personnel
Guatemala,2004,21380,2173,19207,10.163704396632367,Police personnel
Guatemala,2005,20804,2212,18592,10.63257065948856,Police personnel
Guatemala,2006,21480,2189,19291,10.190875232774674,Police personnel
Guatemala,2007,18513,2074,16439,11.202938475665748,Police personnel
Guatemala,2008,19474,2054,17420,10.54739652870494,Police personnel
Guyana,2010,3245,764,2481,23.54391371340524,Police personnel
Guyana,2011,3220,752,2468,23.354037267080745,Police personnel
Guyana,2012,3283,789,2494,24.032896740785866,Police personnel
Honduras,2011,13197,1426,11771,10.805486095324696,Police personnel
Honduras,2012,12201,1484,10717,12.162937464142283,Police personnel
Hong Kong Special Administrative Region of China,2004,30736,4083,26653,13.284096824570536,Police personnel
Hong Kong Special Administrative Region of China,2005,30480,4108,26372,13.47769028871391,Police personnel
Hong Kong Special Administrative Region of China,2006,30807,4270,26537,13.86048625312429,Police personnel
Hong Kong Special Administrative Region of China,2007,31165,4449,26716,14.275629712818867,Police personnel
Hong Kong Special Administrative Region of China,2008,31173,4605,26568,14.772399191608123,Police personnel
Hong Kong Special Administrative Region of China,2009,31555,4795,26760,15.195690064965932,Police personnel
Hong Kong Special Administrative Region of China,2010,31773,4957,26816,15.601296698454663,Police personnel
Hong Kong Special Administrative Region of China,2011,32063,5119,26944,15.96544303402676,Police personnel
Hong Kong Special Administrative Region of China,2012,32086,5201,26885,16.209561802655365,Police personnel
Indonesia,2010,389341,13623,375718,3.498989317847337,Police personnel
Ireland,2012,13424,3363,10060,25.054011770841093,Police personnel
Italy,2011,278461,17324,261137,6.221337997062426,Police personnel
Jamaica,2010,12334,3026,9308,24.5338089832982,Police personnel
Kenya,2009,41252,3910,37342,9.478328323475225,Police personnel
Kenya,2010,40708,3916,36792,9.619730765451509,Police personnel
Kenya,2011,39719,3755,35964,9.453913744051965,Police personnel
Kenya,2012,42586,4718,37868,11.078758277368149,Police personnel
Republic of Korea,2006,95690,5025,90665,5.251332427630891,Police personnel
