annee,pays,nom,écart salaire hommes et femmes
2015,France,Pension moyenne de retraite des femmes par rapport aux hommes,-39.20%
2014,France,Salaires des femmes par rapport aux hommes ,-24%
2014,France,Salaires des femmes en équivalent temps plein par rapport aux hommes,-18%
2014,France,"A poste et compétences égales, salaires des femmes par rapport aux hommes ",-9%
2018,France,Salaire dans la fonction publique des femmes par rapport aux hommes,-12%
2018,France,Salaire net dans la fonction publique d'Etat des femmes par rapport aux hommes,-13.50%
2018,France,Salaire net dans la fonction publique Territoriale des femmes par rapport aux hommes,-9.20%
2018,France,Salaire net dans la fonction publique Hospitalière des femmes par rapport aux hommes,-20.90%
2018,France,Salaire net dans les hopiatux publics des femmes par rapport aux hommes,-21.30%
2018,France,Salaire net dans les Ets médico-sociaux des femmes par rapport aux hommes,-7.40%
